OBJECTID,Permit Type,Name of Facility,Location Street,Location City,Location State,ZIP Code,Facility #,Facility Email,Admin Name & Phone,Facility Cont. Email,License / Expires,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Licensee Business Phone,CMS Certification,,Evacuation_Zone,X,Y,Licensee County,x,y,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
6575,HLTATTOOFAC,123 EAST COAST INK,4134 CALHOUN MEMORIAL HWY,EASLEY,SC,29640-9070,864-295-2559,BUSINESSWOMAN1726@ICLOUD.COM,"HALL, TERESA L. PH#: 864-386-2751",WILDFLOWER090904@GMAIL.COM,TF-0340 / 08/31/2021,Pickens / Sole Proprietorship,,,,,"HALL, TERESA",864-386-2751,,,,-82.510477,34.830702,Pickens,361877.6275,3855308.811,34.830702,-82.510477,1,rooftop,4134,Calhoun Mem Hwy,,,Easley,SC,Pickens County,29640,US,Pickens
7571,HLINHOMECARE,180 HEALTH AND WELLNESS,104 MAXWELL AVE STE 345,GREENWOOD,SC,29646,864-377-8289,180HEALTHANDWELLNESSGWD@GMAIL.COM, PH#: ,,IHCP-0248 / 07/31/2021,Greenwood / Limited Liability,PO BOX 49606,GREENWOOD,SC,29649-0011,180 HEALTH AND WELLNESS LLC,864-377-8289,,,,-82.160886,34.191021,Greenwood,393032.6552,3783945.337,34.191132,-82.161018,1,rooftop,210,Main St,,,Greenwood,SC,Greenwood County,29646,US,Greenwood
7797,HLINHOMECARE,1ST IN HOME CARE PROVIDERS,109 COBURN CT,FORT MILL,SC,29715-6918,803-317-2464,INHOMECARE.FORTMILLSC@GMAIL.COM,"LOVETT, SALMA PH#: ",,IHCP-0007 / 01/31/2022,York / Sole Proprietorship,,,,,"GRAHAM, DARLENE F.",609-254-6336,,,,-80.928422,34.997516,York,506531.9037,3872769.962,34.997523,-80.928424,1,rooftop,109,Coburn Ct,,,Fort Mill,SC,York County,29715,US,York
7589,HLINHOMECARE,24HR HOME CARE SERVICES LLC,304 W WESMARK #8,SUMTER,SC,29150,803-305-8837,HOMECARESERVICES24@YAHOO.COM,"MARTIN, TAMMY PH#: 803-305-8837",,IHCP-1202 / 05/31/2021,Sumter / Limited Liability,,,,,24HR HOME CARE SERVICES LLC,803-305-8837,,,,-80.387413,33.950971,Sumter,556604.0557,3756888.711,33.950606,-80.387383,1,rooftop,300,W Wesmark Blvd,,,Sumter,SC,Sumter County,29150,US,Sumter
7648,HLADULTDAYCARE,2ND INNING DAYCARE,100 BUSINESS PKWY A-C,PIEDMONT,SC,29673,908-616-3569,YOMANDN1@YAHOO.COM,"PATEL, BRIJESH PH#: ",,ADC-0460 / 06/30/2021,Anderson / Limited Liability,,,,,OM HARI LLC,908-616-3569,,,,-82.471947,34.784765,Greenville,365326.4691,3850161.763,34.78508,-82.471965,1,rooftop,106,Business Pkwy,,,Piedmont,SC,Anderson County,29673,US,Anderson
7771,HLTATTOOFAC,3 ACES TATTOO STUDIO,8502 TWO NOTCH RD STE G,COLUMBIA,SC,29223,803-764-4472,3ACESTATTOOSTUDIO@GMAIL.COM, PH#: ,,TF-0365 / 08/31/2021,Richland / ,,,,,3 ACES TATTOO LLC,803-404-0276,,,,-80.934394,34.086062,Kershaw,506052.5327,3771700.392,34.086518,-80.934381,0.98,nearest_street,8380,US Hwy 1,,,Columbia,SC,Richland County,29223,US,TIGER/Line® dataset from the US Census Bureau
7555,HLBODYPIERCINGFAC,5 POINTS BODY PIERCING,2002 GREENE ST STE E,COLUMBIA,SC,29205,803-467-6000,FOOD4LAFAYETTE@GMAIL.COM, PH#: ,,BP-0296 / 02/28/2022,Richland / Limited Liability,,,,,5 POINTS BODY PIERCING,803-467-6000,,,,-81.017441,33.999844,Richland,498389.4761,3762138.798,33.998547,-81.017164,0.97,nearest_street,2041,Devine St,,,Columbia,SC,Richland County,29205,US,TIGER/Line® dataset from the US Census Bureau
8150,HLINHOMECARE,5 STAR HOME CARE,4703 HWY 17S BYPASS STE B,MYRTLE BEACH,SC,29577,843-212-7986,DMAHNKEN@5STARHOMECARE.ORG,"JOHNSON, MICHELLE PH#: 843-756-5487",,IHCP-0825 / 03/31/2022,Horry / Corporation,,,,,5 STAR HOME CARE INC,843-212-7986,,,B,-78.964947,33.678353,Horry,688653.599,3728351.609,33.678734,-78.964627,1,nearest_street,,US 17,,,Myrtle Beach,SC,Horry County,29577,US,TIGER/Line® dataset from the US Census Bureau
6789,HLTATTOOFAC,7 SINS TATTOO,204 MONTAGUE AVE STE B,GREENWOOD,SC,29649-1937,864-223-3583,SEVENSINSTATTOO@LIVE.COM,"JOHNSON, DAVID, II. PH#: ",,TF-0011 / 07/31/2021,Greenwood / Sole Proprietorship,204 MONTAGUE AVE STE B,GREENWOOD,SC,29649-1937,"BRANDT, KAREN L.",864-223-3583,,,,-82.17155601,34.19910091,Greenwood,392059.6221,3784852.577,34.199024,-82.171824,1,rooftop,203,Montague Ave,,,Greenwood,SC,Greenwood County,29649,US,Greenwood
6316,HLTATTOOFAC,737 GRAPHIC INK STUDIO,113 BARTON CREEK CT STE C,COLUMBIA,SC,29229,619-274-0850,737GRAPHICINKSTUDIO@GMAIL.COM, PH#: ,,TF-0330 / 03/31/2021,Richland / ,,,,,737 GRAPHIC INK STUDIO LLC,619-274-0850,,,,-80.923319,34.136174,Richland,507070.0655,3777257.546,34.137096,-80.923587,0.97,nearest_street,2332,Clemson Rd,,,Columbia,SC,Richland County,29223,US,TIGER/Line® dataset from the US Census Bureau
7774,HLINHOMECARE,A & E SERVICES,340 RAST ST STE 1,SUMTER,SC,29150,803-934-8888,ADRIENMULLER@YMAIL.COM,"MULLER, ERVENA PH#: 803-720-4213",ERVENA8@AOL.COM,IHCP-1265 / 09/30/2021,Sumter / Limited Liability,,,,,A & E HOME HEALTH SERVICES LLC,803-418-9556,,,,-80.370336,33.9499,Richland,558182.7578,3756779.569,33.949806,-80.370648,1,rooftop,340,Rast St,,,Sumter,SC,Sumter County,29150,US,Sumter
6564,HLINHOMECARE,A BETTER CHOICE HOME CARE,21 GAMECOCK AVE STE A,CHARLESTON,SC,29407,843-884-6456,INFO@ABCHOMECARE-SC.COM,"ROSSINO, MATTHEW L. PH#: 843-884-6456",INFO@ABCHOMECARE-SC.COM,IHCP-0061 / 02/28/2022,Charleston / Ltd. Liability,1514 MATHIS FERRY RD STE204,MT PLEASANT,SC,29464,A BETTER CHOICE HOME CARE LLC,843-884-6456,,,A,-79.993587,32.821645,Charleston,594205.7372,3631963.236,32.821645,-79.993586,1,rooftop,21,Gamecock Ave,,,Charleston,SC,Charleston County,29407,US,City of Charleston
7553,HLINHOMECARE,A BETTER DAY HOME CARE LLC,1236-C WILSON HALL RD,SUMTER,SC,29150,803-869-4114,ABETTERDAYHOMECARE2018@GMAIL.COM,"WESTERMAN, LEE PH#: ",,IHCP-0975 / 02/28/2022,Sumter / Limited Liability,2455 EQUINOX AVE,DALZELL,SC,29040,A BETTER DAY HOME CARE LLC,803-316-5694,,,,-80.399533,33.954977,Sumter,555481.5178,3757326.309,33.955212,-80.399859,1,rooftop,1240,Wilson Hall Rd,,,Sumter,SC,Sumter County,29150,US,Sumter
7368,HLINHOMECARE,A C T CARE SERVICES,126 WILLIAMS WOOD DR,PROSPERITY,SC,29127,803-271-1353,TAMMY@ACTCARESERVICES.COM, PH#: ,,IHCP-1144 / 10/31/2021,Newberry / Limited Liability,,,,,A C T CARE SERVICES LLC,803-271-1353,,,,-81.546231,34.213824,Newberry,449683.3474,3785999.602,34.21383,-81.546233,1,rooftop,126,Williams Wood Dr,,,Prosperity,SC,Newberry County,29127,US,Newberry
4697,HLINHOMECARE,A HAND TO HOLD,125 PARK OF COMMERCE DR STE 203,SAVANNAH,GA,31405,912-432-9778,CWILLIAMS@AHANDTOHOLD.COM,"COOPER, SHELLEY PH#: 000-000-0000; WILLIAMS, CONNIE PH#: 912-432-9778",,IHCP-0632 / 03/31/2022,Out of State / Corporation,125 PARK OF COMMERCE DR STE 203,SAVANNAH,GA,31404,A HAND TO HOLD INC,912-432-9778,,,,-81.162872,32.063845,Out of State,484626.6559,3547524.035,32.06363,-81.163164,1,rooftop,121,Park Of Commerce Dr,,,Savannah,GA,Chatham County,31405,US,Chatham
7937,HLINHOMECARE,A INTEGRITY HOME CARE SERVICE,109-A PILGRIM RD,GREENVILLE,SC,29607,864-612-0219,TINATATETT66@GMAIL.COM, PH#: ,,IHCP-1339 / 11/30/2021,Greenville / Sole Proprietorship,,,,,"TATE, TINA R.",864-612-0219,,,,-82.286501,34.815081,Greenville,382337.7426,3853290.767,34.815208,-82.286062,1,rooftop,102,Pilgrim Rd,,,Greenville,SC,Greenville County,29607,US,Greenville
5743,HLINHOMECARE,A MOTHERS CHOICE HOME CARE,1030 OAKLAND AVE STE 104,ROCK HILL,SC,29732,803-233-2077,AMCHOMEHEALTHCARE@GMAIL.COM, PH#: ,,IHCP-0347 / 05/31/2021,York / Limited Liability,2260 CROSSPOINTE DR STE 201,ROCK HILL,SC,29730-8261,A MOTHERS CHOICE HOME HEALTHCARE,803-554-7114,,,,-81.031274,34.944432,York,497144.3731,3866881.215,34.944432,-81.031273,1,rooftop,1030 104,Oakland Ave,,,Rock Hill,SC,York County,29732,US,York
6886,HLINHOMECARE,A NEW JOURNEY HEALTHCARE AND SENIOR SERVICES,410 W LIBERTY ST STE 201,SUMTER,SC,29150-4865,803-305-1489,JOURNEYNEW201@GMAIL.COM,"MCCLERKLIN, CHRISTOPER PH#: 803-305-1489",JOURNEYNEW201@GMAIL.COM,IHCP-0151 / 05/31/2021,Sumter / Limited Liability,410 W LIBERTY ST STE 201,SUMTER,SC,29150-4865,A NEW JOURNEY HEALTHCARE AND SENIOR SERVICES LLC,803-445-4907,,,,-80.35127019,33.92052012,Sumter,559965.0176,3753532.91,33.920418,-80.351147,1,rooftop,406,W Liberty St,,,Sumter,SC,Sumter County,29150,US,Sumter
8108,HLINHOMECARE,A NURSE NEXTDOOR SENIOR CARE SERVICES,8790 SHADOWGLEN DR,NORTH CHARLESTON,SC,29420,843-597-5588,ANURSENEXTDOOR06@GMAIL.COM, PH#: ,,IHCP-1408 / 02/28/2022,Charleston / Limited Liability,,,,,A NURSE NEXTDOOR SENIOR CARE SERVICES LLC,843-597-5588,,,E,-80.120883,32.933894,Charleston,582186.0866,3644301.248,32.93394,-80.120756,1,rooftop,8790,Shadowglen Dr,,,Summerville,SC,Dorchester County,29485,US,Dorchester
8045,HLINHOMECARE,A PLUS HOME CARE SOLUTIONS,203 OAKMONT AVE UNIT C,LADSON,SC,29456,843-718-5814,APLUSHOMECARESOLUTIONS@GMAIL.COM,"WHEELER, AMY PH#: 843-718-5814",,IHCP-1231 / 01/31/2022,Dorchester / Limited Liability,,,,,A PLUS HOME CARE SOLUTIONS LLC,843-718-5814,,,D,-80.145578,32.967122,Dorchester,579847.4786,3647966.08,32.967131,-80.14558,1,rooftop,203,Oakmont Ave,,,Ladson,SC,Dorchester County,29456,US,Dorchester
4800,HLINHOMECARE,A REMEDY HOME CARE,199 SPARTANBURG HWY,LYMAN,SC,29365,864-804-3002,MIRANDA@REMEDYHOMECARESC.COM, PH#: ,,IHCP-0717 / 05/31/2021,Spartanburg / Limited Liability,7281 NEW CUT RD,INMAN,SC,29349,A REMEDY HOME CARE LLC,864-804-3002,,,,-82.119798,34.956182,Spartanburg,397759.958,3868756.264,34.956242,-82.119879,1,rooftop,197-1,Spartanburg Hwy,,,Jonesville,SC,Spartanburg County,29353,US,Spartanburg County G
8137,HLINHOMECARE,A ROSE IS STILL A ROSE HOME CARE,78 BOXWOOD LN,WALTERBORO,SC,29488,414-499-7378,SLIDDELL57@GMAIL.COM, PH#: ,,IHCP-1198 / 01/31/2022,Colleton / Limited Liability,,,,,A ROSE IS STILL A ROSE HOME CARE,414-499-7378,,,B,-80.63691,32.787431,Colleton,533999.6229,3627780.292,32.787612,-80.636307,1,rooftop,18,Seeaamm Way,,,Walterboro,SC,Colleton County,29488,US,Colleton
7679,HLINHOMECARE,A STEP ABOVE IN HOME CARE,533 OXFORD ST STE C,SUMTER,SC,29150-3333,803-774-4035,CWASTEPABOVE@YAHOO.COM,"WITHERSPOON, CLAUDETTE PH#: 803-774-4035",,IHCP-0348 / 09/30/2021,Sumter / Limited Liability,533A OXFORD ST STE A,SUMTER,SC,29150-3333,A STEP ABOVE IN HOME CARE LLC,803-774-4035,,,,-80.36881,33.934449,Sumter,558334.3334,3755067.243,33.934764,-80.369003,1,rooftop,533,Oxford St,,,Sumter,SC,Sumter County,29150,US,Sumter
