name_of_facility,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
123 EAST COAST INK,34.830702,-82.510477,4134 Calhoun Mem Hwy,Easley,SC,29640,Pickens County,US,No_Match,,,,,,,
180 HEALTH AND WELLNESS,34.191132,-82.161018,210 Main St,Greenwood,SC,29646,Greenwood County,US,Match,Exact,50821693,L,45,047,970401,1016
1ST IN HOME CARE PROVIDERS,34.997523,-80.928424,109 Coburn Ct,Fort Mill,SC,29715,York County,US,Match,Non_Exact,19817479,R,45,091,061103,2001
24HR HOME CARE SERVICES LLC,33.950606,-80.387383,300 W Wesmark Blvd,Sumter,SC,29150,Sumter County,US,Match,Non_Exact,202707290,L,45,085,000902,1000
2ND INNING DAYCARE,34.78508,-82.471965,106 Business Pkwy,Piedmont,SC,29673,Anderson County,US,Match,Exact,25506344,L,45,007,010105,1031
3 ACES TATTOO STUDIO,34.086518,-80.934381,8380 US Hwy 1,Columbia,SC,29223,Richland County,US,No_Match,,,,,,,
5 POINTS BODY PIERCING,33.998547,-81.017164,2041 Devine St,Columbia,SC,29205,Richland County,US,Match,Exact,608831458,L,45,079,003000,2031
5 STAR HOME CARE,33.678734,-78.964627,NA US 17,Myrtle Beach,SC,29577,Horry County,US,No_Match,,,,,,,
7 SINS TATTOO,34.199024,-82.171824,203 Montague Ave,Greenwood,SC,29649,Greenwood County,US,Match,Exact,50803921,L,45,047,970303,2040
737 GRAPHIC INK STUDIO,34.137096,-80.923587,2332 Clemson Rd,Columbia,SC,29223,Richland County,US,Match,Non_Exact,71852572,L,45,079,010108,2006
A & E SERVICES,33.949806,-80.370648,340 Rast St,Sumter,SC,29150,Sumter County,US,Match,Exact,202710351,L,45,085,000901,1046
A BETTER CHOICE HOME CARE,32.821645,-79.993586,21 Gamecock Ave,Charleston,SC,29407,Charleston County,US,Match,Exact,648771864,R,45,019,002604,3017
A BETTER DAY HOME CARE LLC,33.955212,-80.399859,1240 Wilson Hall Rd,Sumter,SC,29150,Sumter County,US,Match,Exact,202707751,L,45,085,001803,1009
A C T CARE SERVICES,34.21383,-81.546233,126 Williams Wood Dr,Prosperity,SC,29127,Newberry County,US,Match,Exact,45382723,L,45,071,950601,2037
A HAND TO HOLD,32.06363,-81.163164,121 Park Of Commerce Dr,Savannah,GA,31405,Chatham County,US,Match,Exact,636353793,R,13,051,010504,3012
A INTEGRITY HOME CARE SERVICE,34.815208,-82.286062,102 Pilgrim Rd,Greenville,SC,29607,Greenville County,US,Match,Exact,38327431,L,45,045,002812,1002
A MOTHERS CHOICE HOME CARE,34.944432,-81.031273,1030 104 Oakland Ave,Rock Hill,SC,29732,York County,US,Match,Non_Exact,642585756,R,45,091,060501,3014
A NEW JOURNEY HEALTHCARE AND SENIOR SERVICES,33.920418,-80.351147,406 W Liberty St,Sumter,SC,29150,Sumter County,US,No_Match,,,,,,,
A NURSE NEXTDOOR SENIOR CARE SERVICES,32.93394,-80.120756,8790 Shadowglen Dr,Summerville,SC,29485,Dorchester County,US,No_Match,,,,,,,
A PLUS HOME CARE SOLUTIONS,32.967131,-80.14558,203 Oakmont Ave,Ladson,SC,29456,Dorchester County,US,Match,Exact,178482104,L,45,035,010815,2015
A REMEDY HOME CARE,34.956242,-82.119879,197-1 Spartanburg Hwy,Jonesville,SC,29353,Spartanburg County,US,No_Match,,,,,,,
A ROSE IS STILL A ROSE HOME CARE,32.787612,-80.636307,18 Seeaamm Way,Walterboro,SC,29488,Colleton County,US,Match,Non_Exact,19167343,R,45,029,970602,2064
A STEP ABOVE IN HOME CARE,33.934764,-80.369003,533 Oxford St,Sumter,SC,29150,Sumter County,US,Match,Exact,202669210,R,45,085,000901,2030
A TOUCH OF HELP,34.866052,-82.381402,427 Wade Hampton Blvd,Greenville,SC,29609,Greenville County,US,Match,Exact,38357661,L,45,045,001101,4028
A TOUCH OF LIFE CARE AGENCY LLC,34.853607,-82.456652,121 Commons Way,Greenville,SC,29611,Greenville County,US,No_Match,,,,,,,
A TOUCH OF LOVE HOME CARE,34.804752,-82.431031,2710 White Horse Rd,Greenville,SC,29611,Greenville County,US,Match,Exact,38304214,R,45,045,002107,1002
A VILLAGE HOME CARE LLC,33.490726,-80.861419,1396 Russell St,Orangeburg,SC,29115,Orangeburg County,US,Match,Exact,19217505,R,45,075,011300,1031
A&T CARE - KERSHAW,34.546277,-80.583175,207 W Sumter St,Kershaw,SC,29067,Lancaster County,US,Tie,,,,,,,
AAA CARE LLC,34.86121,-82.272427,3505 C Pelham Rd,Greenville,SC,29615,Greenville County,US,No_Match,,,,,,,
AAA HEALTHCARE CONSULTANTS LLC,34.929834,-81.033853,327 Main St W,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
ABBEVILLE AREA MEDICAL CENTER,34.159295,-82.38328,905 Greenwood St W,Abbeville,SC,29620,Abbeville County,US,No_Match,,,,,,,
ABBEVILLE DIALYSIS,34.186083,-82.34726,902 Hwy 72 E,Abbeville,SC,29620,Abbeville County,US,No_Match,,,,,,,
ABBEVILLE NURSING HOME,34.159618,-82.380496,83 Thomson Cir,Abbeville,SC,29620,Abbeville County,US,Match,Exact,38258952,R,45,001,950500,3013
ABBEY ROAD HOSPICE,34.055039,-81.176689,5429 Bush River Rd,Columbia,SC,29212,Lexington County,US,Match,Exact,70075521,R,45,063,021109,1008
ABNORMAL GIFTS,34.827883,-82.571163,1722 E Main St,Easley,SC,29640,Pickens County,US,Match,Non_Exact,26168882,R,45,077,010804,1034
ABOUNDING ANGELS HEALTH CARE LLC,34.094001,-80.92385,9140 US Hwy 1,Columbia,SC,29223,Richland County,US,No_Match,,,,,,,
ABOVE & BEYOND CARE SERVICES,34.853797,-82.455852,103 Commons Way,Greenville,SC,29611,Greenville County,US,No_Match,,,,,,,
ABOVE ALL ELSE TATTOOS,34.911214,-81.983871,454 E Blackstock Rd,Spartanburg,SC,29301,Spartanburg County,US,Tie,,,,,,,
ABOVE AND BEYOND HOME CARE,34.725018,-80.744364,1312 Camp Dr,Lancaster,SC,29720,Lancaster County,US,Match,Exact,40697208,L,45,057,011001,1004
ABOVE BEYOND HOMECARE,33.495298,-81.933934,910 Todd Ave,North Augusta,SC,29841,Aiken County,US,Match,Exact,64985789,R,45,003,021004,1050
ABSOLUTE CARE SOLUTIONS,34.949537,-81.93343,148 W Main St,Spartanburg,SC,29306,Spartanburg County,US,Tie,,,,,,,
ABSOLUTE HEALTH CARE LLC,34.222254,-79.759455,1512 N Irby St,Florence,SC,29501,Florence County,US,Match,Non_Exact,632390965,R,45,041,000300,3017
