property_name,GEOID,INTPTLAT,INTPTLON,geometry
Dilmar Oil Property,45033970300,+34.4536751,-079.4414521,-79.383067|34.435592
Greenwood Mill # 5,45047970400,+34.1698568,-082.2054546,-82.168486|34.191765
Iva Farmers Market,45007011700,+34.3109700,-082.6793835,-82.663921|34.306998
Palmetto Petroleum,45033970400,+34.3943810,-079.3862993,-79.386946|34.388242
Lower Pelzer Mill,45007010300,+34.6570078,-082.4929075,-82.454886|34.643322
Upper Pelzer Mill,45007010300,+34.6570078,-082.4929075,-82.458156|34.653847
Former Garage Site,45031011400,+34.2667090,-079.8343225,-79.863647|34.291779
2628 Decker Boulevard,45079011301,+34.0374796,-080.9464728,-80.951903|34.060679
2628 Decker Boulevard,45079011304,+34.0638032,-080.9420083,-80.951903|34.060679
C E Phillips Farms,45085000500,+33.9541683,-080.0572590,-80.046164|33.994207
Former McCorys Store Building,45079003100,+34.0078902,-081.0307786,-81.035431|34.005558
Meeting Street Motors,45063020300,+33.9896272,-081.0628508,-81.068255|33.990845
1527 Gervais Street,45079003000,+34.0011753,-081.0215931,-81.028699|34.002721
4000 River Drive,45079010502,+34.0302758,-081.0638159,-81.062761|34.027211
O'Hear Ave - Noisette Creek,45019003700,+32.8671057,-079.9825338,-79.975421|32.87103
500 Vanboklen Street,45079012000,+33.9116689,-080.6752843,-80.687629|33.883139
Emmanuel Church,45079011413,+34.1061891,-080.8804863,-80.860557|34.09255
CMMC - Building 13,45019005500,+32.8532338,-079.9554747,-79.965333|32.860988
Express Cab Property,45019005400,+32.8200646,-079.9429888,-79.952269|32.828772
Town of Hollywood Property,45019002502,+32.7290527,-080.2269830,-80.242869|32.734547
Independent Ave Site,45019003300,+32.8846062,-080.0074054,-79.995106|32.87968
Pete Hollis Site,45045000900,+34.8607575,-082.4098233,-82.406126|34.860308
Former Shaw Industries Site,45005970400,+32.8745690,-081.3241455,-81.279016|32.987408
1901 Reynolds Property,45019004300,+32.8501669,-079.9673955,-79.970526|32.856192
Duggan Trust Property,45019003105,+32.9118630,-080.0314105,-80.040352|32.913939
Milliken Properties Area 1,45031010600,+34.3700380,-080.0231357,-80.062754|34.370899
Milliken Property Area 2,45031010600,+34.3700380,-080.0231357,-80.064111|34.369754
