cleanup_name,brownfields_id,frs_id,geoid,tract_latitude,tract_longitude,lat,lon
1-15 MEADOW ST.,206742,110070117651,45045000700,+34.8504139,-082.4126907,34.852325,-82.40886
1006 W. WASHINGTON STREET,67722,110038718466,45045000900,+34.8607575,-082.4098233,34.85736014,-82.41219929
1010 AND 1012 LOWNDES HILL ROAD,223661,110070247614,45045004400,+34.8479697,-082.3501653,34.85475,-82.35338
103 W MAIN STREET,241595,110070790100,45041002201,+33.8669969,-079.7884800,33.872846,-79.754537
104 RUTHERFORD STREET,61981,110038716404,45045001000,+34.8606403,-082.4002483,34.859913,-82.40452
106 /154 AUGUSTA STREET,122947,110043637366,45045000700,+34.8504139,-082.4126907,34.84334379,-82.40546048
107 PETE HOLLIS BLVD.,149863,110054365851,45045000900,+34.8607575,-082.4098233,34.8624114,-82.4077688
109 GULF STREET,248372,,45077010803,+34.8134035,-082.6260189,34.827744,-82.60977
109 WEST STONE AVENUE,219924,110070247543,45045001000,+34.8606403,-082.4002483,34.86174,-82.39643
1108 COOK STREET,223681,110070525610,45045000700,+34.8504139,-082.4126907,34.8576487,-82.412753
111 WELBORN,206743,110070247857,45045000700,+34.8504139,-082.4126907,34.852253,-82.412186
1113 LADY STREET & 1306 ASSEMBLY STREET,229362,110070117632,45079003100,+34.0078902,-081.0307786,34.00372457,-81.03528927
116 NORTH CHURCH STREET PROPERTY,237321,110070261997,45041002202,+33.8389294,-079.7194929,33.871773,-79.75262
116 SAULS STREET,241569,110070790083,45041002202,+33.8389294,-079.7194929,33.87345,-79.754265
118 SAULS STREET,241568,110070790082,45041002202,+33.8389294,-079.7194929,33.873447,-79.754265
119 GULF STREET,248389,,45077010803,+34.8134035,-082.6260189,34.82766,-82.60975
"1200, 1202, 1204 LAURENS RD",241412,110070789916,45045004400,+34.8479697,-082.3501653,34.84770728,-82.3689514
1209 FRANKLIN STREET,229361,110070117656,45079000700,+34.0177977,-081.0406649,34.01678,-81.04032
121 GULF STREET,248390,,45077010803,+34.8134035,-082.6260189,34.827644,-82.60974
121 S ACLINE STREET,241575,110070790089,45041002202,+33.8389294,-079.7194929,33.8659575,-79.7566741
1211 PENDLETON ST SITE,242133,,45045000800,+34.8493143,-082.4271138,34.846676,-82.4272
124 E MAIN STREET,241594,110070790099,45033970500,+34.3339068,-079.2077718,34.34341752,-79.16591009
127 E MAIN STREET,241578,110070790092,45033970500,+34.3339068,-079.2077718,34.34351133,-79.16610214
127 SAULS STREET,241591,110070790096,45041002202,+33.8389294,-079.7194929,33.873413,-79.75425
128 BILTMORE DRIVE PROPERTY,148522,110054365520,45045000400,+34.8381271,-082.3983635,34.834785,-82.39799
131 SAULS STREET,241590,110070790095,45041002202,+33.8389294,-079.7194929,33.8734,-79.75424
133A E MAIN STREET,241576,110070790090,45041002202,+33.8389294,-079.7194929,33.872437,-79.754036
134 E MAIN STREET,241573,110070790087,45033970500,+34.3339068,-079.2077718,34.34350718,-79.16590373
136 CASH ROAD,235298,110070164267,45025950600,+34.5951251,-079.8967144,34.686504,-79.88209
137 S MCALISTER STREET,241593,110070790098,45041002201,+33.8669969,-079.7884800,33.874313,-79.75607
138 E MAIN STREET,241572,110070790086,45041002202,+33.8389294,-079.7194929,33.87203319,-79.75334097
139 SAULS STREET,241567,110070790081,45041002202,+33.8389294,-079.7194929,33.873383,-79.75422
139 WEST MAIN STREET PROPERTY,242464,110070790040,45077010402,+34.9027375,-082.7107738,34.883553,-82.70823
145 SAULS STREET,241574,110070790088,45041002202,+33.8389294,-079.7194929,33.873272,-79.75391
148 E MAIN STREET,241571,110070790085,45033970500,+34.3339068,-079.2077718,34.3436327,-79.16589482
152 E MAIN STREET,241570,110070790084,45041002202,+33.8389294,-079.7194929,33.87217002,-79.7535228
1527 CHARLESTON HIGHWAY PROPERTY,114181,110041720251,45063020202,+33.9592231,-081.0781384,33.97235994,-81.0768792
1527 GERVAIS STREET,140781,110045401089,45079003100,+34.0078902,-081.0307786,34.00293,-81.02824
159 WELBORN STREET,67721,110038718457,45045000700,+34.8504139,-082.4126907,34.853157,-82.413445
1766 MEETING STREET,11849,110039536721,45019005300,+32.8001609,-079.9443767,32.7974923,-79.9413671
1797 KING STREET EXTENSION,11850,110039536767,45019004400,+32.8305580,-079.9619676,32.82393653,-79.95272906
1801 GERVAIS STREET PROPERTY,132949,110045012936,45079003100,+34.0078902,-081.0307786,34.004322,-81.02381
1901 REYNOLDS PROPERTY,137561,110045013098,45019004300,+32.8501669,-079.9673955,32.85661,-79.97122
20 CHESTERFIELD HIGHWAY,231841,110070164203,45025950600,+34.5951251,-079.8967144,34.689934,-79.89819
202 KELLEY STREET,241596,110070790101,45041002201,+33.8669969,-079.7884800,33.877018,-79.75455
206 SCARLETT ST.,206784,110070247862,45045001900,+34.8200676,-082.3474849,34.82879,-82.368706
207 JOHN STREET,241592,110070790097,45041002201,+33.8669969,-079.7884800,33.873886,-79.75728
209_217 LAURENS RD,148201,110054365496,45045001900,+34.8200676,-082.3474849,34.8317359,-82.3488174
21 3RD ST PROPERTY,239342,110070789512,45045000800,+34.8493143,-082.4271138,34.851486,-82.428986
215 HAMPTON STREET,242878,,45091060501,+34.9325443,-081.0382008,34.92407,-81.02745
219 HAMPTON STREET,242877,,45091060501,+34.9325443,-081.0382008,34.924023,-81.0275
2222 MAIN STREET,217661,110070247875,45079000700,+34.0177977,-081.0406649,34.014896,-81.03959
"2428,-2434 MAIN STREET AND 1204 CONFEDERATE AVE",184521,110070247854,45079000700,+34.0177977,-081.0406649,34.0186592,-81.04090331
2510 NORTH MAIN STREET,116341,110041720359,45079000700,+34.0177977,-081.0406649,34.019928,-81.04181
2547 DECKER BOULEVARD FORMER OLIVE GARDEN,122904,110043083230,45079011301,+34.0374796,-080.9464728,34.05987,-80.95125
2628 DECKER BOULEVARD,126102,110043425567,45079011304,+34.0638032,-080.9420083,34.056816,-80.94943
2701 DECKER BOULEVARD FORMER RED LOBSTER,122901,110043083212,45079011301,+34.0374796,-080.9464728,34.06268,-80.954216
312 2ND AVENUE AND 301 5TH STREET,248391,,45077010803,+34.8134035,-082.6260189,34.82599971,-82.60944247
