property_name,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
Dilmar Oil Property,34.435592,-79.383067,1368 State Rd S-17-39,Dillon,SC,29536,Dillon County,US,No_Match,,,,,,,
Greenwood Mill # 5,34.191765,-82.168486,225 Duncan Ave,Greenwood,SC,29646,Greenwood County,US,Match,Exact,50819038,R,45,047,970401,1012
Iva Farmers Market,34.306998,-82.663921,707 W Front St,Iva,SC,29655,Anderson County,US,Match,Non_Exact,25439191,L,45,007,011702,3067
Palmetto Petroleum,34.388242,-79.386946,1880 US Hwy 301 S,Dillon,SC,29536,Dillon County,US,No_Match,,,,,,,
Lower Pelzer Mill,34.643322,-82.454886,100 Lebby St,Pelzer,SC,29669,Anderson County,US,Match,Exact,649983478,R,45,007,010300,4030
Upper Pelzer Mill,34.653847,-82.458156,7 Stewart St,Pelzer,SC,29669,Anderson County,US,Match,Exact,25456858,R,45,007,010300,4002
Former Garage Site,34.291779,-79.863647,906 Main St,Darlington,SC,29532,Darlington County,US,Tie,,,,,,,
2628 Decker Boulevard,34.060679,-80.951903,2727 Decker Blvd,Columbia,SC,29206,Richland County,US,Match,Exact,636860002,L,45,079,011306,1000
C E Phillips Farms,33.994207,-80.046164,1160 Pleasant Grove Rd,Lynchburg,SC,29080,Sumter County,US,Match,Exact,202698517,L,45,085,000500,1011
Former McCorys Store Building,34.005558,-81.035431,1559 Main St,Columbia,SC,29201,Richland County,US,Match,Exact,71820786,L,45,079,003100,2023
Meeting Street Motors,33.990845,-81.068255,914 Meeting St,West Columbia,SC,29169,Lexington County,US,Match,Exact,70055938,R,45,063,020300,3027
1527 Gervais Street,34.002721,-81.028699,1197 Bull St,Columbia,SC,29201,Richland County,US,Match,Exact,71820854,L,45,079,003100,1042
4000 River Drive,34.027211,-81.062761,4024 US Hwy 176,Columbia,SC,29201,Richland County,US,No_Match,,,,,,,
O'Hear Ave - Noisette Creek,32.87103,-79.975421,4186 State Rd S-10-379,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
500 Vanboklen Street,33.883139,-80.687629,349 Vanboklen Rd,Eastover,SC,29044,Richland County,US,Match,Non_Exact,71812548,L,45,079,012000,3050
Emmanuel Church,34.09255,-80.860557,NA I 20,Columbia,SC,29223,Richland County,US,No_Match,,,,,,,
CMMC - Building 13,32.860988,-79.965333,1698 A Ave S,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
Express Cab Property,32.828772,-79.952269,1831 Meeting Street Rd,North Charleston,SC,29405,Charleston County,US,Match,Exact,108853823,R,45,019,004400,1035
Town of Hollywood Property,32.734547,-80.242869,6326 Highway 162,Hollywood,SC,29449,Charleston County,US,No_Match,,,,,,,
Independent Ave Site,32.87968,-79.995106,4700 Wright Ave,North Charleston,SC,29405,Charleston County,US,Match,Exact,108799434,R,45,019,003300,4016
Pete Hollis Site,34.860308,-82.406126,400 Echols St,Greenville,SC,29601,Greenville County,US,No_Match,,,,,,,
Former Shaw Industries Site,32.987408,-81.279016,108 State Rd S-3-103,Fairfax,SC,29827,Allendale County,US,No_Match,,,,,,,
1901 Reynolds Property,32.856192,-79.970526,1953 Grayson St,North Charleston,SC,29405,Charleston County,US,Match,Exact,108804683,R,45,019,004300,4001
Duggan Trust Property,32.913939,-80.040352,2467 Alston Ave,North Charleston,SC,29406,Charleston County,US,Match,Exact,108891249,L,45,019,003105,2005
Milliken Properties Area 1,34.370899,-80.062754,414 Easy St,Hartsville,SC,29550,Darlington County,US,Match,Exact,78393742,L,45,031,010600,1062
Milliken Property Area 2,34.369754,-80.064111,513 Mill Ave,Hartsville,SC,29550,Darlington County,US,Match,Exact,78393780,R,45,031,010600,1076
Milliken Property Area 3,34.372487,-80.063273,508 Jordan St,Hartsville,SC,29550,Darlington County,US,Match,Exact,78393702,R,45,031,010600,1052
Milliken Property Area 4,34.370899,-80.062754,414 Easy St,Hartsville,SC,29550,Darlington County,US,Match,Exact,78393742,L,45,031,010600,1062
Hanover Property,32.796687,-79.938067,62 Hanover St,Charleston,SC,29403,Charleston County,US,Match,Exact,108807028,R,45,019,000900,1022
Bell Buoy Seafood Site,32.492162,-80.331694,3751 Dock,Edisto Island,SC,29438,Colleton County,US,No_Match,,,,,,,
Vaucluse Landfill,33.610414,-81.805388,4907 Vaucluse Rd,Aiken,SC,29801,Aiken County,US,Match,Exact,64986135,R,45,003,020304,2032
Billy Young IGA,33.008322,-81.306163,363 S-3-98,Allendale,SC,29810,Allendale County,US,No_Match,,,,,,,
Union Mill,34.716264,-81.626285,200 N Enterprise St,Union,SC,29379,Union County,US,Match,Exact,19728326,L,45,087,030200,2003
Former Shaw Industries,32.972273,-81.275042,1111 State Hwy 47,Fairfax,SC,29827,Allendale County,US,No_Match,,,,,,,
Hall I Property,32.822857,-79.953634,NA I 26,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
Ashley Shores Property,32.845773,-79.991864,2821 Ashley Shores Dr,North Charleston,SC,29405,Charleston County,US,Match,Exact,605543135,L,45,019,004000,2029
Whitlock Combing Company,33.00031,-81.293315,351 Ozzie St,Allendale,SC,29810,Allendale County,US,Match,Exact,19043277,L,45,005,970201,2006
Piedmont Shirt Factory,34.876903,-82.404622,801 A Poinsett Hwy,Greenville,SC,29609,Greenville County,US,Match,Exact,38298833,L,45,045,002303,2018
Sesame Parking Lot,32.880288,-79.980144,4747 State Rd S-10-32,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
Former Margarine Factory,34.885356,-82.404877,1412 Poinsett Hwy,Greenville,SC,29609,Greenville County,US,Match,Exact,636713490,R,45,045,002304,2030
Harvester?s Outreach Ministries,34.876543,-82.416695,9 McCrary St,Greenville,SC,29609,Greenville County,US,Match,Exact,38298555,L,45,045,002302,1030
Former Tire Repair Facility,34.867391,-82.404211,10 Rutherford Rd,Greenville,SC,29609,Greenville County,US,Match,Exact,38333809,R,45,045,001000,1005
Monaghan Plant Parking Lot,34.866266,-82.426247,300 Smythe St,Greenville,SC,29611,Greenville County,US,Match,Exact,38299221,R,45,045,002203,3030
Former Bobbin Manufacturer,34.887727,-82.407517,4 Newland Ave,Greenville,SC,29609,Greenville County,US,Match,Exact,38298496,L,45,045,002302,2035
Hawthorne Green Housing Site,34.970994,-82.430798,120 5b Hemlock Dr,Travelers Rest,SC,29690,Greenville County,US,Match,Exact,38294598,L,45,045,003906,2003
