contaminant_name,media,site_name,epa_id,GEOID,tract_latitude,tract_longitude,lat,lon
"1,1-DICHLOROETHENE",Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
BENZENE,Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
BIS(2-ETHYLHEXYL)PHTHALATE,Sludge,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
BIS(2-ETHYLHEXYL)PHTHALATE,Soil,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
CARBON TETRACHLORIDE,Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
CHROMIUM,Sediment,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
CHROMIUM,Sludge,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
CHROMIUM,Soil,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
CHROMIUM,Surface Water,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
COPPER,Surface Water,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
DICHLOROMETHANE (METHYLENE CHLORIDE),Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
IRON,Sludge,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
IRON,Soil,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
MERCURY,Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
NICKEL,Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
NICKEL,Sediment,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
NICKEL,Sludge,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
NICKEL,Soil,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
NICKEL,Surface Water,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
TETRACHLOROETHENE,Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
TRICHLOROETHENE,Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
ZINC,Sediment,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
ZINC,Sludge,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
ZINC,Soil,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
ZINC,Surface Water,ADMIRAL HOME APPLIANCES,SCD047563614,45011970100,+33.3910823,-081.3942081,33.39387,-81.398875
"1,1,2,2-TETRACHLOROETHANE",Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
"1,1-DICHLOROETHENE",Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
AROCLOR 1242,Soil,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
BENZENE,Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
CHLOROETHENE (VINYL CHLORIDE),Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
"CIS-1,2-DICHLOROETHENE",Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
IRON,Soil,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
LEAD,Soil,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
MERCURY,Soil,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
TETRACHLOROETHENE,Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
THALLIUM,Soil,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
TRICHLOROETHENE,Groundwater,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
TRICHLOROETHENE,Soil,AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
2-METHYLNAPHTHALENE,Groundwater,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,45045003101,+34.7043385,-082.2045941,34.6912995,-82.19889996
ARSENIC,Soil,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,45045003101,+34.7043385,-082.2045941,34.6912995,-82.19889996
BENZENE,Groundwater,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,45045003101,+34.7043385,-082.2045941,34.6912995,-82.19889996
BERYLLIUM,Groundwater,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,45045003101,+34.7043385,-082.2045941,34.6912995,-82.19889996
CHROMIUM,Groundwater,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,45045003101,+34.7043385,-082.2045941,34.6912995,-82.19889996
MANGANESE,Groundwater,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,45045003101,+34.7043385,-082.2045941,34.6912995,-82.19889996
NAPHTHALENE,Groundwater,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,45045003101,+34.7043385,-082.2045941,34.6912995,-82.19889996
NICKEL,Soil,BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,45045003101,+34.7043385,-082.2045941,34.6912995,-82.19889996
ALUMINUM,Groundwater,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
ALUMINUM,Surface Water,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
ANTIMONY,Groundwater,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
ANTIMONY,Surface Water,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
ARSENIC,Groundwater,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
ARSENIC,Surface Water,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
CADMIUM,Groundwater,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
CADMIUM,Surface Water,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
COPPER,Groundwater,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
COPPER,Surface Water,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
CYANIDE,Groundwater,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
CYANIDE,Surface Water,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
IRON,Groundwater,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
IRON,Surface Water,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
LEAD,Groundwater,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
LEAD,Surface Water,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
MERCURY,Groundwater,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
MERCURY,Surface Water,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
NICKEL,Groundwater,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
NICKEL,Surface Water,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
SELENIUM,Groundwater,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
SELENIUM,Surface Water,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
ZINC,Groundwater,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
ZINC,Surface Water,BREWER GOLD MINE,SCD987577913,45025950200,+34.6454671,-080.3337693,34.6498886,-80.3895397
