Site Name,EPA ID,City,County,State,ZIP Code,Site Location,Latitude,Longitude,Region,NPL Status,Superfund Alternative Agreement,Federal Facility,Operable Unit Number,Sequence ID,Decision Document Type,Actual Completion Date,Fiscal Year,Media,Contaminant Name,latitude,longitude,geo_method,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Groundwater,"1,1-DICHLOROETHENE",33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Groundwater,BENZENE,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Sludge,BIS(2-ETHYLHEXYL)PHTHALATE,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Soil,BIS(2-ETHYLHEXYL)PHTHALATE,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Groundwater,CARBON TETRACHLORIDE,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Sediment,CHROMIUM,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Sludge,CHROMIUM,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Soil,CHROMIUM,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Surface Water,CHROMIUM,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,Surface Water,COPPER,33.39387,-81.398875,osm,33.396357,-81.397914,0.96,nearest_street,955,State Rd S-6-215,,,Williston,SC,Barnwell County,29853,US,TIGER/Line® dataset from the US Census Bureau
