site_name,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
ADMIRAL HOME APPLIANCES,,,955 State Rd S-6-215,WILLISTON,SC,29853,BARNWELL,US,No_Match,,,,,,,
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),34.9328,-82.1725,1685 State Hwy 290,GREER,SC,29651,SPARTANBURG,US,No_Match,,,,,,,
BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),34.698061,-82.216111,210 S Main St,FOUNTAIN INN,SC,29644,GREENVILLE,US,Tie,,,,,,,
BREWER GOLD MINE,34.652194,-80.411472,221 Main,JEFFERSON,SC,29718,CHESTERFIELD,US,No_Match,,,,,,,
"CAROLAWN, INC.",34.686111,-80.94305,5606 State Rd 518,FORT LAWN,SC,29714,CHESTER,US,No_Match,,,,,,,
ELMORE WASTE DISPOSAL,34.935905,-82.216599,107 S Main St,GREER,SC,29650,SPARTANBURG,US,Match,Non_Exact,19459808,R,45,083,023301,1007
GEIGER (C & M OIL),32.773611,-80.159161,6308 Highway 162,HOLLYWOOD,SC,29449,CHARLESTON,US,No_Match,,,,,,,
GOLDEN STRIP SEPTIC TANK SERVICE,34.785,-82.2466,116 Hedge St,SIMPSONVILLE,SC,29681,GREENVILLE,US,Tie,,,,,,,
HELENA CHEMICAL CO. LANDFILL,,-81.239,171 Sumter Ave,FAIRFAX,SC,29827,ALLENDALE,US,Match,Exact,19038466,L,45,005,970500,2075
INDEPENDENT NAIL CO.,32.466389,-80.741111,210 Carteret St,BEAUFORT,SC,29902,BEAUFORT,US,Match,Exact,87606238,L,45,013,000700,3068
INTERNATIONAL MINERALS AND CHEMICALS (IMC),,,121 Dunbar St,SPARTANBURG,SC,29306,SPARTANBURG,US,Match,Exact,19504750,L,45,083,021200,1082
KALAMA SPECIALTY CHEMICALS,32.4734,-80.7401,210 Carteret St,BEAUFORT,SC,29902,BEAUFORT,US,Match,Exact,87606238,L,45,013,000700,3068
"KOPPERS CO., INC. (CHARLESTON PLANT)",32.822083,-79.958333,44 Warren St,CHARLESTON,SC,29403,CHARLESTON,US,Match,Exact,108807373,R,45,019,000700,1015
"LEONARD CHEMICAL CO., INC.",34.851669,-80.904169,337 Oakland Ave S,ROCK HILL,SC,29730,YORK,US,Match,Non_Exact,19791474,L,45,091,060102,3007
LEXINGTON COUNTY LANDFILL AREA,33.919581,-81.074169,1620 Dunbar Rd,CAYCE,SC,29033,LEXINGTON,US,Match,Exact,70085899,R,45,063,020202,1040
LYMAN DYEING AND FINISHING,,,19 Spartanburg Rd,LYMAN,SC,29365,SPARTANBURG,US,Match,Exact,19529930,L,45,083,023104,2022
MACALLOY CORPORATION,32.838056,-79.951194,7212 State Rd S-10-2028,NORTH CHARLESTON,SC,29418,CHARLESTON,US,No_Match,,,,,,,
MEDLEY FARM DRUM DUMP,34.9805,-81.6685,109 S Limestone St,GAFFNEY,SC,29340,CHEROKEE,US,Match,Non_Exact,649747006,R,45,021,970201,1068
"PALMETTO RECYCLING, INC.",34.1228,-81.0117,1214 State Hwy 48,COLUMBIA,SC,29202,RICHLAND,US,No_Match,,,,,,,
PALMETTO WOOD PRESERVING,33.920831,-81.060281,120 Pallet Dr,DIXIANA,SC,29172,LEXINGTON,US,Match,Non_Exact,70057137,L,45,063,020605,2016
"PARA-CHEM SOUTHERN, INC.",34.7134,-82.233,116 Hedge St,SIMPSONVILLE,SC,29681,GREENVILLE,US,Tie,,,,,,,
PARRIS ISLAND MARINE CORPS RECRUIT DEPOT,32.3528,-80.7031,154 W Cuzco Ct,PARRIS ISLAND,SC,29902,BEAUFORT,US,No_Match,,,,,,,
ROCHESTER PROPERTY,34.9719,-82.5015,2 S Main St,TRAVELERS REST,SC,29690,GREENVILLE,US,Tie,,,,,,,
ROCK HILL CHEMICAL CO.,34.9661,-80.9985,337 Oakland Ave S,ROCK HILL,SC,29730,YORK,US,Match,Non_Exact,19791474,L,45,091,060102,3007
"SANGAMO WESTON, INC./TWELVE-MILE CREEK/LAKE HARTWELL PCB CONTAMINATION",34.895,-82.7232,104 E Main St,PICKENS,SC,29671,PICKENS,US,Match,Exact,26157824,R,45,077,010404,2000
SAVANNAH RIVER SITE (USDOE),33.348889,-81.737781,214 Park Ave SW,JACKSON,SC,29801,AIKEN,US,Match,Non_Exact,64990609,L,45,003,021300,3079
SCRDI BLUFF ROAD,33.885419,-80.90875,1214 State Hwy 48,COLUMBIA,SC,29202,RICHLAND,US,No_Match,,,,,,,
SCRDI DIXIANA,33.90445,-81.063889,1620 Dunbar Rd,WEST COLUMBIA,SC,29033,LEXINGTON,US,Match,Exact,70085899,R,45,063,020202,1040
SHURON INC.,33.236694,-81.375778,475 Main St,BARNWELL,SC,29812,BARNWELL,US,Match,Exact,19071773,L,45,011,970300,3024
TOWNSEND SAW CHAIN CO.,34.10625,-80.834169,125 Spring Creek Church Rd,ELGIN,SC,29045,RICHLAND,US,Match,Exact,71846473,R,45,079,011407,2022
"WAMCHEM, INC.",32.497219,-80.741669,11 Leo Green Rd,BEAUFORT,SC,29906,BEAUFORT,US,Match,Exact,646872946,L,45,013,000502,1007
