contaminant_name,media,site_name,epa_id,city,county,state,zip_code,site_location,latitude,longitude,region,npl_status,superfund_alternative_agreement,federal_facility,operable_unit_number,sequence_id,decision_document_type,actual_completion_date,fiscal_year,geoid,tract_latitude,tract_longitude,lat,lon
"1,1-DICHLOROETHENE",Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
BENZENE,Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
BIS(2-ETHYLHEXYL)PHTHALATE,Sludge,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
BIS(2-ETHYLHEXYL)PHTHALATE,Soil,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
CARBON TETRACHLORIDE,Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
CHROMIUM,Sediment,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
CHROMIUM,Sludge,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
CHROMIUM,Soil,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
CHROMIUM,Surface Water,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
COPPER,Surface Water,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
DICHLOROMETHANE (METHYLENE CHLORIDE),Groundwater,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
IRON,Sludge,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
IRON,Soil,ADMIRAL HOME APPLIANCES,SCD047563614,WILLISTON,BARNWELL,SC,29853,3330 CRANE WAY,,,4,Not on the NPL,Y,N,1,1,Record of Decision,9/28/06,2006,45011970100,+33.3910823,-081.3942081,-81.398875,33.39387
