state_fips,state,geoid,census_tract_2,year,value,data_comment,tract_latitude,tract_longitude
45,South Carolina,45001950100,"Abbeville County, SC - 45001950100",2016,0.90%,,+34.4109638,-082.3305988
45,South Carolina,45001950200,"Abbeville County, SC - 45001950200",2016,0.70%,,+34.3258512,-082.4084968
45,South Carolina,45001950300,"Abbeville County, SC - 45001950300",2016,0.60%,,+34.2530788,-082.5824673
45,South Carolina,45001950400,"Abbeville County, SC - 45001950400",2016,1.00%,,+34.2280103,-082.3768866
45,South Carolina,45001950500,"Abbeville County, SC - 45001950500",2016,1.10%,,+34.1266067,-082.3805235
45,South Carolina,45001950600,"Abbeville County, SC - 45001950600",2016,0.70%,,+34.1246804,-082.5850722
45,South Carolina,45003020100,"Aiken County, SC - 45003020100",2016,0.80%,,+33.7594321,-081.5589626
45,South Carolina,45003020200,"Aiken County, SC - 45003020200",2016,1.30%,,+33.6685580,-081.6441212
45,South Carolina,45003020301,"Aiken County, SC - 45003020301",2016,2.20%,,+33.6617363,-081.7996383
45,South Carolina,45003020302,"Aiken County, SC - 45003020302",2016,3.60%,,+33.6120849,-081.7527523
45,South Carolina,45003020400,"Aiken County, SC - 45003020400",2016,7.30%,,+33.5687354,-081.8385837
45,South Carolina,45003020500,"Aiken County, SC - 45003020500",2016,7.00%,,+33.5803686,-081.9174472
45,South Carolina,45003020601,"Aiken County, SC - 45003020601",2016,4.80%,,+33.5595196,-081.8939455
45,South Carolina,45003020602,"Aiken County, SC - 45003020602",2016,14.80%,,+33.5393479,-081.9336458
45,South Carolina,45003020701,"Aiken County, SC - 45003020701",2016,15.60%,,+33.5232476,-081.9710806
45,South Carolina,45003020702,"Aiken County, SC - 45003020702",2016,24.40%,,+33.5019859,-081.9498430
45,South Carolina,45003020801,"Aiken County, SC - 45003020801",2016,9.40%,,+33.5217441,-081.9924680
45,South Carolina,45003020802,"Aiken County, SC - 45003020802",2016,21.40%,,+33.4918418,-081.9708285
45,South Carolina,45003020901,"Aiken County, SC - 45003020901",2016,2.50%,,+33.3899311,-081.8925725
45,South Carolina,45003020902,"Aiken County, SC - 45003020902",2016,2.80%,,+33.4770252,-081.8642791
45,South Carolina,45003021001,"Aiken County, SC - 45003021001",2016,8.10%,,+33.5096425,-081.8696608
45,South Carolina,45003021002,"Aiken County, SC - 45003021002",2016,12.70%,,+33.5044854,-081.9155699
45,South Carolina,45003021101,"Aiken County, SC - 45003021101",2016,7.90%,,+33.5131735,-081.8298967
45,South Carolina,45003021102,"Aiken County, SC - 45003021102",2016,8.50%,,+33.5290504,-081.8045716
45,South Carolina,45003021201,"Aiken County, SC - 45003021201",2016,9.60%,,+33.5235450,-081.7639732
45,South Carolina,45003021202,"Aiken County, SC - 45003021202",2016,6.30%,,+33.5444436,-081.7430826
45,South Carolina,45003021203,"Aiken County, SC - 45003021203",2016,12.60%,,+33.4860371,-081.7256873
45,South Carolina,45003021300,"Aiken County, SC - 45003021300",2016,21.60%,,+33.5673561,-081.7526423
45,South Carolina,45003021400,"Aiken County, SC - 45003021400",2016,22.00%,,+33.5732059,-081.7228476
45,South Carolina,45003021500,"Aiken County, SC - 45003021500",2016,17.40%,,+33.5438340,-081.7090286
45,South Carolina,45003021601,"Aiken County, SC - 45003021601",2016,4.80%,,+33.5657978,-081.6608854
45,South Carolina,45003021602,"Aiken County, SC - 45003021602",2016,6.50%,,+33.5103235,-081.6813231
45,South Carolina,45003021700,"Aiken County, SC - 45003021700",2016,0.60%,,+33.6526535,-081.4246323
45,South Carolina,45003021800,"Aiken County, SC - 45003021800",2016,0.50%,,+33.5855572,-081.3305280
45,South Carolina,45003021900,"Aiken County, SC - 45003021900",2016,0.50%,,+33.4808781,-081.5175166
45,South Carolina,45003022001,"Aiken County, SC - 45003022001",2016,1.70%,,+33.4469771,-081.6399794
45,South Carolina,45003022002,"Aiken County, SC - 45003022002",2016,1.60%,,+33.4164848,-081.7462502
45,South Carolina,45003022100,"Aiken County, SC - 45003022100",2016,1.00%,,+33.3147374,-081.8384557
45,South Carolina,45003980100,"Aiken County, SC - 45003980100",2016,1.70%,,+33.3087672,-081.6897357
45,South Carolina,45005970200,"Allendale County, SC - 45005970200",2016,0.70%,,+33.0356436,-081.4486751
45,South Carolina,45005970300,"Allendale County, SC - 45005970300",2016,0.70%,,+33.0551986,-081.2151634
45,South Carolina,45005970400,"Allendale County, SC - 45005970400",2016,0.70%,,+32.8745690,-081.3241455
45,South Carolina,45007000200,"Anderson County, SC - 45007000200",2016,23.50%,,+34.5217065,-082.6449925
45,South Carolina,45007000300,"Anderson County, SC - 45007000300",2016,19.30%,,+34.5294088,-082.6282596
45,South Carolina,45007000500,"Anderson County, SC - 45007000500",2016,8.40%,,+34.4911674,-082.6046235
45,South Carolina,45007000600,"Anderson County, SC - 45007000600",2016,22.60%,,+34.4882459,-082.6349474
45,South Carolina,45007000700,"Anderson County, SC - 45007000700",2016,29.10%,,+34.4939131,-082.6616905
45,South Carolina,45007000800,"Anderson County, SC - 45007000800",2016,25.60%,,+34.5151855,-082.6815651
45,South Carolina,45007000900,"Anderson County, SC - 45007000900",2016,27.80%,,+34.5201103,-082.6661004
45,South Carolina,45007001000,"Anderson County, SC - 45007001000",2016,35.90%,,+34.5398822,-082.6812250
45,South Carolina,45007001100,"Anderson County, SC - 45007001100",2016,18.00%,,+34.5418110,-082.6594195
45,South Carolina,45007010102,"Anderson County, SC - 45007010102",2016,7.90%,,+34.7312026,-082.5183665
45,South Carolina,45007010103,"Anderson County, SC - 45007010103",2016,7.70%,,+34.7838001,-082.5142370
45,South Carolina,45007010104,"Anderson County, SC - 45007010104",2016,2.30%,,+34.7232770,-082.5844651
45,South Carolina,45007010200,"Anderson County, SC - 45007010200",2016,6.10%,,+34.7136393,-082.4741527
45,South Carolina,45007010300,"Anderson County, SC - 45007010300",2016,5.80%,,+34.6570078,-082.4929075
45,South Carolina,45007010401,"Anderson County, SC - 45007010401",2016,9.00%,,+34.6216670,-082.4858460
45,South Carolina,45007010402,"Anderson County, SC - 45007010402",2016,3.20%,,+34.5777621,-082.5046973
45,South Carolina,45007010500,"Anderson County, SC - 45007010500",2016,4.30%,,+34.6393655,-082.5726968
45,South Carolina,45007010600,"Anderson County, SC - 45007010600",2016,2.40%,,+34.6465816,-082.6814321
45,South Carolina,45007010700,"Anderson County, SC - 45007010700",2016,4.70%,,+34.6422416,-082.7791119
45,South Carolina,45007010800,"Anderson County, SC - 45007010800",2016,2.40%,,+34.5681044,-082.8011252
45,South Carolina,45007010900,"Anderson County, SC - 45007010900",2016,1.80%,,+34.5210374,-082.8802369
45,South Carolina,45007011001,"Anderson County, SC - 45007011001",2016,3.00%,,+34.4896667,-082.7909898
45,South Carolina,45007011002,"Anderson County, SC - 45007011002",2016,7.10%,,+34.5383252,-082.7246007
