name,lat_34,long_35,address,city_2,state_2,zip_2,county_2,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
B & J Produce,33.303722,-81.0605,13734 US Hwy 78,Bamberg,SC,29003,Bamberg County,US,No_Match,,,,,,,
Vance Farmers Market,33.442168,-80.421936,10318 Old Number 6 Hwy,Vance,SC,29163,Orangeburg County,US,No_Match,,,,,,,
Johns Island Farmers Market Chareston Collegiate School Campus,32.709194,-80.06504,2055 Bohicket Rd,Johns Island,SC,29455,Charleston County,US,No_Match,,,,,,,
Allendale Open Air Market,32.9807319,-81.2687272,1066 State Hwy 47,Fairfax,SC,29827,Allendale County,US,No_Match,,,,,,,
Downtown Beaufort Farmers Market,32.433228,-80.67861,1411 Bay St,Beaufort,SC,29902,Beaufort County,US,Match,Exact,87606144,R,45,013,000700,2058
Four Seasons Produce Market,32.57233697,-80.74346734,NA US 21,Seabrook,SC,29940,Beaufort County,US,No_Match,,,,,,,
Moncks Corner Farmer's Market,33.1925269,-80.00321548,418 E Main St,Moncks Corner,SC,29461,Berkeley County,US,Tie,,,,,,,
Cross Community Center's Farmer's Market,33.363518,-80.19132,1681 Old Highway 6,Cross,SC,29436,Berkeley County,US,Match,Non_Exact,100734617,L,45,015,020101,2006
Goose Creek Farmer's Market,32.97933,-80.02503,211 Howe Hall Rd,Goose Creek,SC,29445,Berkeley County,US,Match,Exact,100746610,L,45,015,020809,3015
Mount Pleasant Farmers Market,32.79136713,-79.87254835,498 Venning St,Mount Pleasant,SC,29464,Charleston County,US,No_Match,,,,,,,
Charleston Farmers Market,32.787136,-79.93455,328 Meeting St,Charleston,SC,29403,Charleston County,US,Match,Exact,108807685,R,45,019,000700,2012
Musc Farmers Market,32.785675,-79.946686,171 UT Ashley Ave,Charleston,SC,29403,Charleston County,US,Match,Non_Exact,108813957,L,45,019,002004,2013
James Island Presbyterian Church Fm Seeds Of Hope,32.717525,-79.964424,1633 Ft Johnson Rd,Charleston,SC,29412,Charleston County,US,No_Match,,,,,,,
