census_tract,lila_tracts_1and10,lila_tracts_half_and10,lila_tracts_1and20,low_income_tracts,poverty_rate,median_family_income,GEOID,tract_latitude,tract_longitude
45001950100,0,0,0,1,13.4,47500,45001950100,+34.4109638,-082.3305988
45001950200,0,0,0,0,18.8,61524,45001950200,+34.3258512,-082.4084968
45001950300,0,0,0,1,19.7,43646,45001950300,+34.2530788,-082.5824673
45001950400,0,0,0,1,26.1,55669,45001950400,+34.2280103,-082.3768866
45001950500,1,1,1,1,23.5,41622,45001950500,+34.1266067,-082.3805235
45001950600,1,1,0,1,29.7,39512,45001950600,+34.1246804,-082.5850722
45003020100,1,1,0,1,19.6,40444,45003020100,+33.7594321,-081.5589626
45003020200,0,0,0,0,9,71162,45003020200,+33.6685580,-081.6441212
45003020301,0,0,0,0,10.2,59116,45003020301,+33.6617363,-081.7996383
45003020302,0,0,0,1,15.5,49964,45003020302,+33.6120849,-081.7527523
45003020400,0,0,0,1,22.1,56071,45003020400,+33.5687354,-081.8385837
45003020500,0,0,0,0,6.3,98313,45003020500,+33.5803686,-081.9174472
45003020601,0,0,0,0,2.7,94479,45003020601,+33.5595196,-081.8939455
45003020602,1,1,1,1,20.7,47063,45003020602,+33.5393479,-081.9336458
45003020701,0,0,0,0,13.3,65694,45003020701,+33.5232476,-081.9710806
45003020702,0,1,0,1,24.1,43309,45003020702,+33.5019859,-081.9498430
45003020801,0,0,0,0,0.8,88333,45003020801,+33.5217441,-081.9924680
45003020802,1,1,1,1,22.8,48500,45003020802,+33.4918418,-081.9708285
45003020901,0,0,0,0,16,51632,45003020901,+33.3899311,-081.8925725
45003020902,0,0,0,1,14.9,50733,45003020902,+33.4770252,-081.8642791
45003021001,0,0,0,1,21.9,50281,45003021001,+33.5096425,-081.8696608
45003021002,1,1,1,1,33.6,30882,45003021002,+33.5044854,-081.9155699
45003021101,1,1,1,1,35,29966,45003021101,+33.5131735,-081.8298967
45003021102,0,0,0,0,16.9,52578,45003021102,+33.5290504,-081.8045716
45003021201,0,0,0,0,6.4,86208,45003021201,+33.5235450,-081.7639732
45003021202,0,0,0,0,9.4,76902,45003021202,+33.5444436,-081.7430826
45003021203,0,0,0,0,5.6,79936,45003021203,+33.4860371,-081.7256873
45003021300,0,0,0,0,11.6,64643,45003021300,+33.5673561,-081.7526423
45003021400,0,1,0,1,41.8,29670,45003021400,+33.5732059,-081.7228476
45003021500,0,0,0,0,13.9,68519,45003021500,+33.5438340,-081.7090286
45003021601,0,0,0,1,22.8,42027,45003021601,+33.5657978,-081.6608854
45003021602,0,0,0,0,8.7,69478,45003021602,+33.5103235,-081.6813231
45003021700,0,0,0,1,17.5,48291,45003021700,+33.6526535,-081.4246323
45003021800,0,0,0,1,20.6,44764,45003021800,+33.5855572,-081.3305280
45003021900,0,0,0,1,24.5,58542,45003021900,+33.4808781,-081.5175166
45003022001,0,0,0,0,14.1,64365,45003022001,+33.4469771,-081.6399794
45003022002,0,0,0,0,9.8,70119,45003022002,+33.4164848,-081.7462502
