census_tract,state,county,urban,pop2010,ohu2010,group_quarters_flag,numgqtrs,pctgqtrs,lila_tracts_1and10,lila_tracts_half_and10,lila_tracts_1and20,lila_tracts_vehicle,hunv_flag,low_income_tracts,poverty_rate,median_family_income,la1and10,l_ahalfand10,la1and20,la_tracts_half,la_tracts1,la_tracts10,la_tracts20,la_tracts_vehicle_20,lapop1_10,lapop05_10,lapop1_20,lalowi1_10,lalowi05_10,lalowi1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,tract_lowi,tract_kids,tract_seniors,tract_white,tract_black,tract_asian,tract_nhopi,tract_aian,tract_o_multir,tract_hispanic,tract_hunv,tract_snap,tract_latitude,tract_longitude
45001950100,South Carolina,Abbeville County,0,3254,1315,0,42,1.29,0,0,0,0,0,1,13.4,47500,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,3074,94.47,1271,39.07,705,21.68,484,14.88,2648,81.37,363,11.17,4,0.12,0,0.00,13,0.39,46,1.41,32,1.00,60,4.58,225,17.09,2583,79.39,1096,33.68,616,18.94,379,11.65,2248,69.09,282,8.67,4,0.12,0,0.00,11,0.33,38,1.18,29,0.89,44,3.32,187,14.21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1185,736,523,2782,406,4,0,13,49,33,64,223,+34.4109638,-082.3305988
45001950200,South Carolina,Abbeville County,0,4195,1381,0,645,15.38,0,0,0,0,0,0,18.8,61524,0,0,0,0,0,0,0,0,14,14,NULL,5,5,NULL,4195,100.00,1488,35.47,916,21.84,636,15.16,3364,80.19,742,17.69,25,0.60,0,0.00,3,0.07,61,1.45,45,1.07,85,6.17,205,14.81,4195,100.00,1488,35.47,916,21.84,636,15.16,3364,80.19,742,17.69,25,0.60,0,0.00,3,0.07,61,1.45,45,1.07,85,6.17,205,14.81,14,0.32,5,0.11,4,0.09,2,0.04,6,0.14,8,0.19,0,0.00,0,0.00,0,0.00,0,0.00,0,0.00,0,0.02,1,0.05,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1334,916,636,3364,742,25,0,3,61,45,80,189,+34.3258512,-082.4084968
45001950300,South Carolina,Abbeville County,0,3130,1312,0,4,0.13,0,0,0,1,1,1,19.7,43646,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,3130,100.00,1424,45.48,647,20.67,628,20.06,2801,89.49,268,8.56,6,0.19,5,0.16,11,0.35,39,1.25,16,0.51,146,11.11,188,14.31,3130,100.00,1424,45.48,647,20.67,628,20.06,2801,89.49,268,8.56,6,0.19,5,0.16,11,0.35,39,1.25,16,0.51,146,11.11,188,14.31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1511,647,628,2801,268,6,5,11,39,16,157,194,+34.2530788,-082.5824673
45001950400,South Carolina,Abbeville County,0,6073,2387,0,114,1.88,0,0,0,1,1,1,26.1,55669,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,5361,88.28,2046,33.70,1258,20.71,835,13.75,3814,62.81,1422,23.41,18,0.29,0,0.00,11,0.19,96,1.58,79,1.31,212,8.88,505,21.16,3457,56.93,1094,18.02,809,13.33,504,8.30,2744,45.19,635,10.46,11,0.18,0,0.00,7,0.12,60,0.99,62,1.02,83,3.46,309,12.95,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2299,1412,962,4203,1730,21,0,12,107,87,255,576,+34.2280103,-082.3768866
45001950500,South Carolina,Abbeville County,1,5701,2329,0,96,1.68,1,1,1,1,1,1,23.5,41622,1,1,1,1,1,0,0,1,2529,4457,2529,678,1750,678,4457,78.18,1750,30.70,1051,18.43,722,12.66,2676,46.94,1697,29.76,16,0.28,0,0.00,9,0.16,59,1.04,39,0.69,275,11.83,437,18.75,2529,44.35,678,11.89,576,10.11,390,6.84,1792,31.44,704,12.35,4,0.07,0,0.00,6,0.11,22,0.39,8,0.15,67,2.87,239,10.28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2119,1391,923,2962,2629,17,0,11,82,43,337,484,+34.1266067,-082.3805235
45001950600,South Carolina,Abbeville County,0,3064,1266,0,0,0,1,1,0,1,1,1,29.7,39512,1,1,0,0,0,1,0,1,2633,2633,NULL,1562,1562,NULL,3064,100.00,1805,58.92,685,22.36,531,17.33,1579,51.53,1412,46.08,2,0.07,0,0.00,10,0.33,61,1.99,31,1.01,134,10.59,312,24.66,3064,100.00,1805,58.92,685,22.36,531,17.33,1579,51.53,1412,46.08,2,0.07,0,0.00,10,0.33,61,1.99,31,1.01,134,10.59,312,24.66,2633,85.94,1562,50.97,597,19.47,454,14.81,1313,42.86,1250,40.78,2,0.05,0,0.00,10,0.33,59,1.93,29,0.95,116,9.13,267,21.06,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1874,685,531,1579,1412,2,0,10,61,31,121,289,+34.1246804,-082.5850722
45003020100,South Carolina,Aiken County,0,4830,1854,0,48,0.99,1,1,0,1,1,1,19.6,40444,1,1,0,0,0,1,0,1,1003,1003,NULL,473,473,NULL,4830,100.00,2152,44.56,1188,24.60,632,13.08,3390,70.19,1197,24.78,6,0.12,5,0.10,8,0.17,224,4.64,310,6.42,140,7.56,345,18.59,4830,100.00,2152,44.56,1188,24.60,632,13.08,3390,70.19,1197,24.78,6,0.12,5,0.10,8,0.17,224,4.64,310,6.42,140,7.56,345,18.59,1003,20.76,473,9.80,283,5.86,116,2.41,860,17.81,104,2.15,0,0.00,1,0.02,1,0.02,37,0.76,44,0.91,17,0.94,70,3.79,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,2221,1188,632,3390,1197,6,5,8,224,310,146,365,+33.7594321,-081.5589626
45003020200,South Carolina,Aiken County,0,5817,2197,0,16,0.28,0,0,0,0,0,0,9,71162,0,0,0,0,0,0,0,0,15,15,NULL,1,1,NULL,5817,100.00,1275,21.91,1424,24.48,707,12.15,4457,76.62,1067,18.34,25,0.43,3,0.05,39,0.67,226,3.89,289,4.97,70,3.17,163,7.43,5817,100.00,1275,21.91,1424,24.48,707,12.15,4457,76.62,1067,18.34,25,0.43,3,0.05,39,0.67,226,3.89,289,4.97,70,3.17,163,7.43,15,0.26,1,0.02,2,0.03,4,0.06,14,0.24,1,0.01,0,0.00,0,0.00,0,0.00,0,0.00,0,0.01,0,0.00,1,0.02,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1262,1424,707,4457,1067,25,3,39,226,289,73,159,+33.6685580,-081.6441212
45003020301,South Carolina,Aiken County,0,2407,937,0,0,0,0,0,0,0,0,0,10.2,59116,0,0,0,0,0,0,0,0,NULL,NULL,NULL,NULL,NULL,NULL,2407,100.00,782,32.51,549,22.81,289,12.01,1844,76.61,360,14.96,2,0.08,0,0.00,15,0.62,186,7.73,204,8.48,66,7.07,157,16.74,2407,100.00,782,32.51,549,22.81,289,12.01,1844,76.61,360,14.96,2,0.08,0,0.00,15,0.62,186,7.73,204,8.48,66,7.07,157,16.74,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,838,549,289,1844,360,2,0,15,186,204,68,161,+33.6617363,-081.7996383
45003020302,South Carolina,Aiken County,0,5480,2220,0,0,0,0,0,0,1,1,1,15.5,49964,0,0,0,0,0,0,0,1,NULL,NULL,NULL,NULL,NULL,NULL,5388,98.31,3179,58.01,1311,23.92,629,11.47,2515,45.90,2625,47.91,54,0.99,0,0.00,25,0.46,168,3.07,175,3.20,112,5.04,373,16.78,5236,95.55,3069,56.01,1273,23.23,607,11.08,2475,45.16,2522,46.03,54,0.98,0,0.00,24,0.44,161,2.94,166,3.03,109,4.90,363,16.33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,3708,1337,635,2525,2705,55,0,25,170,178,128,441,+33.6120849,-081.7527523
