Clinic Name,Address,Specialty,Hours of Operation,lat...3,long...4,geo_method,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
ANDERSON FREE CLINIC,414 North Fant Street,,,34.50806039,-82.64587421,Google Maps,34.508247,-82.645579,1,rooftop,111,Marshall Ct,,,Anderson,SC,Anderson County,29621,US,Anderson
ANDERSON FREE CLINIC AT HONEA PATH,34 North Main Street,,,34.44952666,-82.39356099,Google Maps,34.449146,-82.393553,1,rooftop,302,N Shirley Ave,,,Honea Path,SC,Anderson County,29654,US,Anderson
BARRIER ISLANDS FREE MEDICAL CLINIC,3226 Maybank Highway,,,32.73185257,-80.06075042,osm,32.732129,-80.061065,1,rooftop,3226 B,Maybank Hwy,,,Johns Island,SC,Charleston County,29455,US,Charleston
BLUFFTON/JASPER VIM CLINIC,1 Burnt Church Road,,,32.248838,-80.844019,osm,32.249145,-80.844483,1,rooftop,20,Burnt Church Rd,,,Bluffton,SC,Beaufort County,29910,US,Beaufort
BLUFFTON/JASPER VIM CLINIC RIDGELAND SATELLITE,11332 N Jacob Smart Blvd,,,32.48938895,-80.97683684,Google Maps,32.489425,-80.977036,1,rooftop,11433,N Jacob Smart Blvd,,,Ridgeland,SC,Jasper County,29936,US,Jasper County G
CARES CLINIC (MUSC),1145 Six Mile Road,,,32.84149446,-79.81621097,Google Maps,32.842203,-79.816053,1,nearest_street,,US 17,,,Mount Pleasant,SC,Charleston County,29464,US,TIGER/Line® dataset from the US Census Bureau
CLEMSON FREE CLINIC,1200 Tiger Blvd,,,34.69003325,-82.82983087,osm,34.690016,-82.82983,1,rooftop,1200,Tiger Blvd,,,Clemson,SC,Pickens County,29631,US,Pickens
CLEMSON UNIVERSITY – JOSEPH SULLIVAN CENTER,"101 Edwards Hall, Clemson, SC 29634",,,34.6778994,-82.83389504,Google Maps,34.67743,-82.833814,1,rooftop,221,Epsilon Zeta Dr,,,Clemson,SC,Pickens County,29631,US,Pickens
CLEMSON UNIVERSITY – JOSEPH SULLIVAN CENTER WALHALLA SATELLITE,200 Booker Dr,,,34.76343418,-83.06629841,osm,34.763206,-83.066352,1,rooftop,101,Booker Dr,,,Walhalla,SC,Oconee County,29691,US,Oconee
COMMUNITY MEDICAL CLINIC OF AIKEN COUNTY,244 Greenville Street Northwest,,,33.56768129,-81.72320714,Google Maps,33.567609,-81.723167,1,rooftop,335,Greenville St NW,,,Aiken,SC,Aiken County,29801,US,Aiken County G
COMMUNITY MEDICAL CLINIC OF AIKEN COUNTY,244 Greenville Street Northwest,,,33.56768129,-81.72320714,Google Maps,33.567609,-81.723167,1,rooftop,335,Greenville St NW,,,Aiken,SC,Aiken County,29801,US,Aiken County G
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY,110 c East Dekalb Street,,,34.24941401,-80.59588944,Google Maps,34.249302,-80.594574,0.97,nearest_street,1143,Mathis Ct,,,Camden,SC,Kershaw County,29020,US,TIGER/Line® dataset from the US Census Bureau
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – BETHUNE SATELLITE,101 Elm Street,,,34.41657531,-80.34953964,Google Maps,34.416063,-80.349274,0.98,nearest_street,200,State Hwy 341,,,Bethune,SC,Kershaw County,29009,US,TIGER/Line® dataset from the US Census Bureau
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – CASSATT BAPTIST CHURCH SATELLITE,"2604 US-1 N, Cassatt, SC, 29032",,,34.36717772,-80.43495574,Google Maps,34.365719,-80.433938,0.97,nearest_street,2625,US Hwy 1,,,Cassatt,SC,Kershaw County,29032,US,TIGER/Line® dataset from the US Census Bureau
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – DEKALB BAPTIST CHURCH SATELLITE,"2034 Dekalb School Rd, Camden, SC, 29020",,,34.37937119,-80.59768661,Google Maps,34.379815,-80.596582,0.97,nearest_street,1993,US Hwy 601,,,Camden,SC,Kershaw County,29020,US,TIGER/Line® dataset from the US Census Bureau
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – NORTH CENTRAL HIGH SCHOOL SATELLITE,3000 Lockhart Rd,,,34.43145922,-80.52634783,Google Maps,34.431947,-80.527261,0.98,nearest_street,3031,State Rd S-28-20,,,Kershaw,SC,Kershaw County,29067,US,TIGER/Line® dataset from the US Census Bureau
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – REFUGE BAPTIST CHURCH SATELLITE,2814 Lockhart Rd,,,34.41983624,-80.53546948,census,34.419961,-80.535713,0.99,nearest_street,2840,State Rd S-28-20,,,Kershaw,SC,Kershaw County,29067,US,TIGER/Line® dataset from the US Census Bureau
