clinic_name,specialty,hours_of_operation,geoid,tract_latitude,tract_longitude,lat,lon
ANDERSON FREE CLINIC,,,45007012300,+34.5134656,-082.6052554,34.50806039,-82.64587421
ANDERSON FREE CLINIC AT HONEA PATH,,,45007011500,+34.4662024,-082.4055574,34.44952666,-82.39356099
BARRIER ISLANDS FREE MEDICAL CLINIC,,,45019002101,+32.7430103,-080.0840064,32.73185257,-80.06075042
BLUFFTON/JASPER VIM CLINIC,,,45013002108,+32.2226585,-080.8256590,32.248838,-80.844019
BLUFFTON/JASPER VIM CLINIC RIDGELAND SATELLITE,,,45053950202,+32.5364880,-080.8861724,32.48938895,-80.97683684
CARES CLINIC (MUSC),,,45019004610,+32.8245244,-079.7688751,32.84149446,-79.81621097
CLEMSON FREE CLINIC,,,45077011205,+34.6834674,-082.8345660,34.69003325,-82.82983087
CLEMSON UNIVERSITY – JOSEPH SULLIVAN CENTER,,,45077011202,+34.6464820,-082.8300268,34.6778994,-82.83389504
CLEMSON UNIVERSITY – JOSEPH SULLIVAN CENTER WALHALLA SATELLITE,,,45073030401,+34.7713029,-083.0642802,34.76343418,-83.06629841
COMMUNITY MEDICAL CLINIC OF AIKEN COUNTY,,,45003021400,+33.5732059,-081.7228476,33.56768129,-81.72320714
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY,,,45055970800,+34.2226390,-080.5951484,34.24941401,-80.59588944
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – BETHUNE SATELLITE,,,45055970100,+34.4265586,-080.3805615,34.41657531,-80.34953964
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – CASSATT BAPTIST CHURCH SATELLITE,,,45055970100,+34.4265586,-080.3805615,34.36717772,-80.43495574
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – DEKALB BAPTIST CHURCH SATELLITE,,,45055970602,+34.3673741,-080.6043918,34.37937119,-80.59768661
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – NORTH CENTRAL HIGH SCHOOL SATELLITE,,,45055970200,+34.5100021,-080.4724066,34.43145922,-80.52634783
