clinic_name,address,specialty,hours_of_operation,geo_method,geometry,intersection,geoid
ANDERSON FREE CLINIC,414 North Fant Street,,,Google Maps,-82.64587421|34.50806039,205,45007012300
ANDERSON FREE CLINIC AT HONEA PATH,34 North Main Street,,,Google Maps,-82.39356099|34.44952666,239,45007011500
BARRIER ISLANDS FREE MEDICAL CLINIC,3226 Maybank Highway,,,osm,-80.06075042|32.73185257,223,45019002101
BLUFFTON/JASPER VIM CLINIC,1 Burnt Church Road,,,osm,-80.844019|32.248838,106,45013002108
BLUFFTON/JASPER VIM CLINIC RIDGELAND SATELLITE,11332 N Jacob Smart Blvd,,,Google Maps,-80.97683684|32.48938895,1100,45053950202
CARES CLINIC (MUSC),1145 Six Mile Road,,,Google Maps,-79.81621097|32.84149446,351,45019004610
CLEMSON FREE CLINIC,1200 Tiger Blvd,,,osm,-82.82983087|34.69003325,62,45077011205
CLEMSON UNIVERSITY – JOSEPH SULLIVAN CENTER,"101 Edwards Hall, Clemson, SC 29634",,,Google Maps,-82.83389504|34.6778994,1020,45077011202
CLEMSON UNIVERSITY – JOSEPH SULLIVAN CENTER WALHALLA SATELLITE,200 Booker Dr,,,osm,-83.06629841|34.76343418,576,45073030401
COMMUNITY MEDICAL CLINIC OF AIKEN COUNTY,244 Greenville Street Northwest,,,Google Maps,-81.72320714|33.56768129,901,45003021400
COMMUNITY MEDICAL CLINIC OF AIKEN COUNTY,244 Greenville Street Northwest,,,Google Maps,-81.72320714|33.56768129,901,45003021400
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY,110 c East Dekalb Street,,,Google Maps,-80.59588944|34.24941401,127,45055970800
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – BETHUNE SATELLITE,101 Elm Street,,,Google Maps,-80.34953964|34.41657531,122,45055970100
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – CASSATT BAPTIST CHURCH SATELLITE,"2604 US-1 N, Cassatt, SC, 29032",,,Google Maps,-80.43495574|34.36717772,122,45055970100
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – DEKALB BAPTIST CHURCH SATELLITE,"2034 Dekalb School Rd, Camden, SC, 29020",,,Google Maps,-80.59768661|34.37937119,125,45055970602
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – NORTH CENTRAL HIGH SCHOOL SATELLITE,3000 Lockhart Rd,,,Google Maps,-80.52634783|34.43145922,128,45055970200
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – REFUGE BAPTIST CHURCH SATELLITE,2814 Lockhart Rd,,,census,-80.53546948|34.41983624,125,45055970602
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY LUGOFF SATELLITE,"1165 US-1 S, Lugoff, SC, 29078",,,Google Maps,-80.69770133|34.21744878,572,45055970403
DILLON COUNTY FREE MEDICAL CLINIC,310 East Washington Street,,,Google Maps,-79.36709012|34.41920912,713,45033970300
DREAM CENTER CLINIC,5505 North Rhett Avenue,,,osm,-79.98569116|32.8995939,82,45019003400
EDISTO INDIAN FREE CLINIC,1125 Ridge Rd,,,osm,-80.377413|33.067127,856,45035010400
FREE MEDICAL CLINIC OF CHEROKEE COUNTY,499 W Rutledge Ave,,,Google Maps,-81.65972378|35.07128291,620,45021970201
FREE MEDICAL CLINIC OF DARLINGTON COUNTY,203 Grove Street,,,Google Maps,-79.87033265|34.30225264,982,45031011100
FREE MEDICAL CLINIC OF DARLINGTON COUNTY – HARTSVILLE SATELLITE,500 West Carolina Avenue,,,Google Maps,-80.08347029|34.37226968,993,45031010500
