clinic_name,address,specialty,hours_of_operation,lat,long,geo_method
ANDERSON FREE CLINIC,414 North Fant Street,,,34.5062889433489,-82.6460117567215,osm
ANDERSON FREE CLINIC AT HONEA PATH,34 North Main Street,,,42.6951394,-73.3738122,osm
BARRIER ISLANDS FREE MEDICAL CLINIC,3226 Maybank Highway,,,32.7318525732568,-80.0607504211588,osm
BLUFFTON/JASPER VIM CLINIC,1 Burnt Church Road,,,35.18512,-88.127022,osm
BLUFFTON/JASPER VIM CLINIC RIDGELAND SATELLITE,11332 N Jacob Smart Blvd,,,32.5005782,-80.9719608,osm
CARES CLINIC (MUSC),1145 Six Mile Road,,,32.839765,-79.815269,osm
CLEMSON FREE CLINIC,1200 Tiger Blvd,,,34.69003325,-82.8298308671183,osm
CLEMSON UNIVERSITY – JOSEPH SULLIVAN CENTER,"101 Edwards Hall, Clemson, SC 29634",,,,,osm
CLEMSON UNIVERSITY – JOSEPH SULLIVAN CENTER WALHALLA SATELLITE,200 Booker Dr,,,31.3211572121212,-85.838804,osm
COMMUNITY MEDICAL CLINIC OF AIKEN COUNTY,244 Greenville Street Northwest,,,33.565434372844,-81.7235426731088,osm
COMMUNITY MEDICAL CLINIC OF AIKEN COUNTY,244 Greenville Street Northwest,,,33.565434372844,-81.7235426731088,osm
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY,110 c East Dekalb Street,,,41.632895,-88.681324122449,osm
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – BETHUNE SATELLITE,101 Elm Street,,,41.507539,-88.078383,osm
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – CASSATT BAPTIST CHURCH SATELLITE,"2604 US-1 N, Cassatt, SC, 29032",,,34.366028,-80.43351,census
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – DEKALB BAPTIST CHURCH SATELLITE,"2034 Dekalb School Rd, Camden, SC, 29020",,,,,osm
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – NORTH CENTRAL HIGH SCHOOL SATELLITE,3000 Lockhart Rd,,,43.9325671,-78.6097466,osm
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – REFUGE BAPTIST CHURCH SATELLITE,2814 Lockhart Rd,,,35.2090579893,-82.2438372655151,osm
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY LUGOFF SATELLITE,"1165 US-1 S, Lugoff, SC, 29078",,,34.217907,-80.69704,census
DILLON COUNTY FREE MEDICAL CLINIC,310 East Washington Street,,,48.4194723,-122.332876725002,osm
DREAM CENTER CLINIC,5505 North Rhett Avenue,,,32.8995938984927,-79.9856911609201,osm
EDISTO INDIAN FREE CLINIC,1125 Ridge Rd,,,40.7676502630407,-75.1041487660039,osm
FREE MEDICAL CLINIC OF CHEROKEE COUNTY,499 W Rutledge Ave,,,39.895991,-75.321723,osm
FREE MEDICAL CLINIC OF DARLINGTON COUNTY,203 Grove Street,,,40.0739903265306,-106.102378938776,osm
FREE MEDICAL CLINIC OF DARLINGTON COUNTY – HARTSVILLE SATELLITE,500 West Carolina Avenue,,,32.533769,-92.643805,osm
"FREE MEDICAL CLINIC OF NEWBERRY COUNTY, INC.",2568 Kinard Street,,,34.2885253848699,-81.6053631628509,osm
FRIENDSHIP MEDICAL CLINIC & PHARMACY,1396 SC-544,,,33.6342724649698,-78.9652970726626,osm
GOOD NEIGHBOR FREE MEDICAL CLINIC OF BEAUFORT,30 Professional Village Circle,,,32.4157802325267,-80.6522107968384,osm
GOOD SAMARITAN CLINIC,1316 Leaphart Street,,,33.9972222091833,-81.0793381909672,osm
GOOD SAMARITAN CLINIC – CHAPIN SATELLITE,1808 Chapin Road,,,43.4311774852941,-84.3103682794118,osm
GOOD SAMARITAN CLINIC – CHARLESTON SATELLITE,1786 SC-174,,,32.5751093699485,-80.2880540576518,osm
GOOD SAMARITAN CLINIC – COLUMBIA SATELLITE,7915 Old Percival Road,,,34.0597706071608,-80.9127626387797,osm
GOOD SAMARITAN MEDICAL CLINIC,139 Church Street,,,41.0627187959184,-111.967614734694,osm
GOOD SHEPHERD FREE MEDICAL CLINIC OF LAURENS COUNTY,245 Human Services Road,,,34.4851052300528,-81.9363964789776,osm
GREATER GREENWOOD UNITED MINISTRY,1404 Edgefield Street,,,31.093041,-97.762877,osm
GREENVILLE FREE MEDICAL CLINIC,600 Arlington Avenue Greenville,,,34.842327,-82.41797,census
GREENVILLE FREE MEDICAL CLINIC – GOLDEN STRIP FREE CLINIC SATELLITE,1101 Howard Street,,,41.0116938,-77.6568289,osm
