clinic_name,address,specialty,hours_of_operation,geoid,tract_latitude,tract_longitude,lat,lon
ANDERSON FREE CLINIC,414 North Fant Street,,,45007012300,+34.5134656,-082.6052554,-82.64587421,34.50806039
ANDERSON FREE CLINIC AT HONEA PATH,34 North Main Street,,,45007011500,+34.4662024,-082.4055574,-82.39356099,34.44952666
BARRIER ISLANDS FREE MEDICAL CLINIC,3226 Maybank Highway,,,45019002101,+32.7430103,-080.0840064,-80.06075042,32.73185257
BLUFFTON/JASPER VIM CLINIC,1 Burnt Church Road,,,45013002108,+32.2226585,-080.8256590,-80.844019,32.248838
BLUFFTON/JASPER VIM CLINIC RIDGELAND SATELLITE,11332 N Jacob Smart Blvd,,,45053950202,+32.5364880,-080.8861724,-80.97683684,32.48938895
CARES CLINIC (MUSC),1145 Six Mile Road,,,45019004610,+32.8245244,-079.7688751,-79.81621097,32.84149446
CLEMSON FREE CLINIC,1200 Tiger Blvd,,,45077011205,+34.6834674,-082.8345660,-82.82983087,34.69003325
CLEMSON UNIVERSITY – JOSEPH SULLIVAN CENTER,"101 Edwards Hall, Clemson, SC 29634",,,45077011202,+34.6464820,-082.8300268,-82.83389504,34.6778994
CLEMSON UNIVERSITY – JOSEPH SULLIVAN CENTER WALHALLA SATELLITE,200 Booker Dr,,,45073030401,+34.7713029,-083.0642802,-83.06629841,34.76343418
COMMUNITY MEDICAL CLINIC OF AIKEN COUNTY,244 Greenville Street Northwest,,,45003021400,+33.5732059,-081.7228476,-81.72320714,33.56768129
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY,110 c East Dekalb Street,,,45055970800,+34.2226390,-080.5951484,-80.59588944,34.24941401
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – BETHUNE SATELLITE,101 Elm Street,,,45055970100,+34.4265586,-080.3805615,-80.34953964,34.41657531
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – CASSATT BAPTIST CHURCH SATELLITE,"2604 US-1 N, Cassatt, SC, 29032",,,45055970100,+34.4265586,-080.3805615,-80.43495574,34.36717772
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – DEKALB BAPTIST CHURCH SATELLITE,"2034 Dekalb School Rd, Camden, SC, 29020",,,45055970602,+34.3673741,-080.6043918,-80.59768661,34.37937119
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – NORTH CENTRAL HIGH SCHOOL SATELLITE,3000 Lockhart Rd,,,45055970200,+34.5100021,-080.4724066,-80.52634783,34.43145922
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – REFUGE BAPTIST CHURCH SATELLITE,2814 Lockhart Rd,,,45055970602,+34.3673741,-080.6043918,-80.53546948,34.41983624
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY LUGOFF SATELLITE,"1165 US-1 S, Lugoff, SC, 29078",,,45055970403,+34.2183873,-080.6619753,-80.69770133,34.21744878
DILLON COUNTY FREE MEDICAL CLINIC,310 East Washington Street,,,45033970300,+34.4536751,-079.4414521,-79.36709012,34.41920912
DREAM CENTER CLINIC,5505 North Rhett Avenue,,,45019003400,+32.8958105,-079.9746618,-79.98569116,32.8995939
EDISTO INDIAN FREE CLINIC,1125 Ridge Rd,,,45035010400,+33.0372476,-080.3509226,-80.377413,33.067127
