Clinic Name,Address,Specialty,Hours of Operation,lat,long,geo_method
ANDERSON FREE CLINIC,414 North Fant Street,,,34.50806039,-82.64587421,Google Maps
ANDERSON FREE CLINIC AT HONEA PATH,34 North Main Street,,,34.44952666,-82.39356099,Google Maps
BARRIER ISLANDS FREE MEDICAL CLINIC,3226 Maybank Highway,,,32.73185257,-80.06075042,osm
BLUFFTON/JASPER VIM CLINIC,1 Burnt Church Road,,,32.248838,-80.844019,osm
BLUFFTON/JASPER VIM CLINIC RIDGELAND SATELLITE,11332 N Jacob Smart Blvd,,,32.48938895,-80.97683684,Google Maps
CARES CLINIC (MUSC),1145 Six Mile Road,,,32.84149446,-79.81621097,Google Maps
CLEMSON FREE CLINIC,1200 Tiger Blvd,,,34.69003325,-82.82983087,osm
CLEMSON UNIVERSITY – JOSEPH SULLIVAN CENTER,"101 Edwards Hall, Clemson, SC 29634",,,34.6778994,-82.83389504,Google Maps
CLEMSON UNIVERSITY – JOSEPH SULLIVAN CENTER WALHALLA SATELLITE,200 Booker Dr,,,34.76343418,-83.06629841,osm
COMMUNITY MEDICAL CLINIC OF AIKEN COUNTY,244 Greenville Street Northwest,,,33.56768129,-81.72320714,Google Maps
COMMUNITY MEDICAL CLINIC OF AIKEN COUNTY,244 Greenville Street Northwest,,,33.56768129,-81.72320714,Google Maps
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY,110 c East Dekalb Street,,,34.24941401,-80.59588944,Google Maps
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – BETHUNE SATELLITE,101 Elm Street,,,34.41657531,-80.34953964,Google Maps
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – CASSATT BAPTIST CHURCH SATELLITE,"2604 US-1 N, Cassatt, SC, 29032",,,34.36717772,-80.43495574,Google Maps
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – DEKALB BAPTIST CHURCH SATELLITE,"2034 Dekalb School Rd, Camden, SC, 29020",,,34.37937119,-80.59768661,Google Maps
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – NORTH CENTRAL HIGH SCHOOL SATELLITE,3000 Lockhart Rd,,,34.43145922,-80.52634783,Google Maps
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY – REFUGE BAPTIST CHURCH SATELLITE,2814 Lockhart Rd,,,34.41983624,-80.53546948,census
COMMUNITY MEDICAL CLINIC OF KERSHAW COUNTY LUGOFF SATELLITE,"1165 US-1 S, Lugoff, SC, 29078",,,34.21744878,-80.69770133,Google Maps
DILLON COUNTY FREE MEDICAL CLINIC,310 East Washington Street,,,34.41920912,-79.36709012,Google Maps
DREAM CENTER CLINIC,5505 North Rhett Avenue,,,32.8995939,-79.98569116,osm
