permit_type,name_of_facility,geoid,tract_latitude,tract_longitude,lat,lon
HLTATTOOFAC,123 EAST COAST INK,45077010602,+34.8637948,-082.5383536,34.830702,-82.510477
HLINHOMECARE,180 HEALTH AND WELLNESS,45047970400,+34.1698568,-082.2054546,34.191021,-82.160886
HLINHOMECARE,1ST IN HOME CARE PROVIDERS,45091061103,+34.9732156,-080.9385943,34.997516,-80.928422
HLINHOMECARE,24HR HOME CARE SERVICES LLC,45085000902,+33.9307112,-080.3812259,33.950971,-80.387413
HLADULTDAYCARE,2ND INNING DAYCARE,45007010102,+34.7312026,-082.5183665,34.784765,-82.471947
HLTATTOOFAC,3 ACES TATTOO STUDIO,45079011412,+34.0874725,-080.9065740,34.086062,-80.934394
HLBODYPIERCINGFAC,5 POINTS BODY PIERCING,45079003000,+34.0011753,-081.0215931,33.999844,-81.017441
HLINHOMECARE,5 STAR HOME CARE,45051051000,+33.6667569,-078.9501527,33.678353,-78.964947
HLTATTOOFAC,7 SINS TATTOO,45047970301,+34.2232322,-082.1807949,34.19910091,-82.17155601
HLTATTOOFAC,737 GRAPHIC INK STUDIO,45079010103,+34.1714304,-080.9313751,34.136174,-80.923319
HLINHOMECARE,A & E SERVICES,45085000901,+33.9483910,-080.3732220,33.9499,-80.370336
HLINHOMECARE,A BETTER CHOICE HOME CARE,45019002604,+32.8222997,-080.0002429,32.821645,-79.993587
HLINHOMECARE,A BETTER DAY HOME CARE LLC,45085001802,+33.9284520,-080.5360489,33.954977,-80.399533
HLINHOMECARE,A C T CARE SERVICES,45071950601,+34.1917033,-081.5448551,34.213824,-81.546231
HLINHOMECARE,A HAND TO HOLD,"",,,32.063845,-81.162872
HLINHOMECARE,A INTEGRITY HOME CARE SERVICE,45045002812,+34.8035511,-082.2698565,34.815081,-82.286501
HLINHOMECARE,A MOTHERS CHOICE HOME CARE,45091060700,+34.9606397,-081.0380086,34.944432,-81.031274
HLINHOMECARE,A NEW JOURNEY HEALTHCARE AND SENIOR SERVICES,45085001300,+33.9165836,-080.3525729,33.92052012,-80.35127019
HLINHOMECARE,A NURSE NEXTDOOR SENIOR CARE SERVICES,45035010817,+32.9342310,-080.1169023,32.933894,-80.120883
HLINHOMECARE,A PLUS HOME CARE SOLUTIONS,45035010815,+32.9645311,-080.1462027,32.967122,-80.145578
HLINHOMECARE,A REMEDY HOME CARE,45083023102,+34.9459973,-082.1019723,34.956182,-82.119798
HLINHOMECARE,A ROSE IS STILL A ROSE HOME CARE,45029970600,+32.8621886,-080.5963164,32.787431,-80.63691
HLINHOMECARE,A STEP ABOVE IN HOME CARE,45085000901,+33.9483910,-080.3732220,33.934449,-80.36881
HLINHOMECARE,A TOUCH OF HELP,45045001101,+34.8804194,-082.3786068,34.865942,-82.38079
HLINHOMECARE,A TOUCH OF LIFE CARE AGENCY LLC,45045003705,+34.8515148,-082.4672029,34.853782,-82.456806
HLINHOMECARE,A TOUCH OF LOVE HOME CARE,45045002107,+34.8167433,-082.4266676,34.804759,-82.431036
HLINHOMECARE,A VILLAGE HOME CARE LLC,45075011300,+33.4824862,-080.8596624,33.490863,-80.861282
HLINHOMECARE,A&T CARE - KERSHAW,45057010200,+34.5820726,-080.5578749,34.54627099,-80.58319006
HLINHOMECARE,AAA CARE LLC,45045002803,+34.8679018,-082.2744454,34.861192,-82.272424
HLINHOMECARE,AAA HEALTHCARE CONSULTANTS LLC,45091060501,+34.9325443,-081.0382008,34.929987,-81.033716
HLHOSPITAL,ABBEVILLE AREA MEDICAL CENTER,45001950500,+34.1266067,-082.3805235,34.1595649,-82.38342996
HLRENALDIALYSIS,ABBEVILLE DIALYSIS,45001950500,+34.1266067,-082.3805235,34.18644536,-82.34732932
HLNURSINGCARE,ABBEVILLE NURSING HOME,45001950500,+34.1266067,-082.3805235,34.15938159,-82.38124361
HLHOSPICEPROGRAM,ABBEY ROAD HOSPICE,45063021109,+34.0512270,-081.1754666,34.05503199,-81.17668606
HLBODYPIERCINGFAC,ABNORMAL GIFTS,45077010804,+34.8226519,-082.5830564,34.8280411,-82.57117222
HLINHOMECARE,ABOUNDING ANGELS HEALTH CARE LLC,45079011411,+34.1087411,-080.9119775,34.09386819,-80.92401364
HLINHOMECARE,ABOVE & BEYOND CARE SERVICES,45045003705,+34.8515148,-082.4672029,34.853804,-82.455857
HLTATTOOFAC,ABOVE ALL ELSE TATTOOS,45083022007,+34.9036817,-081.9662257,34.911226,-81.983397
HLINHOMECARE,ABOVE AND BEYOND HOME CARE,45057011002,+34.7643953,-080.6816257,34.724988,-80.74473
HLINHOMECARE,ABOVE BEYOND HOMECARE,45003021002,+33.5044854,-081.9155699,33.495304,-81.933938
HLINHOMECARE,ABSOLUTE CARE SOLUTIONS,45083021200,+34.9509248,-081.9167596,34.949528,-81.933086
HLINHOMECARE,ABSOLUTE HEALTH CARE LLC,45041000300,+34.2297143,-079.7387975,34.222248,-79.759454
HLINHOMECARE,ABUNDANCE HOME CARE LLC,45043920503,+33.4766920,-079.1281755,33.449802,-79.126284
HLINHOMECARE,ABUNDANCE OF GRACE HOME CARE SERVICES,45045001101,+34.8804194,-082.3786068,34.866678,-82.382003
HLRESIDENTIALCARE,ABUNDANT LIFE ADULT CARE,45075011300,+33.4824862,-080.8596624,33.472626,-80.854558
HLINHOMECARE,ABUNDANT LIFE HOME CARE SERVICES LLC,45091060501,+34.9325443,-081.0382008,34.929987,-81.033716
HLTATTOOFAC,ABZOLUTEINK TATTOO GALLERY,45079010410,+34.0561676,-081.1188141,34.062754,-81.114691
HLHABITATIONR15,ACADEMY STREET COMMUNITY RESIDENCE,45011970100,+33.3910823,-081.3942081,33.40783941,-81.41838071
HLINHOMECARE,ACCESS HEALTH CARE SERVICES INC OF COLUMBIA,45079000500,+34.0325295,-081.0314226,34.03051183,-81.03564955
HLINHOMECARE,ACCESS HEALTH CARE SERVICES INC OF GREENVILLE,45045004400,+34.8479697,-082.3501653,34.83923432,-82.35605002
HLINHOMECARE,ACCESS HEALTH CARE SERVICES OF CHARLESTON,45019003114,+32.9525906,-080.0509817,32.949258,-80.04052
HLINHOMECARE,ACCESS HEALTH SERVICES OF ROCK HILL,45091060804,+34.9707405,-081.0072752,34.97427542,-81.0267113
HLTATTOOFAC,ACES HIGH TATTOO,45051050600,+33.7041378,-078.8898834,33.70761309,-78.9065439
HLRESIDENTIALCARE,ACLINE PLACE,45041002201,+33.8669969,-079.7884800,33.87595697,-79.75396593
HLINHOMECARE,ACTIKARE,45079010305,+34.1045973,-081.1970626,34.118969,-81.205723
HLINHOMECARE,ACTI-KARE RESPONSIVE IN-HOME CARE-HILTON HEAD,45013010300,+32.1728039,-080.7602214,32.15535121,-80.76135202
HLADULTDAYCARE,ACTIVE DAY OF BOILING SPRINGS,45083022406,+35.0323381,-081.9747638,35.037542,-81.97818603
HLADULTDAYCARE,ACTIVE DAY OF CHARLESTON,45019002612,+32.8174841,-080.0204648,32.80820555,-80.02235592
HLADULTDAYCARE,ACTIVE DAY OF GEORGETOWN,45043920600,+33.3933217,-079.3306841,33.38585529,-79.31087129
HLADULTDAYCARE,ACTIVE DAY OF GRAND STRAND,45051050500,+33.7168113,-078.8665665,33.72736325,-78.86657095
HLADULTDAYCARE,ACTIVE DAY OF GREENVILLE,45045002201,+34.8682367,-082.4358816,34.868148,-82.42776199
HLADULTDAYCARE,ACTIVE DAY OF GREER,45045002505,+34.9340064,-082.2349844,34.92530649,-82.22413549
HLADULTDAYCARE,ACTIVE DAY OF LIBERTY,45077011002,+34.7760173,-082.6984761,34.78491678,-82.69734547
HLADULTDAYCARE,ACTIVE DAY OF LOW COUNTRY,45015020720,+33.0167927,-080.0592717,33.01096586,-80.0524358
HLADULTDAYCARE,ACTIVE DAY OF PEE DEE,45041000101,+34.2251954,-079.8268928,34.23986323,-79.80029489
HLADULTDAYCARE,ACTIVE DAY OF SUMTER,45085000700,+33.9552524,-080.3123100,33.940063,-80.318209
HLADULTDAYCARE,ACTIVE DAY OF WINNSBORO,45039960400,+34.3646209,-081.0494245,34.38438775,-81.08828471
HLINHOMECARE,ACTS: OF LOVE HOME CARE AGENCY,45079010103,+34.1714304,-080.9313751,34.153522,-80.914402
HLHEARINGAIDSPEC,"ADAMS, ALEXANDER J.",45063021026,+34.0088334,-081.2774501,33.998955,-81.268157
HLINHOMECARE,ADD LIGHT HOME CARE,45085000901,+33.9483910,-080.3732220,33.941833,-80.372181
HLPSADOUTPATIENT,ADDCARE COUNSELING,45045000500,+34.8376715,-082.4115284,34.84137876,-82.40986094
HLRESIDENTIALCARE,ADDISON'S COMMUNITY CARE HOME,45079011413,+34.1061891,-080.8804863,34.08643913,-80.86475718
