objectid,permit_type,name_of_facility,location_street,location_city,location_state,zip_code,facility_number,facility_email,admin_name_phone,facility_cont_email,license_expires,county_ownership_type,mailing_address,mailing_city,mailing_state,mailing_zip,licensee,licensee_business_phone,cms_certification,county,evacuation_zone,licensee_county,x_2,y_2,geoid,tract_latitude,tract_longitude,lat,lon
6575,HLTATTOOFAC,123 EAST COAST INK,4134 CALHOUN MEMORIAL HWY,EASLEY,SC,29640-9070,864-295-2559,BUSINESSWOMAN1726@ICLOUD.COM,"HALL, TERESA L. PH#: 864-386-2751",WILDFLOWER090904@GMAIL.COM,TF-0340 / 08/31/2021,Pickens / Sole Proprietorship,,,,,"HALL, TERESA",864-386-2751,,Pickens,,Pickens,361877.6275,3855308.811,45077010602,+34.8637948,-082.5383536,34.830702,-82.510477
7571,HLINHOMECARE,180 HEALTH AND WELLNESS,104 MAXWELL AVE STE 345,GREENWOOD,SC,29646,864-377-8289,180HEALTHANDWELLNESSGWD@GMAIL.COM,PH#:,,IHCP-0248 / 07/31/2021,Greenwood / Limited Liability,PO BOX 49606,GREENWOOD,SC,29649-0011,180 HEALTH AND WELLNESS LLC,864-377-8289,,Greenwood,,Greenwood,393032.6552,3783945.337,45047970400,+34.1698568,-082.2054546,34.191021,-82.160886
7797,HLINHOMECARE,1ST IN HOME CARE PROVIDERS,109 COBURN CT,FORT MILL,SC,29715-6918,803-317-2464,INHOMECARE.FORTMILLSC@GMAIL.COM,"LOVETT, SALMA PH#:",,IHCP-0007 / 01/31/2022,York / Sole Proprietorship,,,,,"GRAHAM, DARLENE F.",609-254-6336,,York,,York,506531.9037,3872769.962,45091061103,+34.9732156,-080.9385943,34.997516,-80.928422
7589,HLINHOMECARE,24HR HOME CARE SERVICES LLC,304 W WESMARK #8,SUMTER,SC,29150,803-305-8837,HOMECARESERVICES24@YAHOO.COM,"MARTIN, TAMMY PH#: 803-305-8837",,IHCP-1202 / 05/31/2021,Sumter / Limited Liability,,,,,24HR HOME CARE SERVICES LLC,803-305-8837,,Sumter,,Sumter,556604.0557,3756888.711,45085000902,+33.9307112,-080.3812259,33.950971,-80.387413
7648,HLADULTDAYCARE,2ND INNING DAYCARE,100 BUSINESS PKWY A-C,PIEDMONT,SC,29673,908-616-3569,YOMANDN1@YAHOO.COM,"PATEL, BRIJESH PH#:",,ADC-0460 / 06/30/2021,Anderson / Limited Liability,,,,,OM HARI LLC,908-616-3569,,Anderson,,Greenville,365326.4691,3850161.763,45007010102,+34.7312026,-082.5183665,34.784765,-82.471947
7771,HLTATTOOFAC,3 ACES TATTOO STUDIO,8502 TWO NOTCH RD STE G,COLUMBIA,SC,29223,803-764-4472,3ACESTATTOOSTUDIO@GMAIL.COM,PH#:,,TF-0365 / 08/31/2021,Richland /,,,,,3 ACES TATTOO LLC,803-404-0276,,Richland,,Kershaw,506052.5327,3771700.392,45079011412,+34.0874725,-080.9065740,34.086062,-80.934394
7555,HLBODYPIERCINGFAC,5 POINTS BODY PIERCING,2002 GREENE ST STE E,COLUMBIA,SC,29205,803-467-6000,FOOD4LAFAYETTE@GMAIL.COM,PH#:,,BP-0296 / 02/28/2022,Richland / Limited Liability,,,,,5 POINTS BODY PIERCING,803-467-6000,,Richland,,Richland,498389.4761,3762138.798,45079003000,+34.0011753,-081.0215931,33.999844,-81.017441
8150,HLINHOMECARE,5 STAR HOME CARE,4703 HWY 17S BYPASS STE B,MYRTLE BEACH,SC,29577,843-212-7986,DMAHNKEN@5STARHOMECARE.ORG,"JOHNSON, MICHELLE PH#: 843-756-5487",,IHCP-0825 / 03/31/2022,Horry / Corporation,,,,,5 STAR HOME CARE INC,843-212-7986,,Horry,B,Horry,688653.599,3728351.609,45051051000,+33.6667569,-078.9501527,33.678353,-78.964947
6789,HLTATTOOFAC,7 SINS TATTOO,204 MONTAGUE AVE STE B,GREENWOOD,SC,29649-1937,864-223-3583,SEVENSINSTATTOO@LIVE.COM,"JOHNSON, DAVID, II. PH#:",,TF-0011 / 07/31/2021,Greenwood / Sole Proprietorship,204 MONTAGUE AVE STE B,GREENWOOD,SC,29649-1937,"BRANDT, KAREN L.",864-223-3583,,Greenwood,,Greenwood,392059.6221,3784852.577,45047970301,+34.2232322,-082.1807949,34.19910091,-82.17155601
6316,HLTATTOOFAC,737 GRAPHIC INK STUDIO,113 BARTON CREEK CT STE C,COLUMBIA,SC,29229,619-274-0850,737GRAPHICINKSTUDIO@GMAIL.COM,PH#:,,TF-0330 / 03/31/2021,Richland /,,,,,737 GRAPHIC INK STUDIO LLC,619-274-0850,,Richland,,Richland,507070.0655,3777257.546,45079010103,+34.1714304,-080.9313751,34.136174,-80.923319
7774,HLINHOMECARE,A & E SERVICES,340 RAST ST STE 1,SUMTER,SC,29150,803-934-8888,ADRIENMULLER@YMAIL.COM,"MULLER, ERVENA PH#: 803-720-4213",ERVENA8@AOL.COM,IHCP-1265 / 09/30/2021,Sumter / Limited Liability,,,,,A & E HOME HEALTH SERVICES LLC,803-418-9556,,Sumter,,Richland,558182.7578,3756779.569,45085000901,+33.9483910,-080.3732220,33.9499,-80.370336
6564,HLINHOMECARE,A BETTER CHOICE HOME CARE,21 GAMECOCK AVE STE A,CHARLESTON,SC,29407,843-884-6456,INFO@ABCHOMECARE-SC.COM,"ROSSINO, MATTHEW L. PH#: 843-884-6456",INFO@ABCHOMECARE-SC.COM,IHCP-0061 / 02/28/2022,Charleston / Ltd. Liability,1514 MATHIS FERRY RD STE204,MT PLEASANT,SC,29464,A BETTER CHOICE HOME CARE LLC,843-884-6456,,Charleston,A,Charleston,594205.7372,3631963.236,45019002604,+32.8222997,-080.0002429,32.821645,-79.993587
7553,HLINHOMECARE,A BETTER DAY HOME CARE LLC,1236-C WILSON HALL RD,SUMTER,SC,29150,803-869-4114,ABETTERDAYHOMECARE2018@GMAIL.COM,"WESTERMAN, LEE PH#:",,IHCP-0975 / 02/28/2022,Sumter / Limited Liability,2455 EQUINOX AVE,DALZELL,SC,29040,A BETTER DAY HOME CARE LLC,803-316-5694,,Sumter,,Sumter,555481.5178,3757326.309,45085001802,+33.9284520,-080.5360489,33.954977,-80.399533
7368,HLINHOMECARE,A C T CARE SERVICES,126 WILLIAMS WOOD DR,PROSPERITY,SC,29127,803-271-1353,TAMMY@ACTCARESERVICES.COM,PH#:,,IHCP-1144 / 10/31/2021,Newberry / Limited Liability,,,,,A C T CARE SERVICES LLC,803-271-1353,,Newberry,,Newberry,449683.3474,3785999.602,45071950601,+34.1917033,-081.5448551,34.213824,-81.546231
4697,HLINHOMECARE,A HAND TO HOLD,125 PARK OF COMMERCE DR STE 203,SAVANNAH,GA,31405,912-432-9778,CWILLIAMS@AHANDTOHOLD.COM,"COOPER, SHELLEY PH#: 000-000-0000; WILLIAMS, CONNIE PH#: 912-432-9778",,IHCP-0632 / 03/31/2022,Out of State / Corporation,125 PARK OF COMMERCE DR STE 203,SAVANNAH,GA,31404,A HAND TO HOLD INC,912-432-9778,,Out of State,,Out of State,484626.6559,3547524.035,"",,,32.063845,-81.162872
7937,HLINHOMECARE,A INTEGRITY HOME CARE SERVICE,109-A PILGRIM RD,GREENVILLE,SC,29607,864-612-0219,TINATATETT66@GMAIL.COM,PH#:,,IHCP-1339 / 11/30/2021,Greenville / Sole Proprietorship,,,,,"TATE, TINA R.",864-612-0219,,Greenville,,Greenville,382337.7426,3853290.767,45045002812,+34.8035511,-082.2698565,34.815081,-82.286501
5743,HLINHOMECARE,A MOTHERS CHOICE HOME CARE,1030 OAKLAND AVE STE 104,ROCK HILL,SC,29732,803-233-2077,AMCHOMEHEALTHCARE@GMAIL.COM,PH#:,,IHCP-0347 / 05/31/2021,York / Limited Liability,2260 CROSSPOINTE DR STE 201,ROCK HILL,SC,29730-8261,A MOTHERS CHOICE HOME HEALTHCARE,803-554-7114,,York,,York,497144.3731,3866881.215,45091060700,+34.9606397,-081.0380086,34.944432,-81.031274
6886,HLINHOMECARE,A NEW JOURNEY HEALTHCARE AND SENIOR SERVICES,410 W LIBERTY ST STE 201,SUMTER,SC,29150-4865,803-305-1489,JOURNEYNEW201@GMAIL.COM,"MCCLERKLIN, CHRISTOPER PH#: 803-305-1489",JOURNEYNEW201@GMAIL.COM,IHCP-0151 / 05/31/2021,Sumter / Limited Liability,410 W LIBERTY ST STE 201,SUMTER,SC,29150-4865,A NEW JOURNEY HEALTHCARE AND SENIOR SERVICES LLC,803-445-4907,,Sumter,,Sumter,559965.0176,3753532.91,45085001300,+33.9165836,-080.3525729,33.92052012,-80.35127019
8108,HLINHOMECARE,A NURSE NEXTDOOR SENIOR CARE SERVICES,8790 SHADOWGLEN DR,NORTH CHARLESTON,SC,29420,843-597-5588,ANURSENEXTDOOR06@GMAIL.COM,PH#:,,IHCP-1408 / 02/28/2022,Charleston / Limited Liability,,,,,A NURSE NEXTDOOR SENIOR CARE SERVICES LLC,843-597-5588,,Charleston,E,Charleston,582186.0866,3644301.248,45035010817,+32.9342310,-080.1169023,32.933894,-80.120883
8045,HLINHOMECARE,A PLUS HOME CARE SOLUTIONS,203 OAKMONT AVE UNIT C,LADSON,SC,29456,843-718-5814,APLUSHOMECARESOLUTIONS@GMAIL.COM,"WHEELER, AMY PH#: 843-718-5814",,IHCP-1231 / 01/31/2022,Dorchester / Limited Liability,,,,,A PLUS HOME CARE SOLUTIONS LLC,843-718-5814,,Dorchester,D,Dorchester,579847.4786,3647966.08,45035010815,+32.9645311,-080.1462027,32.967122,-80.145578
4800,HLINHOMECARE,A REMEDY HOME CARE,199 SPARTANBURG HWY,LYMAN,SC,29365,864-804-3002,MIRANDA@REMEDYHOMECARESC.COM,PH#:,,IHCP-0717 / 05/31/2021,Spartanburg / Limited Liability,7281 NEW CUT RD,INMAN,SC,29349,A REMEDY HOME CARE LLC,864-804-3002,,Spartanburg,,Spartanburg,397759.958,3868756.264,45083023102,+34.9459973,-082.1019723,34.956182,-82.119798
8137,HLINHOMECARE,A ROSE IS STILL A ROSE HOME CARE,78 BOXWOOD LN,WALTERBORO,SC,29488,414-499-7378,SLIDDELL57@GMAIL.COM,PH#:,,IHCP-1198 / 01/31/2022,Colleton / Limited Liability,,,,,A ROSE IS STILL A ROSE HOME CARE,414-499-7378,,Colleton,B,Colleton,533999.6229,3627780.292,45029970600,+32.8621886,-080.5963164,32.787431,-80.63691
7679,HLINHOMECARE,A STEP ABOVE IN HOME CARE,533 OXFORD ST STE C,SUMTER,SC,29150-3333,803-774-4035,CWASTEPABOVE@YAHOO.COM,"WITHERSPOON, CLAUDETTE PH#: 803-774-4035",,IHCP-0348 / 09/30/2021,Sumter / Limited Liability,533A OXFORD ST STE A,SUMTER,SC,29150-3333,A STEP ABOVE IN HOME CARE LLC,803-774-4035,,Sumter,,Sumter,558334.3334,3755067.243,45085000901,+33.9483910,-080.3732220,33.934449,-80.36881
7721,HLINHOMECARE,A TOUCH OF HELP,1 CHICK SPRINGS RD STE 313D,GREENVILLE,SC,29609,864-609-4456,ATOUCHOFHELP@GMAIL.COM,"JONES, NICOLE PH#:",,IHCP-1233 / 08/31/2021,Greenville / Limited Liability,,,,,A TOUCH OF HELP LLC,864-609-4456,,Greenville,,Greenville,373791.334,3859046.222,45045001101,+34.8804194,-082.3786068,34.865942,-82.38079
7538,HLINHOMECARE,A TOUCH OF LIFE CARE AGENCY LLC,159 COMMON WAY STE E,GREENVILLE,SC,29609,864-535-0709,ATOUCHOFLIFECA@GMAIL.COM,"HILL, LEONARD PH#:",,IHCP-0928 / 09/30/2021,Greenville / Limited Liability,,,,,A TOUCH OF LIFE CARE AGENCY LLC,864-535-0709,,Greenville,,Greenville,366823.0818,3857795.97,45045003705,+34.8515148,-082.4672029,34.853782,-82.456806
6584,HLINHOMECARE,A TOUCH OF LOVE HOME CARE,2710 WHITE HORSE RD,GREENVILLE,SC,29611-6145,864-908-2845,BRIDGETTE3407.BL@GMAIL.COM,"LOWDEN, BRIDGETTE PH#: 864-908-2845",BRIDGETTE3407.BL@GMAIL.COM,IHCP-0921 / 07/31/2021,Greenville / Limited Liability,,,,,LOWDEN'S HOME CARE LLC,864-520-1616,,Greenville,,Greenville,369101.4859,3852325.036,45045002107,+34.8167433,-082.4266676,34.804759,-82.431036
7509,HLINHOMECARE,A VILLAGE HOME CARE LLC,1408 RUSSELL ST STE 15,ORANGEBURG,SC,29115,803-937-5841,AVILLAGEHOMECARELLC@GMAIL.COM,PH#:,,IHCP-1176 / 02/28/2022,Orangeburg / Limited Liability,,,,,A VILLAGE HOME CARE LLC,803-539-3055,,Orangeburg,,Orangeburg,512886.3508,3705714.845,45075011300,+33.4824862,-080.8596624,33.490863,-80.861282
2772,HLINHOMECARE,A&T CARE - KERSHAW,207 W SUMTER ST,KERSHAW,SC,29067,803-577-1776,AMELIABARBER@ATADULTDAYCARE.US,"BARBER, AMELIA A. PH#: 803-287-6801",AMELIABARBER@ATADULTDAYCARE.US,IHCP-0583 / 08/31/2021,Lancaster / Corporation,207 W SUMTER ST,KERSHAW,SC,29067,A&T CARE,803-577-1776,,Lancaster,,Lancaster,538243.4726,3822807.005,45057010200,+34.5820726,-080.5578749,34.54627099,-80.58319006
5069,HLINHOMECARE,AAA CARE LLC,3505 PELHAM RD STE B,GREENVILLE,SC,29615,864-295-1949,ARICHARD429@GMAIL.COM,PH#:,,IHCP-0185 / 06/30/2021,Greenville / Limited Liability,143 COMMONS WAY,GREENVILLE,SC,29611-3850,AAA CARE LLC,864-295-1949,,Greenville,,Greenville,383690.2224,3858388.23,45045002803,+34.8679018,-082.2744454,34.861192,-82.272424
7890,HLINHOMECARE,AAA HEALTHCARE CONSULTANTS LLC,331 E MAIN ST STE 200,ROCK HILL,SC,29730,704-998-1494,ALLENRANDY58@ATT.NET,PH#:,,IHCP-1170 / 10/31/2021,York / Limited Liability Limited Partnership,,,,,AAA HEALTHCARE CONSULTANTS LLC,704-998-1494,,York,,York,496920.7931,3865279.467,45091060501,+34.9325443,-081.0382008,34.929987,-81.033716
36,HLHOSPITAL,ABBEVILLE AREA MEDICAL CENTER,420 THOMSON CIR,ABBEVILLE,SC,29620-5656,864-366-5011,ADMINASSISTANT@ABBEVILLEAREAMC.COM,"TURNER, HOWARD DEAN PH#: 864-366-3312",DTURNER@ABBEVILLEAREAMC.COM,HTL-0899 / 07/31/2021,Abbeville / County,420 THOMSON CIR,ABBEVILLE,SC,29620-5656,ABBEVILLE COUNTY MEMORIAL HOSPITAL,864-366-5011,421301,Abbeville,,Abbeville,372478.0014,3780712.997,45001950500,+34.1266067,-082.3805235,34.1595649,-82.38342996
1332,HLRENALDIALYSIS,ABBEVILLE DIALYSIS,904 W GREENWOOD ST,ABBEVILLE,SC,29620-5687,864-459-0347,SCL_C@DAVITA.COM,"BONDS, KAREN PH#: 864-388-0045; COOK, TAMMY PH#: 864-459-0347",MEGAN.SEIFARTH@DAVITA.COM,ERD-0191 / 09/30/2021,Abbeville / Corporation,"5200 VIRGINIA WAY STE 400, LICENSING AND CERTIFICATION",BRENTWOOD,TN,37027-7569,TOTAL RENAL CARE INC,720-631-2100,,Abbeville,,Out of State,372359.4101,3780819.576,45001950500,+34.1266067,-082.3805235,34.18644536,-82.34732932
679,HLNURSINGCARE,ABBEVILLE NURSING HOME,83 THOMSON CIR,ABBEVILLE,SC,29620-5652,864-366-5122,ABBNH@WCTEL.NET,"HUGHES, ALAN L., SR. PH#: 864-366-5122",ABBNH@WCTEL.NET,NCF-0266 / 12/31/2021,Abbeville / Corporation,83 THOMSON CIR,ABBEVILLE,SC,29620-5652,ABBEVILLE NURSING HOME INC,864-366-5122,425057,Abbeville,,Abbeville,372679.2746,3780689.937,45001950500,+34.1266067,-082.3805235,34.15938159,-82.38124361
1215,HLHOSPICEPROGRAM,ABBEY ROAD HOSPICE,5429 BUSH RIVER RD,COLUMBIA,SC,29212-3008,803-551-5552,SEAN@ABBEYROADHOSPICE.COM,"TAYLOR, BRAD PH#: 803-551-5552",BRAD@ABBEYROADHOSPICE.COM,HPC-0127 / 08/31/2021,Lexington / Limited Liability,5429 BUSH RIVER RD,COLUMBIA,SC,29212-3008,ABBEY ROAD HOSPICE LLC,803-551-5552,421583,Lexington,,Lexington,483693.9456,3768271.922,45063021109,+34.0512270,-081.1754666,34.05503199,-81.17668606
369,HLBODYPIERCINGFAC,ABNORMAL GIFTS,1726 E MAIN ST,EASLEY,SC,29640-3838,864-306-3004,BUSINESSWOMAN1726@ICLOUD.COM,"HALL, TERESA L. PH#: 864-386-2751",WILDFLOWER090904@GMAIL.COM,BP-0135 / 06/30/2021,Pickens / Sole Proprietorship,105 NOTTINGHAM CT,EASLEY,SC,29640,"HALL, TERESA L.",864-386-2751,,Pickens,,Pickens,356322.33,3855098.996,45077010804,+34.8226519,-082.5830564,34.8280411,-82.57117222
6915,HLINHOMECARE,ABOUNDING ANGELS HEALTH CARE LLC,9153C TWO NOTCH RD,COLUMBIA,SC,29223-5832,803-223-9178,ABOUNDINGANGELS@GMAIL.COM,"CARTER, CARMEN PH#: 803-223-9178",,IHCP-0279 / 08/31/2021,Richland / Sole Proprietorship,PO BOX 23659,COLUMBIA,SC,29224-3659,"BELTON, TROY D.",803-546-1170,,Richland,,Richland,507009.4482,3772566.582,45079011411,+34.1087411,-080.9119775,34.09386819,-80.92401364
5826,HLINHOMECARE,ABOVE & BEYOND CARE SERVICES,103 COMMONS WAY STE C,GREENVILLE,SC,29611,864-434-0880,ABOVE.BEYONDCARESERVICES@GMAIL.COM,"FERGUSON, TAMI PH#: 864-271-7840",ABOVE.BEYONDCARESERVICES@GMAIL.COM,IHCP-0865 / 04/30/2021,Greenville / Limited Liability,,,,,TMF LLC,864-271-7840,,Greenville,,Greenville,366909.8668,3857797.1,45045003705,+34.8515148,-082.4672029,34.853804,-82.455857
