site_name,bhcmis_org_id,bphc_assigned_number,site_telephone_number,GEOID,tract_latitude,tract_longitude,lat,lon
Denmark-Olar High School,041180,BPS-H80-022352,803-793-3307,45009960100,+33.3261599,-081.1667580,33.32722214,-81.12302847
ReGenesis Health Care-Union Family Dentistry,0421000,BPS-H80-031535,864-398-4185,45087030200,+34.7080486,-081.6317056,34.71504452,-81.63108294
Family Health Center at Holly Hill,041180,BPS-H80-014461,803-531-6900,45075010200,+33.3204311,-080.3922399,33.32625449,-80.41722662
Beaufort Jasper Hampton Comprehensive Health Services Mobile Unit,041190,BPS-H80-032238,843-987-7400,45053950201,+32.3984799,-080.9415727,32.31187011,-80.93488397
NEW HORIZON FAMILY HEALTH SERVICES,042610,BPS-H80-005150,864-233-1534,45045000500,+34.8376715,-082.4115284,34.83888643,-82.41454756
Valcourt Pediatric Associates,04E01160,BPS-H80-027256,843-782-3636,45029970402,+32.9671267,-080.6527418,32.92310762,-80.66903458
CSC BENNETTSVILLE CENTER,045230,BPS-H80-001872,843-479-2341,45069960200,+34.5638971,-079.7572819,34.63153227,-79.69622554
Smoaks Middle School Camp,041110,BPS-H80-020781,843-866-7850,45029970100,+33.0964204,-080.8101778,33.09103599,-80.798479
Teague Street Admin Office,045220,BPS-H80-022209,803-380-7000,45003021400,+33.5732059,-081.7228476,33.57339847,-81.71357906
COMMUNITY MEDICAL CENTER,041180,BPS-H80-002222,803-492-3031,45075010300,+33.4385177,-080.4719225,33.44285099,-80.42247713
Tandem Health,0423590,BPS-H80-005578,803-774-4500 x545,45085000800,+33.9535614,-080.3493350,33.94315527,-80.3419262
HAMPTON MEDICAL CENTER,041190,BPS-H80-005528,843-943-2233,45049920200,+32.8590563,-081.0106074,32.86553614,-81.10722632
Hopkins Pediatrics and Family Practice,043270,BPS-H80-013621,803-978-1848,45079011901,+33.9611342,-080.8599622,33.94587616,-80.87027788
Rosa Clark Medical Clinic,04E01242,BPS-H80-019264,864-888-4825,45073030800,+34.6414943,-082.9517476,34.6807845,-82.95592488
"Health Care Partners of South Carolina, Inc. - CONWAY OFFICE",047000,BPS-H80-003461,843-247-4700,45051070200,+33.8580120,-079.0476531,33.85083866,-79.05657183
