x,y,objectid,name,street,city,state,zip,county,mail_phone,website,open_jan,open_feb,open_mar,open_apr,open_may,open_jun,open_jul,open_aug,open_sep,open_oct,open_nov,open_dec,cash,check,credit,debit,other_pay,wic,senior,snap_ebt,snap_trans,h_bucks,geoid,tract_latitude,tract_longitude,lat,lon
-9023939.764,3935646.151,9584,B & J Produce,13739 Heritage Hwy,Bamberg,SC,29003,BAMBERG,8032454828,,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,,,45009960200,+33.2528574,-080.9598246,33.303722,-81.0605
-8952529.942,3954013.791,9585,Vance Farmers Market,10324 Old Number Six Hwy,Vance,SC,29163,ORANGEBURG,8034923021,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,45075010300,+33.4385177,-080.4719225,33.442168,-80.421936
-8912687.781,3856962.533,9588,Johns Island Farmers Market Chareston Collegiate School Campus,2024 Academy Rd.,Johns Island,SC,29455,CHARLESTON,8438300866,http://www.johnsislandfarmersmarket.com,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,HANDLED THROUGH OUTLET-WIDE PROGRAM,YES,45019002101,+32.7430103,-080.0840064,32.709194,-80.06504
-9051093.868,3896289.616,9592,Allendale Open Air Market,5789 Allendale Fairfax Hwy,Allendale,SC,29810,ALLENDALE,8035844556,,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,,,45005970400,+32.8745690,-081.3241455,32.9807319,-81.2687272
-8981222.153,3820394.12,9594,Downtown Beaufort Farmers Market,1501 Bay Street,Beaufort,SC,29902,BEAUFORT,(843)525-6162 OR (803)600-6049,http://www.downtownbeaufort.com/,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,45013000700,+32.4169450,-080.6897104,32.433228,-80.67861
-8995826.341,3843773.254,9596,Four Seasons Produce Market,1611 Trask Pkwy,Lobeco,SC,29931,BEAUFORT,8438462777,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,45013000100,+32.5821594,-080.7263936,32.57233697,-80.74346734
-8905938.583,3920898.535,9597,Moncks Corner Farmer's Market,418 E.Main St.,Moncks Corner,SC,29461,BERKELEY,8438994708,http://www.monckscornersc.gov/farmers-market,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,45015020506,+33.1834737,-079.9987130,33.1925269,-80.00321548
-8926983.88,3943748.533,9598,Cross Community Center's Farmer's Market,1690 Old Hwy 6,Cross,SC,29436,BERKELEY,8437532196,,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED THROUGH OUTLET-WIDE PROGRAM,,45015020101,+33.3435539,-080.1699561,33.363518,-80.19132
-8908435.617,3892474.93,9599,Goose Creek Farmer's Market,150 Howe Hall Rd.,Goose Creek,SC,29445,BERKELEY,8432248533,,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,45015020804,+32.9757600,-080.0134479,32.97933,-80.02503
-8891446.189,3867622.565,9601,Mount Pleasant Farmers Market,645 Coleman Blvd.,Mount Pleasant,SC,29464,CHARLESTON,8438848517,http://www.experiencemountpleasant.com,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,YES,45019004701,+32.7801651,-079.8675218,32.79136713,-79.87254835
-8898369.871,3866984.69,9602,Charleston Farmers Market,328 Meeting St,Charleston,SC,29403,CHARLESTON,8437247309,http://www.charlestonfarmersmarket.com/westashley/,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,45019000700,+32.7893794,-079.9385460,32.787136,-79.93455
-8899741.429,3866823.517,9603,Musc Farmers Market,171 Ashley Ave.  In Front Of Colbert Library,Charleston,SC,29425,CHARLESTON,8437929536,http://www.musc.edu/employeewellness,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,INDIVIDUAL,,45019000600,+32.7850610,-079.9510689,32.785675,-79.946686
-8901617.05,3857956.832,9604,James Island Presbyterian Church Fm Seeds Of Hope,1632 Fort Johnson Rd.,Charleston,SC,29412,CHARLESTON,843-795-3111,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,INDIVIDUAL,,45019002002,+32.7340159,-079.9611767,32.717525,-79.964424
-8942785.863,3839745.197,9605,King's Farm Market,2559 Hwy 174,Edisto Island,SC,29438,CHARLESTON,8438693600,http://www.kingsfarmmarket.com,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,45019002300,+32.5734128,-080.3153210,32.581123,-80.334015
-8922136.46,3843214.84,9606,Freshfields Village Green Farmers Market,165 Village Green Ln.,Kiawah Island,SC,29455,CHARLESTON,8437686491,http://www.freshfieldsvillage.com,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,,,45019002105,+32.5750134,-080.1820452,32.606728,-80.14868
