X,Y,OBJECTID,NAME,STREET,CITY,STATE,ZIP,COUNTY,MAIL_PHONE,WEBSITE,OPEN_JAN,OPEN_FEB,OPEN_MAR,OPEN_APR,OPEN_MAY,OPEN_JUN,OPEN_JUL,OPEN_AUG,OPEN_SEP,OPEN_OCT,OPEN_NOV,OPEN_DEC,CASH,CHECK_,CREDIT,DEBIT,OTHER_PAY,WIC,SENIOR,SNAP_EBT,SNAP_TRANS,H_BUCKS,lat,long,geo_method
-9023939.764,3935646.151,9584,B & J Produce,13739 Heritage Hwy,Bamberg,SC,29003,BAMBERG,8032454828,,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,,,33.303722,-81.0605,census
-8952529.942,3954013.791,9585,Vance Farmers Market,10324 Old Number Six Hwy,Vance,SC,29163,ORANGEBURG,8034923021,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,33.442168,-80.421936,osm
-8912687.781,3856962.533,9588,Johns Island Farmers Market Chareston Collegiate School Campus,2024 Academy Rd.,Johns Island,SC,29455,CHARLESTON,8438300866,http://www.johnsislandfarmersmarket.com,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,HANDLED THROUGH OUTLET-WIDE PROGRAM,YES,32.709194,-80.06504,census
-9051093.868,3896289.616,9592,Allendale Open Air Market,5789 Allendale Fairfax Hwy,Allendale,SC,29810,ALLENDALE,8035844556,,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,NO,NO,YES,NO,,,32.9807319,-81.2687272,osm
-8981222.153,3820394.12,9594,Downtown Beaufort Farmers Market,1501 Bay Street,Beaufort,SC,29902,BEAUFORT,(843)525-6162 OR (803)600-6049,http://www.downtownbeaufort.com/,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,32.433228,-80.67861,census
-8995826.341,3843773.254,9596,Four Seasons Produce Market,1611 Trask Pkwy,Lobeco,SC,29931,BEAUFORT,8438462777,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,32.57233697,-80.74346734,osm
-8905938.583,3920898.535,9597,Moncks Corner Farmer's Market,418 E.Main St.,Moncks Corner,SC,29461,BERKELEY,8438994708,http://www.monckscornersc.gov/farmers-market,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,33.1925269,-80.00321548,osm
-8926983.88,3943748.533,9598,Cross Community Center's Farmer's Market,1690 Old Hwy 6,Cross,SC,29436,BERKELEY,8437532196,,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED THROUGH OUTLET-WIDE PROGRAM,,33.363518,-80.19132,census
-8908435.617,3892474.93,9599,Goose Creek Farmer's Market,150 Howe Hall Rd.,Goose Creek,SC,29445,BERKELEY,8432248533,,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,32.97933,-80.02503,census
-8891446.189,3867622.565,9601,Mount Pleasant Farmers Market,645 Coleman Blvd.,Mount Pleasant,SC,29464,CHARLESTON,8438848517,http://www.experiencemountpleasant.com,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,NO,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,YES,32.79136713,-79.87254835,osm
-8898369.871,3866984.69,9602,Charleston Farmers Market,328 Meeting St,Charleston,SC,29403,CHARLESTON,8437247309,http://www.charlestonfarmersmarket.com/westashley/,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,32.787136,-79.93455,census
-8899741.429,3866823.517,9603,Musc Farmers Market,171 Ashley Ave.  In Front Of Colbert Library,Charleston,SC,29425,CHARLESTON,8437929536,http://www.musc.edu/employeewellness,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,INDIVIDUAL,,32.785675,-79.946686,census
-8901617.05,3857956.832,9604,James Island Presbyterian Church Fm Seeds Of Hope,1632 Fort Johnson Rd.,Charleston,SC,29412,CHARLESTON,843-795-3111,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,INDIVIDUAL,,32.717525,-79.964424,census
-8942785.863,3839745.197,9605,King's Farm Market,2559 Hwy 174,Edisto Island,SC,29438,CHARLESTON,8438693600,http://www.kingsfarmmarket.com,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,32.581123,-80.334015,census
-8922136.46,3843214.84,9606,Freshfields Village Green Farmers Market,165 Village Green Ln.,Kiawah Island,SC,29455,CHARLESTON,8437686491,http://www.freshfieldsvillage.com,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,,,32.606728,-80.14868,census
-8971641.901,3921146.176,9610,St. George Farmers' Market,5866 Jim Bilton Blvd,St. George,SC,29477,DORCHESTER,8435633032,,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,,33.19376,-80.591576,census
-9015471.368,3825137.676,9612,Jasper County Farmer's Market,9935 Jacob Smart Blvd,Ridgeland,SC,29936,JASPER,(843)726-8127 or (843)717-3690,,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,YES,YES,NO,,,32.4700522,-80.98781428,osm
-9046779.207,3960915.101,9613,Whittle Farm Market,9261 Neeses Hwy,Springfield,SC,29146,ORANGEBURG,8035339683,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,YES,33.493378,-81.269165,census
-8998990.996,3965612.216,9614,Right Choice Fresh Start Farmer's Market,3310 Magnolia St.,Orangeburg,SC,29115,ORANGEBURG,803-219-7009,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,HANDLED THROUGH OUTLET-WIDE PROGRAM,YES,33.52709,-80.840004,census
-8974430.605,3809327.791,9616,Otis Daise Sr. & Son Produce,113 Peaches Hill Cir.,St. Helena Island,SC,29920,BEAUFORT,8432636145,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,,32.35011,-80.61837,census
-8903863.2,3879576.999,9621,North Charleston Farmers Market,4800 Park Cir.,North Charleston,SC,29405,CHARLESTON,8437405853,http://www.northcharleston.org/residents/special-events/farmers-market,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,,YES,YES,PAY PAL,YES,YES,YES,INDIVIDUAL,YES,32.8804352,-79.9860378,osm
-8936306.75,3834577.835,9622,George And Pink Vegetable Stand,7971 Eddingsville Beach Rd.,Edisto Island,SC,29438,CHARLESTON,8438692425,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,,,32.540413,-80.27532,census
-8906695.869,3867153.128,9623,West Ashley Farmer Market,55 Sycamore Ave,Charleston,SC,29407,CHARLESTON,,http://www.charlestonfarmersmarket.com/westashley/,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,,YES,YES,YES,HANDLED BY INDIVIDUAL VENDOR,YES,32.78886422,-79.99098986,osm
-9001728.716,3960281.53,9624,Dora Farmer's Market,152 Market Street,Orangeburg,SC,29115,ORANGEBURG,,,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,YES,YES,NO,YES,,YES,INDIVIDUAL,,33.488434,-80.86363,census
-8886754.333,3864046.293,9625,Sullivan's Island Farmer's Market,1921 I'On Ave,Sullivan'S Island,SC,29482,CHARLESTON,8438835744,http://sullivansisland-sc.com/farmersmarket.aspx,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,NO,NO,YES,YES,YES,YES,,NO,NO,NO,,,32.7595,-79.84218,census
-8904134.93,3863761.267,9626,Sunday Brunch Farmers Market,1977 Maybank Highway Pour House,James Island,SC,29412,CHARLESTON,843-580-2153,http://www.sundaybrunchfarmersmarket.com,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,,,32.762455,-79.98674,census
-8932951.988,3888574.605,9629,Summers Corner,1609 Beech Hill Road,Summerville,SC,29483,DORCHESTER,,http://summerscorner.com,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,,YES,YES,YES,INDIVIDUAL,YES,32.9888304,-80.1331216,osm
-8916956.717,3859301.926,9631,Stono Market And Tomato Shed Cafe,842 Main Road,Johns Island,SC,29455,CHARLESTON,843-559-9999,http://www.stonofarmmarket.com,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,NO,NO,NO,,,32.76281,-80.10647,census
-8936641.592,3834737.726,9632,Geechie Boy Mill And Market,2975 Highway 174,Edisto Island,SC,29438,CHARLESTON,843-209-5220,http://www.geechieboymill.com,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,N/A,NO,NO,NO,,,32.59729715,-80.34651891,osm
-8916284.474,3858949.612,9634,Main Road Farmers Market,155 Main Rd,Johns Island,SC,29455,CHARLESTON,843-442-9281,http://mainroadfarmersmarke.wixsite.com/main-road-market,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,,,32.80058012,-80.10879246,osm
-8990614.172,3833004.885,9635,Rest Park Farm,191 Seabrook Road,Seabrook,SC,29920,BEAUFORT,843-592-3535,http://www.certifiedscgrown.com/members/rest-park-farms/?parent_id=6912,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,,NO,NO,NO,,,32.529583,-80.763626,census
-8970825.15,3912411.622,9636,Gruber Farm,1534 Hwy 15,St. George,SC,29477,DORCHESTER,,http://gruber-csa-farm.com/,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,YES,YES,,YES,YES,YES,HANDLED BY INDIVIDUAL VENDORS,,33.22512,-80.54004,census
-8943031.684,3929543.071,9637,Hickory Bluff Berry Farm,3019 Old Gillard Road,Holy Hill,SC,29059,BERKELEY,,http://hickorybluffnurseryandberryfarm.com/,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,,NO,NO,NO,,,33.258644,-80.33624,census
-8924710.811,3898922.739,9638,Coastal Produce Market,500 North Cedar Street,Summerville,SC,29483,DORCHESTER,,http://agriculture.sc.gov/roadside-markets/coastal-produce/,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,,NO,NO,YES,HANDLED BY INDIVIDUAL VENDORS,,33.02621,-80.17282,census
-8925567.135,3897403.754,9639,Summerville Farmers Market,218 South Main Street,Summerville,SC,29483,DORCHESTER,,http://summervillesc.gov/267/farmers-market,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,,YES,YES,YES,HANDLED BY INDIVIDUAL,,33.018215,-80.176414,census
-9025155.304,3800368.796,9640,Hardeeville Farmers Market,205 Main Street,Hardeeville,SC,29927,JASPER,843-227-4314,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,NO,NO,NO,,YES,YES,NO,,,32.282692,-81.075584,census
-8989543.543,3784284.193,9641,The Market Village Of Wexford,1000 William Hilton Parkway,Hilton Head,SC,29928,BEAUFORT,,http://villageatwexford.com,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,,YES,YES,NO,NO,,32.15676,-80.75858,census
-8914422.707,3862842.805,9642,Blackbird Market,1808 Bohicket Road,John'S Island,SC,29455,CHARLESTON,843-559-0193,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,N/A,NO,NO,YES,OUTLET WIDE,,32.715109,-80.0747488,osm
-8903950.834,3861237.628,9643,The Town Market On James Island,871 Fort Johnson Road,James Island,SC,29412,CHARLESTON,843-471-7845,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,N/A,NO,NO,NO,,,32.730595,-79.92819,census
-8900205.42,3861161.191,9644,Nano Farms Farm Stand,1444 Folly Rd,Charleston,SC,29412,CHARLESTON,843-471-7845,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,,32.71397541,-79.96489284,osm
-8893002.003,3879554.168,9645,Daniel Island Farmer's Market,860 Island Park Drive  Refuel Service Station,Daniel Island,SC,29492,BERKELEY,843-971-4405,http://www.dicommunity.org,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,N/A,NO,NO,NO,,,32.862988,-79.90578,census
-8997023.244,3856909.699,9646,Muddy Creek Farmers Market,3449 Highway 651,Cottageville,SC,29435,COLLETON,910-376-1009,,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,,,32.9550869,-80.4867817,osm
-8877866.516,3887061.303,9647,Blue Pearl Farms,9760 Randall Road,Mcclellanville,SC,29458,CHARLESTON,843-887-3554,http://bluepearlfarms.com/Home_Page.html,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,,,33.095863,-79.504005,census
-8904790.316,3878766.829,9651,Fresh Future Farm,2008 Success St,North Charleston,SC,29405,CHARLESTON,843-804-9091,http://freshfuturefarm.org,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,"SNAP,EBT",NO,NO,YES,INDIVIDUAL VENDOR,,32.853558,-79.97053,census
-8947593.857,3860741.425,9652,Jeremiah Fresh Produce,5225 Hwy 174,Adams Run,SC,29426,CHARLESTON,843-513-8923,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,NO,,,32.72189,-80.35039,census
-8915242.962,3855056.882,9653,Legare Farms,2620 Hanscombe Point Rd,John'S Island,SC,29455,CHARLESTON,8435590788,http://www.legarefarms.com,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,N/A,NO,NO,NO,,,32.67869,-80.0253,census
-8980381.164,3917754.441,9654,Cordray Farms And Processing,6708 County Line Rd,Ravenel,SC,29410,DORCHESTER,843-766-7922,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,,,32.843494,-80.27585,census
-9007999.238,3953572.663,9656,Livingston Farms,3371 Savannah Highway,North,SC,29112,ORANGEBURG,803-568-3165,,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,YES,NO,NO,NO,NO,NO,NO,NO,,,33.66709,-81.11076,census
-8892238.265,4122771.012,9660,Cheraw Farmers Market,105 Front St.,Cheraw,SC,29520,CHESTERFIELD,843-910-4478 or 843-537-8425,,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,NO,NO,YES,YES,NO,N/A,NO,34.697075,-79.880295,census
-8914813.295,4074480.739,9662,Dixon Produce,448 W.Bobo Newsome Hwy,Hartsville,SC,29550,DARLINGTON,843-309-4262,,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,N/A,NO,34.33919793,-80.08092849,osm
-9091173.625,4140285.587,9663,Veggie Patch,385 Poplar St.,Jonesville,SC,29353,UNION,,,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,NO,YES,NO,NO,NO,NO,YES,NO,NO,,,34.826454,-81.66745,census
-9217274.8,4106981.997,9666,Split Creek Farm,3806 Centerville Rd.,Anderson,SC,29625,ANDERSON,8642873921,http://www.splitcreek.com,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,,,34.580135,-82.803055,census
-8913710.653,4079182.823,9673,Hartsville Farmers Market,100 East Carolina Ave.,Hartsville,SC,29550,DARLINGTON,843-383-3015,https://mainstreethartsville.org/programs/farmers-markets/,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,N/A,NO,34.374348,-80.07307,census
-9175178.158,4146215.064,9678,Swamp Rabbit Cafe And Grocery,205 Cedar Lane Rd.,Greenville,SC,29611,GREENVILLE,,http://www.swamprabbitcafe.com,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,YES,,,34.87056,-82.42151,census
-9100926.714,3983375.567,9683,Garret And Son,2334 Edgefield Hwy,Aiken,SC,29801,AIKEN,8032705664,,NO,NO,NO,NO,NO,YES,YES,YES,NO,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,,,33.635974,-81.737618,osm
-9097441.182,3963765.218,9684,Woods Market And Garden,951 Dougherty Rd.,Aiken,SC,29803,AIKEN,8034439676,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,,,33.514523,-81.72365,census
-9201865.995,4100712.676,9685,Concord Market,208 Concord Rd.,Anderson,SC,29621,ANDERSON,864-245-3910,,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,,,34.5335,-82.66277,census
-9172080.962,4123695.459,9687,South Greenville Farmers Market,7788 Augusta Rd.,Piedmont,SC,29673,GREENVILLE,,,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,,,34.70643,-82.391594,census
-8913420.409,4075756.706,9688,South 5th Street Open Air Market,1616 South 5Th St.,Hartsville,SC,29550,DARLINGTON,8433329300,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,,NO,34.352055,-80.06945,census
-8795403.572,3973107.819,9689,Angela's Fresh Market,611 Atlantic Ave,Garden City,SC,29576,HORRY,8436515018,,NO,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,NO,YES,YES,NO,NO,NO,NO,,NO,33.58393,-79.00956,census
-8796319.349,4001682.815,9691,Ann's Produce,720 Hwy 544,Conway,SC,29526,HORRY,8432342030,,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,NO,NO,YES,YES,NO,NO,NO,NO,NO,NO,N/A,NO,33.7988,-79.01863,census
-8789271.333,3979959.758,9692,Davis Produce,5832 S.Kings Hwy,Myrtle Beach,SC,29575,HORRY,843-222-1971,,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,YES,NO,YES,YES,NO,NO,NO,NO,N/A,NO,33.641197,-78.94856,census
-8779482.148,3990137.123,9694,Myrtle Beach Produce,609 29Th Ave. N.,Myrtle Beach,SC,29577,HORRY,843-492-5012,http://www.myrtlebeachproduce.com,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,NO,NO,N/A,NO,33.711468,-78.866776,census
-8812415.13,4021253.4,9695,Mr Potato Head Produce,211 Hucks Rd.,Aynor,SC,29511,HORRY,8439975717,,NO,NO,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,N/A,NO,33.943336,-79.16382,census
-9040693.339,4020014.356,9697,Bars Produce And Feed,115 Narrow Way,Lexington,SC,29073,LEXINGTON,8035439446,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,,33.934223,-81.21386,census
-9096424.972,4058089.247,9699,P&D Old Country Store And Market,1115 Main St.,Silverstreet,SC,29145,NEWBERRY,8035970063,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,NO,NO,NO,NO,NO,,,34.21765,-81.71485,census
-9127632.934,4099377.487,9701,Laurens Produce,19057 Hwy 221 N. Laurens,Laurens,SC,29360,LAURENS,864-438-9214,,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,,,34.52364,-81.995,census
-9267902.997,4132434.908,9702,Chattooga Belle Roadside Stand,12260 Long Creek Hwy,Westminster,SC,29693,OCONEE,(864) 647-9768,http://www.chattoogabellefarm.com,NO,NO,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,YES,YES,YES,YES,NO,NO,NO,NO,,,34.671784,-83.106593,osm
-9019210.315,4028162.67,9706,Lourie Center Seeds Of Hope Farmer's Market,1650 Park Cir.,Columbia,SC,29201,RICHLAND,8037791971,http://www.louriecentersc.com,NO,NO,NO,NO,NO,YES,YES,YES,YES,YES,YES,NO,YES,YES,NO,NO,NO,NO,YES,NO,,,33.994938,-81.022575,census
