npi,basic_organization_name,NPI,Hours of Operation,MEDICAID ID,SPOKEN LANGUAGES,e-Rx,Delivery,Compound,Drive- Thru,Vaccines,Handicap Access,Cultural Comp- Training,Accepting New Customers,Website,basic_organizational_subpart,basic_enumeration_date,basic_last_updated,basic_status,basic_authorized_official_credential,basic_authorized_official_first_name,basic_authorized_official_last_name,basic_authorized_official_telephone_number,basic_authorized_official_title_or_position,basic_name,basic_parent_organization_ein,basic_parent_organization_legal_business_name,basic_authorized_official_middle_name,basic_authorized_official_name_prefix,basic_authorized_official_name_suffix,basic_certification_date,basic_name_prefix,basic_first_name,basic_last_name,basic_middle_name,basic_credential,basic_sole_proprietor,basic_gender,addresses_country_code,addresses_country_name,addresses_address_purpose,addresses_address_type,addresses_address_1,addresses_address_2,addresses_city,addresses_state,addresses_postal_code,addresses_telephone_number,addresses_fax_number,lat...37,long...38,geo_method,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
1003051129,FCRX SC INC,1003051129,,710438,ENG,Y,Y,Y,Y,Y,Y,Y,Y,,NO,12/3/08,3/6/17,A,BS IN PHARMACY,RAKESH,PATEL,803-981-5330,VICE PRESIDENT,FCRX SC INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2760 CELANESE RD,,ROCK HILL,SC,297329406,803-981-5330,803-981-5333,34.975613,-81.04371,census,34.975195,-81.043474,1,rooftop,3217,Celanese Rd,,,Rock Hill,SC,York County,29732,US,York
1003152810,WAL-MART STORES EAST LP,1003152810,,714357,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,12/26/12,2/16/17,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,805 W WADE HAMPTON BLVD STE B,,GREER,SC,296501311,864-655-6425,,34.94545,-82.24871,census,34.945154,-82.248175,1,rooftop,805,W Wade Hampton Blvd,,,Greer,SC,Greenville County,29650,US,Greenville
1003233925,HARTSVILLE DRUG CO. INC.,1003233925,,715235,ENG,Y,Y,N,N,Y,Y,Y,Y,www.palmettopharmacy.com,YES,3/28/14,12/8/15,A,PHARM.D.,DANNY,POSTON,843-332-6581,CO-OWNER/ SECRETARY-TREASURER,HARTSVILLE DRUG CO. INC.,<UNAVAIL>,HARTSVILLE DRUG COMPANY,L,DR.,JR.,,,,,,,,,US,United States,LOCATION,DOM,1304 CELEBRATION BLVD,,FLORENCE,SC,295015495,843-292-9783,,34.171,-79.83186,census,34.171138,-79.831522,1,rooftop,1312,Celebration Blvd,,,Florence,SC,Florence County,29501,US,Florence
1003262809,THE KROGER CO,1003262809,,716690,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.kroger.com/topic/pharmacy,NO,5/11/16,7/20/18,A,,JESSIE,WARMAN,513-762-1263,MANAGER OF PHARMACY LICENSING,THE KROGER CO,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1028 ROBERTS BRANCH PKWY,,COLUMBIA,SC,29203,803-234-7150,803-234-2212,34.0416738,-81.0254176,osm,34.042029,-81.025109,0.98,nearest_street,12,S Silas Brook Ct,,,Columbia,SC,Richland County,29203,US,TIGER/Line® dataset from the US Census Bureau
1003287632,WAL-MART STORES EAST LP,1003287632,,716459,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,10/8/15,7/19/18,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,500 N DOBYS BRIDGE RD,,FORT MILL,SC,297156815,803-228-6130,803-228-6128,35.0075293,-80.93079483,Google Maps,35.007629,-80.930693,1,rooftop,209,Sanders St,,,Fort Mill,SC,York County,29715,US,York
1003371386,TANDEM HEALTH SC,1003371386,,7Z1016,ENG,N,N,N,N,N,Y,Y,Y,https://tandemhealthsc.org,NO,1/31/19,1/31/19,A,,ANNIE,BROWN,803-774-4500,CEO,TANDEM HEALTH SC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,368 S PIKE W,,SUMTER,SC,291502664,803-774-4579,,33.94911457,-80.35649154,Google Maps,33.948642,-80.356861,1,rooftop,395,N Pike W,,,Sumter,SC,Sumter County,29153,US,Sumter
1003819673,DAP INC,1003819673,,722400,ENG,Y,Y,Y,N,Y,Y,Y,Y,www.burkespharmacy.com/,NO,5/27/05,9/28/18,A,PHARMACIST,TIMOTHY,BURKE,843-681-2622,OWNER,DAP INC,,,,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1101 MAIN ST,,HILTON HEAD ISLAND,SC,299261624,843-681-2622,843-342-2544,32.215725,-80.723625,census,32.215228,-80.723881,1,rooftop,1107,Main St,,,Hilton Head Island,SC,Beaufort County,29926,US,Hilton Head Island
1003821190,WALGREEN CO,1003821190,,715761,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,7/29/06,8/25/16,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,4467 DEVINE ST,,COLUMBIA,SC,292053611,803-787-2527,,33.991726,-80.97707,census,33.991192,-80.979447,0.96,nearest_street,4417,Blossom St,,,Columbia,SC,Richland County,29205,US,TIGER/Line® dataset from the US Census Bureau
1003833260,WAL-MART STORES EAST LP,1003833260,,727297,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,7/16/06,2/20/17,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,305 COMMERCE DRIVE,,MARION,SC,29571,843-423-9411,,34.18481171,-79.34479998,Google Maps,34.184909,-79.346241,0.99,nearest_street,,US 501,,,Mullins,SC,Marion County,29574,US,TIGER/Line® dataset from the US Census Bureau
1003856444,PUBLIX SUPER MARKETS INC,1003856444,,745115,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy,NO,6/7/06,11/18/19,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,150 HARBISON BLVD,,COLUMBIA,SC,292122204,803-407-0923,803-407-9118,34.066395,-81.16949,census,34.066048,-81.169582,1,rooftop,100,Emory Ln,,,Columbia,SC,Lexington County,29212,US,Lexington
