npi,basic_organization_name,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
1003051129,FCRX SC INC,34.975195,-81.043474,3217 Celanese Rd,Rock Hill,SC,29732,York County,US,Match,Exact,19822535,L,45,091,060700,4002
1003152810,WAL-MART STORES EAST LP,34.945154,-82.248175,805 W Wade Hampton Blvd,Greer,SC,29650,Greenville County,US,Match,Non_Exact,38368167,L,45,045,002504,2003
1003233925,HARTSVILLE DRUG CO. INC.,34.171138,-79.831522,1312 Celebration Blvd,Florence,SC,29501,Florence County,US,Match,Exact,645421198,L,45,041,000202,3000
1003262809,THE KROGER CO,34.042029,-81.025109,12 S Silas Brook Ct,Columbia,SC,29203,Richland County,US,Match,Exact,623846555,R,45,079,010900,1040
1003287632,WAL-MART STORES EAST LP,35.007629,-80.930693,209 Sanders St,Fort Mill,SC,29715,York County,US,No_Match,,,,,,,
1003371386,TANDEM HEALTH SC,33.948642,-80.356861,395 N Pike W,Sumter,SC,29153,Sumter County,US,Match,Non_Exact,202683946,R,45,085,000800,1019
1003819673,DAP INC,32.215228,-80.723881,1107 Main St,Hilton Head Island,SC,29926,Beaufort County,US,Match,Exact,615131954,R,45,013,010600,2019
1003821190,WALGREEN CO,33.991192,-80.979447,4417 Blossom St,Columbia,SC,29205,Richland County,US,Match,Exact,604798221,L,45,079,002605,4002
1003833260,WAL-MART STORES EAST LP,34.184909,-79.346241,NA US 501,Mullins,SC,29574,Marion County,US,No_Match,,,,,,,
1003856444,PUBLIX SUPER MARKETS INC,34.066048,-81.169582,100 Emory Ln,Columbia,SC,29212,Lexington County,US,Match,Exact,70049419,R,45,063,021110,2032
1003876244,RILEYS DRUGS INC,33.98347,-81.259028,1208 W Main St,Lexington,SC,29072,Lexington County,US,No_Match,,,,,,,
1003919598,SOUTH CAROLINA CVS PHARMACY LLC,34.691127,-80.788282,1889 Great Falls Hwy,Lancaster,SC,29720,Lancaster County,US,Match,Exact,636577283,R,45,057,010500,3020
1003919796,SOUTH CAROLINA CVS PHARMACY LLC,34.19646,-79.703977,3204 E Palmetto St,Florence,SC,29506,Florence County,US,Match,Non_Exact,28883256,R,45,041,000502,1015
1013004217,"MEDICINE MART COLUMBIA, INC.",33.987819,-80.988701,3800 State Hwy 16,Columbia,SC,29205,Richland County,US,No_Match,,,,,,,
1013010552,SOUTH CAROLINA CVS PHARMACY LLC,34.048943,-81.104564,3039 US Hwy 176,Columbia,SC,29210,Richland County,US,No_Match,,,,,,,
1013010875,SOUTH CAROLINA CVS PHARMACY LLC,33.937368,-80.382996,1055 Alice Dr,Sumter,SC,29150,Sumter County,US,Match,Exact,202707274,R,45,085,000901,2028
1013010883,SOUTH CAROLINA CVS PHARMACY LLC,34.700437,-82.93774,210 Ingles Pl,Seneca,SC,29678,Oconee County,US,Match,Exact,646632151,R,45,073,030602,1039
1013011410,WALGREEN CO,33.486679,-80.862823,NA US 601,Orangeburg,SC,29115,Orangeburg County,US,No_Match,,,,,,,
1013264670,WALGREEN CO,33.630533,-78.963402,1149 Dick Pond Rd,Myrtle Beach,SC,29575,Horry County,US,Match,Exact,645297070,L,45,051,051403,2005
1013428176,LONGS DRUGSTORES OF SC INC,32.809563,-80.029636,1470 Tobias Gadson Blvd,Charleston,SC,29407,Charleston County,US,Match,Exact,615119876,L,45,019,002613,3007
1013468404,HUMANA PHARMACY INC,34.543946,-82.631511,500 Reed Rd,Anderson,SC,29621,Anderson County,US,Match,Exact,637231794,R,45,007,001100,3022
