npi,basic_organization_name,npi_2,hours_of_operation,medicaid_id,spoken_languages,e_rx,delivery,compound,drive_thru,vaccines,handicap_access,cultural_comp_training,accepting_new_customers,website,basic_organizational_subpart,basic_enumeration_date,basic_last_updated,basic_status,basic_authorized_official_credential,basic_authorized_official_first_name,basic_authorized_official_last_name,basic_authorized_official_telephone_number,basic_authorized_official_title_or_position,basic_name,basic_parent_organization_ein,basic_parent_organization_legal_business_name,basic_authorized_official_middle_name,basic_authorized_official_name_prefix,basic_authorized_official_name_suffix,basic_certification_date,basic_name_prefix,basic_first_name,basic_last_name,basic_middle_name,basic_credential,basic_sole_proprietor,basic_gender,addresses_country_code,addresses_country_name,addresses_address_purpose,addresses_address_type,addresses_address_1,addresses_address_2,addresses_city,addresses_state,addresses_postal_code,addresses_telephone_number,addresses_fax_number,geoid,tract_latitude,tract_longitude,lat,lon
1003051129,FCRX SC INC,1003051129,,710438,ENG,Y,Y,Y,Y,Y,Y,Y,Y,,NO,12/3/08,3/6/17,A,BS IN PHARMACY,RAKESH,PATEL,803-981-5330,VICE PRESIDENT,FCRX SC INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2760 CELANESE RD,,ROCK HILL,SC,297329406,803-981-5330,803-981-5333,45091060907,+34.9949457,-081.0157575,-81.04371,34.975613
1003152810,WAL-MART STORES EAST LP,1003152810,,714357,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,12/26/12,2/16/17,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,805 W WADE HAMPTON BLVD STE B,,GREER,SC,296501311,864-655-6425,,45045002504,+34.9441768,-082.2341056,-82.24871,34.94545
1003233925,HARTSVILLE DRUG CO. INC.,1003233925,,715235,ENG,Y,Y,N,N,Y,Y,Y,Y,www.palmettopharmacy.com,YES,3/28/14,12/8/15,A,PHARM.D.,DANNY,POSTON,843-332-6581,CO-OWNER/ SECRETARY-TREASURER,HARTSVILLE DRUG CO. INC.,<UNAVAIL>,HARTSVILLE DRUG COMPANY,L,DR.,JR.,,,,,,,,,US,United States,LOCATION,DOM,1304 CELEBRATION BLVD,,FLORENCE,SC,295015495,843-292-9783,,45041000202,+34.1653321,-079.8327347,-79.83186,34.171
1003262809,THE KROGER CO,1003262809,,716690,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.kroger.com/topic/pharmacy,NO,5/11/16,7/20/18,A,,JESSIE,WARMAN,513-762-1263,MANAGER OF PHARMACY LICENSING,THE KROGER CO,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1028 ROBERTS BRANCH PKWY,,COLUMBIA,SC,29203,803-234-7150,803-234-2212,45079010900,+34.0429092,-081.0163613,-81.0254176,34.0416738
1003287632,WAL-MART STORES EAST LP,1003287632,,716459,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,10/8/15,7/19/18,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,500 N DOBYS BRIDGE RD,,FORT MILL,SC,297156815,803-228-6130,803-228-6128,45091061101,+35.0203157,-080.9347880,-80.93079483,35.0075293
1003371386,TANDEM HEALTH SC,1003371386,,7Z1016,ENG,N,N,N,N,N,Y,Y,Y,https://tandemhealthsc.org,NO,1/31/19,1/31/19,A,,ANNIE,BROWN,803-774-4500,CEO,TANDEM HEALTH SC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,368 S PIKE W,,SUMTER,SC,291502664,803-774-4579,,45085000800,+33.9535614,-080.3493350,-80.35649154,33.94911457
1003819673,DAP INC,1003819673,,722400,ENG,Y,Y,Y,N,Y,Y,Y,Y,www.burkespharmacy.com/,NO,5/27/05,9/28/18,A,PHARMACIST,TIMOTHY,BURKE,843-681-2622,OWNER,DAP INC,,,,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1101 MAIN ST,,HILTON HEAD ISLAND,SC,299261624,843-681-2622,843-342-2544,45013010600,+32.2452931,-080.7347150,-80.723625,32.215725
1003821190,WALGREEN CO,1003821190,,715761,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/,YES,7/29/06,8/25/16,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,4467 DEVINE ST,,COLUMBIA,SC,292053611,803-787-2527,,45079002400,+34.0016746,-080.9684233,-80.97707,33.991726
1003833260,WAL-MART STORES EAST LP,1003833260,,727297,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431,NO,7/16/06,2/20/17,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,305 COMMERCE DRIVE,,MARION,SC,29571,843-423-9411,,45067950600,+34.1309919,-079.3264614,-79.34479998,34.18481171
1003856444,PUBLIX SUPER MARKETS INC,1003856444,,745115,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy,NO,6/7/06,11/18/19,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,150 HARBISON BLVD,,COLUMBIA,SC,292122204,803-407-0923,803-407-9118,45063021111,+34.0661938,-081.1554643,-81.16949,34.066395
1003876244,RILEYS DRUGS INC,1003876244,,717083,ENG,N,N,N,Y,Y,Y,Y,Y,https://rileysdrugs.,NO,3/23/06,2/22/16,A,BS PHARM,ROBERTA,VINING,803-359-2587,PIC,RILEYS DRUGS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1207 W MAIN ST,,LEXINGTON,SC,290722405,803-359-2587,803-359-2588,45063021029,+33.9709573,-081.2466290,-81.258934,33.98331
1003919598,SOUTH CAROLINA CVS PHARMACY LLC,1003919598,,742008,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,8/12/16,A,,SUSAN,COLBERT,401-770-2751,"SR. DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1869 GREAT FALLS HIGHWAY,,LANCASTER,SC,297207172,803-285-8491,,45057010500,+34.6924242,-080.8004274,-80.788536,34.691196
1003919796,SOUTH CAROLINA CVS PHARMACY LLC,1003919796,,711471,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,12/6/11,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3210 E PALMETTO ST,,FLORENCE,SC,295063832,843-662-3740,,45041000500,+34.1727846,-079.6571958,-79.70413,34.196926
1013004217,"MEDICINE MART COLUMBIA, INC.",1013004217,,767123,ENG,Y,N,N,N,Y,Y,Y,Y,https://www.rxmedicinemart.com,NO,10/7/06,7/3/18,A,,ANDREW,WALL,803-231-2003,OWNER/PHARMACIST-IN-CHARGE,"MEDICINE MART COLUMBIA, INC.",,,DAVID,,,,,,,,,,,US,United States,LOCATION,DOM,3729 ROSEWOOD DR,,COLUMBIA,SC,29205,803-231-2003,803-231-2004,45079002500,+33.9934982,-080.9938435,-80.98966,33.98785
1013010552,SOUTH CAROLINA CVS PHARMACY LLC,1013010552,,711507,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy,NO,9/7/06,12/6/11,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3055 BROAD RIVER RD,,COLUMBIA,SC,292105919,803-798-4460,,45079010411,+34.0430439,-081.1062233,-81.10466,34.04902
