npi,basic_organization_name,basic_organizational_subpart,basic_enumeration_date,basic_last_updated,basic_status,basic_authorized_official_credential,basic_authorized_official_first_name,basic_authorized_official_last_name,basic_authorized_official_telephone_number,basic_authorized_official_title_or_position,basic_name,basic_parent_organization_ein,basic_parent_organization_legal_business_name,basic_authorized_official_middle_name,basic_authorized_official_name_prefix,basic_authorized_official_name_suffix,basic_certification_date,basic_name_prefix,basic_first_name,basic_last_name,basic_middle_name,basic_credential,basic_sole_proprietor,basic_gender,addresses_country_code,addresses_country_name,addresses_address_purpose,addresses_address_type,addresses_address_1,addresses_address_2,addresses_city,addresses_state,addresses_postal_code,addresses_telephone_number,addresses_fax_number
1003051129,FCRX SC INC,NO,2008-12-03,2017-03-06,A,BS IN PHARMACY,RAKESH,PATEL,803-981-5330,VICE PRESIDENT,FCRX SC INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2760 CELANESE RD,"",ROCK HILL,SC,297329406,803-981-5330,803-981-5333
1003152810,WAL-MART STORES EAST LP,NO,2012-12-26,2017-02-16,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,805 W WADE HAMPTON BLVD STE B,"",GREER,SC,296501311,864-655-6425,
1003233925,HARTSVILLE DRUG CO. INC.,YES,2014-03-28,2015-12-08,A,PHARM.D.,DANNY,POSTON,843-332-6581,CO-OWNER/ SECRETARY-TREASURER,HARTSVILLE DRUG CO. INC.,<UNAVAIL>,HARTSVILLE DRUG COMPANY,L,DR.,JR.,,,,,,,,,US,United States,LOCATION,DOM,1304 CELEBRATION BLVD,"",FLORENCE,SC,295015495,843-292-9783,
1003262809,THE KROGER CO,NO,2016-05-11,2018-07-20,A,,JESSIE,WARMAN,513-762-1263,MANAGER OF PHARMACY LICENSING,THE KROGER CO,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1028 ROBERTS BRANCH PKWY,"",COLUMBIA,SC,29203,803-234-7150,803-234-2212
1003287632,WAL-MART STORES EAST LP,NO,2015-10-08,2018-07-19,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,500 N DOBYS BRIDGE RD,"",FORT MILL,SC,297156815,803-228-6130,803-228-6128
1003371386,TANDEM HEALTH SC,NO,2019-01-31,2019-01-31,A,,ANNIE,BROWN,803-774-4500,CEO,TANDEM HEALTH SC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,368 S PIKE W,"",SUMTER,SC,291502664,803-774-4579,
1003819673,DAP INC,NO,2005-05-27,2018-09-28,A,PHARMACIST,TIMOTHY,BURKE,843-681-2622,OWNER,DAP INC,,,,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1101 MAIN ST,"",HILTON HEAD ISLAND,SC,299261624,843-681-2622,843-342-2544
1003821190,WALGREEN CO,YES,2006-07-29,2016-08-25,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T.,MR.,,,,,,,,,,US,United States,LOCATION,DOM,4467 DEVINE ST,"",COLUMBIA,SC,292053611,803-787-2527,
1003833260,WAL-MART STORES EAST LP,NO,2006-07-16,2017-02-20,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,305 COMMERCE DRIVE,"",MARION,SC,29571,843-423-9411,
1003856444,PUBLIX SUPER MARKETS INC,NO,2006-06-07,2019-11-18,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,150 HARBISON BLVD,"",COLUMBIA,SC,292122204,803-407-0923,803-407-9118
1003876244,RILEYS DRUGS INC,NO,2006-03-23,2016-02-22,A,BS PHARM,ROBERTA,VINING,803-359-2587,PIC,RILEYS DRUGS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1207 W MAIN ST,"",LEXINGTON,SC,290722405,803-359-2587,803-359-2588
1003919598,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2016-08-12,A,,SUSAN,COLBERT,401-770-2751,"SR. DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1869 GREAT FALLS HIGHWAY,"",LANCASTER,SC,297207172,803-285-8491,
1003919796,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2011-12-06,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3210 E PALMETTO ST,"",FLORENCE,SC,295063832,843-662-3740,
1013004217,"MEDICINE MART COLUMBIA, INC.",NO,2006-10-07,2018-07-03,A,,ANDREW,WALL,803-231-2003,OWNER/PHARMACIST-IN-CHARGE,"MEDICINE MART COLUMBIA, INC.",,,DAVID,,,,,,,,,,,US,United States,LOCATION,DOM,3729 ROSEWOOD DR,"",COLUMBIA,SC,29205,803-231-2003,803-231-2004
1013010552,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2011-12-06,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,3055 BROAD RIVER RD,"",COLUMBIA,SC,292105919,803-798-4460,
1013010875,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2012-02-08,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1080 ALICE DR,"",SUMTER,SC,291502463,803-469-7150,
1013010883,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2012-02-08,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,210 INGLES PL,"",SENECA,SC,296780847,864-882-6706,
1013011410,WALGREEN CO,YES,2006-09-08,2016-08-30,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1106 JOHN C CALHOUN DR,"",ORANGEBURG,SC,291156656,803-531-2079,
1013164177,NORTH CAROLINA CVS PHARMACY LLC,NO,2008-08-20,2013-08-02,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",NORTH CAROLINA CVS PHARMACY LLC,,,F,,,,,,,,,,,US,United States,LOCATION,DOM,9810 OCEAN HWY W,"",CALABASH,NC,284672633,910-579-1050,
1013264670,WALGREEN CO,YES,2012-08-13,2016-10-31,A,,ALAN,NIELSEN,847-315-3523,TREASURER,WALGREEN CO,<UNAVAIL>,WALGREENS BOOTS ALLIANCE INC,T,MR.,,,,,,,,,,US,United States,LOCATION,DOM,1110 DICK POND RD,"",MYRTLE BEACH,SC,295755503,843-232-0091,
1013428176,LONGS DRUGSTORES OF SC INC,YES,2017-10-17,2017-10-17,A,,ASHLEY,ELLIS,803-254-5884,CORPORATE COUNSEL,LONGS DRUGSTORES OF SC INC,<UNAVAIL>,LONG'S DRUGSTORES OF SC INC,,,,,,,,,,,,US,United States,LOCATION,DOM,1481 TOBIAS GADSON BLVD STE 2D,"",CHARLESTON,SC,294074794,843-996-1496,
1013468404,HUMANA PHARMACY INC,NO,2016-10-20,2017-03-09,A,,BRIAN,DOHENY,502-476-4590,DIRECTOR,HUMANA PHARMACY INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2001 E GREENVILLE ST,"",ANDERSON,SC,296211529,864-332-3101,
1013922962,INGLES MARKETS INC,NO,2006-07-29,2019-08-15,A,RPH,STEPHEN,CUCCHI,828-669-2941,VICE PRESIDENT OF PHARMACY,INGLES MARKETS INC,,,V,MR.,,,,,,,,,,US,United States,LOCATION,DOM,2120 E MAIN ST,"",DUNCAN,SC,293349456,864-433-0422,864-433-0569
1013934272,WAL-MART STORES EAST LP,NO,2006-07-16,2017-02-16,A,,SARAH,LITTLE,479-277-2500,DIRECTOR OF HEALTHCARE CONTRACTING,WAL-MART STORES EAST LP,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2240 W DEKALB ST,"",CAMDEN,SC,290202069,803-425-1691,
1013972108,F.M. LINDER & SON LLC,NO,2006-04-20,2021-03-22,A,,FRANKLIN,LINDER,912-427-4288,PHARMACIST/OWNER,F.M. LINDER & SON LLC,,,MAXWELL,MR.,,2021-03-22,,,,,,,,US,United States,LOCATION,DOM,373 WASHINGTON STREET,"",WALTERBORO,SC,29488,843-549-7222,
1023058468,PUBLIX SUPER MARKETS INC,NO,2006-06-07,2019-11-18,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,45 PEMBROKE DR,"",HILTON HEAD ISLAND,SC,299262262,843-689-2276,843-689-6252
1023104890,PUBLIX SUPER MARKETS INC,NO,2006-10-05,2019-11-18,A,,DAIN,RUSK,863-688-1188,VP PHARMACY,PUBLIX SUPER MARKETS INC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,1585 CENTRAL AVE,SUITE A,SUMMERVILLE,SC,294835587,843-832-4247,843-832-4325
1023111887,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2012-03-01,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,609 CHERRY RD,"",ROCK HILL,SC,297323119,803-328-6111,
1023111895,SOUTH CAROLINA CVS PHARMACY LLC,NO,2006-09-07,2011-12-06,A,,SUSAN,COLBERT,401-770-2751,"DIRECTOR, PAYER RELATIONS",SOUTH CAROLINA CVS PHARMACY LLC,,,,,,,,,,,,,,US,United States,LOCATION,DOM,2500 BROAD ST,"",CAMDEN,SC,290202225,803-432-5103,
1023176658,"ELGIN PHARMACY, INC.",NO,2006-12-05,2021-05-19,A,PHARMD,TRAISHA,CAMPFIELD,803-438-5735,PHARMACIST,"ELGIN PHARMACY, INC.",,,W.,DR.,,2021-05-19,,,,,,,,US,United States,LOCATION,DOM,1107 ROSS ST.,"",ELGIN,SC,29045,803-438-5735,803-438-4657
