OBJECTID,Permit Type,Name of Facility,Location Street,Location City,Location State,ZIP Code,Facility #,Facility Email,Admin Name & Phone,Facility Cont. Email,License / Expires,County / Ownership Type,Mailing Address,Mailing City,Mailing State,Mailing ZIP,Licensee,Licensee Business Phone,CMS Certification,County,Evacuation_Zone,X,Y,Licensee County,x,y
6575,HLTATTOOFAC,123 EAST COAST INK,4134 CALHOUN MEMORIAL HWY,EASLEY,SC,29640-9070,864-295-2559,BUSINESSWOMAN1726@ICLOUD.COM,"HALL, TERESA L. PH#: 864-386-2751",WILDFLOWER090904@GMAIL.COM,TF-0340 / 08/31/2021,Pickens / Sole Proprietorship,,,,,"HALL, TERESA",864-386-2751,,Pickens,,-82.510477,34.830702,Pickens,361877.6275,3855308.811
7571,HLINHOMECARE,180 HEALTH AND WELLNESS,104 MAXWELL AVE STE 345,GREENWOOD,SC,29646,864-377-8289,180HEALTHANDWELLNESSGWD@GMAIL.COM, PH#: ,,IHCP-0248 / 07/31/2021,Greenwood / Limited Liability,PO BOX 49606,GREENWOOD,SC,29649-0011,180 HEALTH AND WELLNESS LLC,864-377-8289,,Greenwood,,-82.160886,34.191021,Greenwood,393032.6552,3783945.337
7797,HLINHOMECARE,1ST IN HOME CARE PROVIDERS,109 COBURN CT,FORT MILL,SC,29715-6918,803-317-2464,INHOMECARE.FORTMILLSC@GMAIL.COM,"LOVETT, SALMA PH#: ",,IHCP-0007 / 01/31/2022,York / Sole Proprietorship,,,,,"GRAHAM, DARLENE F.",609-254-6336,,York,,-80.928422,34.997516,York,506531.9037,3872769.962
7589,HLINHOMECARE,24HR HOME CARE SERVICES LLC,304 W WESMARK #8,SUMTER,SC,29150,803-305-8837,HOMECARESERVICES24@YAHOO.COM,"MARTIN, TAMMY PH#: 803-305-8837",,IHCP-1202 / 05/31/2021,Sumter / Limited Liability,,,,,24HR HOME CARE SERVICES LLC,803-305-8837,,Sumter,,-80.387413,33.950971,Sumter,556604.0557,3756888.711
7648,HLADULTDAYCARE,2ND INNING DAYCARE,100 BUSINESS PKWY A-C,PIEDMONT,SC,29673,908-616-3569,YOMANDN1@YAHOO.COM,"PATEL, BRIJESH PH#: ",,ADC-0460 / 06/30/2021,Anderson / Limited Liability,,,,,OM HARI LLC,908-616-3569,,Anderson,,-82.471947,34.784765,Greenville,365326.4691,3850161.763
7771,HLTATTOOFAC,3 ACES TATTOO STUDIO,8502 TWO NOTCH RD STE G,COLUMBIA,SC,29223,803-764-4472,3ACESTATTOOSTUDIO@GMAIL.COM, PH#: ,,TF-0365 / 08/31/2021,Richland / ,,,,,3 ACES TATTOO LLC,803-404-0276,,Richland,,-80.934394,34.086062,Kershaw,506052.5327,3771700.392
7555,HLBODYPIERCINGFAC,5 POINTS BODY PIERCING,2002 GREENE ST STE E,COLUMBIA,SC,29205,803-467-6000,FOOD4LAFAYETTE@GMAIL.COM, PH#: ,,BP-0296 / 02/28/2022,Richland / Limited Liability,,,,,5 POINTS BODY PIERCING,803-467-6000,,Richland,,-81.017441,33.999844,Richland,498389.4761,3762138.798
8150,HLINHOMECARE,5 STAR HOME CARE,4703 HWY 17S BYPASS STE B,MYRTLE BEACH,SC,29577,843-212-7986,DMAHNKEN@5STARHOMECARE.ORG,"JOHNSON, MICHELLE PH#: 843-756-5487",,IHCP-0825 / 03/31/2022,Horry / Corporation,,,,,5 STAR HOME CARE INC,843-212-7986,,Horry,B,-78.964947,33.678353,Horry,688653.599,3728351.609
6789,HLTATTOOFAC,7 SINS TATTOO,204 MONTAGUE AVE STE B,GREENWOOD,SC,29649-1937,864-223-3583,SEVENSINSTATTOO@LIVE.COM,"JOHNSON, DAVID, II. PH#: ",,TF-0011 / 07/31/2021,Greenwood / Sole Proprietorship,204 MONTAGUE AVE STE B,GREENWOOD,SC,29649-1937,"BRANDT, KAREN L.",864-223-3583,,Greenwood,,-82.17155601,34.19910091,Greenwood,392059.6221,3784852.577
6316,HLTATTOOFAC,737 GRAPHIC INK STUDIO,113 BARTON CREEK CT STE C,COLUMBIA,SC,29229,619-274-0850,737GRAPHICINKSTUDIO@GMAIL.COM, PH#: ,,TF-0330 / 03/31/2021,Richland / ,,,,,737 GRAPHIC INK STUDIO LLC,619-274-0850,,Richland,,-80.923319,34.136174,Richland,507070.0655,3777257.546
7774,HLINHOMECARE,A & E SERVICES,340 RAST ST STE 1,SUMTER,SC,29150,803-934-8888,ADRIENMULLER@YMAIL.COM,"MULLER, ERVENA PH#: 803-720-4213",ERVENA8@AOL.COM,IHCP-1265 / 09/30/2021,Sumter / Limited Liability,,,,,A & E HOME HEALTH SERVICES LLC,803-418-9556,,Sumter,,-80.370336,33.9499,Richland,558182.7578,3756779.569
6564,HLINHOMECARE,A BETTER CHOICE HOME CARE,21 GAMECOCK AVE STE A,CHARLESTON,SC,29407,843-884-6456,INFO@ABCHOMECARE-SC.COM,"ROSSINO, MATTHEW L. PH#: 843-884-6456",INFO@ABCHOMECARE-SC.COM,IHCP-0061 / 02/28/2022,Charleston / Ltd. Liability,1514 MATHIS FERRY RD STE204,MT PLEASANT,SC,29464,A BETTER CHOICE HOME CARE LLC,843-884-6456,,Charleston,A,-79.993587,32.821645,Charleston,594205.7372,3631963.236
7553,HLINHOMECARE,A BETTER DAY HOME CARE LLC,1236-C WILSON HALL RD,SUMTER,SC,29150,803-869-4114,ABETTERDAYHOMECARE2018@GMAIL.COM,"WESTERMAN, LEE PH#: ",,IHCP-0975 / 02/28/2022,Sumter / Limited Liability,2455 EQUINOX AVE,DALZELL,SC,29040,A BETTER DAY HOME CARE LLC,803-316-5694,,Sumter,,-80.399533,33.954977,Sumter,555481.5178,3757326.309
7368,HLINHOMECARE,A C T CARE SERVICES,126 WILLIAMS WOOD DR,PROSPERITY,SC,29127,803-271-1353,TAMMY@ACTCARESERVICES.COM, PH#: ,,IHCP-1144 / 10/31/2021,Newberry / Limited Liability,,,,,A C T CARE SERVICES LLC,803-271-1353,,Newberry,,-81.546231,34.213824,Newberry,449683.3474,3785999.602
4697,HLINHOMECARE,A HAND TO HOLD,125 PARK OF COMMERCE DR STE 203,SAVANNAH,GA,31405,912-432-9778,CWILLIAMS@AHANDTOHOLD.COM,"COOPER, SHELLEY PH#: 000-000-0000; WILLIAMS, CONNIE PH#: 912-432-9778",,IHCP-0632 / 03/31/2022,Out of State / Corporation,125 PARK OF COMMERCE DR STE 203,SAVANNAH,GA,31404,A HAND TO HOLD INC,912-432-9778,,Out of State,,-81.162872,32.063845,Out of State,484626.6559,3547524.035
7937,HLINHOMECARE,A INTEGRITY HOME CARE SERVICE,109-A PILGRIM RD,GREENVILLE,SC,29607,864-612-0219,TINATATETT66@GMAIL.COM, PH#: ,,IHCP-1339 / 11/30/2021,Greenville / Sole Proprietorship,,,,,"TATE, TINA R.",864-612-0219,,Greenville,,-82.286501,34.815081,Greenville,382337.7426,3853290.767
