Grant Recipient Name,Type Of Brownfields Grant,Type Of Funding,ACRES Property ID,Property Name,Property Address,Property City,Property State,Property ZIP Code,Property Size (Acres),Ownership Entity,Current Owner,Property Description,Source of Assessment Funding,Name of Entity Providing Assessment Funds,Amount of Assessment Funding,Assessment Phase,Assessment Completion Date,Cleanup Required,Contaminant Found-Petroleum,Contaminant Found-Controlled Substances,Contaminant Found-Asbestos,Contaminant Found-PCBs,Contaminant Found-VOCs,Contaminant Found-Lead,Contaminant Found-Other Metals,Contaminant Found-PAHs,Contaminant Found-Other,Contaminant Found-Other (Description),Media Affected-Soil,Media Affected-Air,Media Affected-Surface Water,Media Affected-Ground Water,Media Affected-Drinking Water,Media Affected-Sediments,Media Affected-No Media,Media Affected-Unknown,Cleanup Start Date,Cleanup Completion Date,Acres Cleaned Up,Source of Cleanup Funding,Name of Entity Providing Cleanup Funds,Amount of Cleanup Funding,Contaminant Clean Up-Petroleum,Contaminant Clean Up-Controlled Substances,Contaminant Clean Up-Asbestos,Contaminant Clean Up-PCBs,Contaminant Clean Up-VOCs,Contaminant Clean Up-Lead,Contaminant Clean Up-Other Metals,Contaminant Clean Up-PAHs,Contaminant Clean Up-Other,Contaminant Clean Up-Other (Description),Media Cleaned Up-Soil,Media Cleaned Up-Air,Media Cleaned Up-Surface Water,Media Cleaned Up-Ground Water,Media Cleaned Up-Drinking Water,Media Cleaned Up-Sediments,Source of Redevelopment Funding,Amount of Redevelopment Funding,Name of Entity Providing Redevelopment Funds,Redevelopment Start Date,Redevelopment Completion Date
"Dillon, City of",Assessment,,125341,Dilmar Oil Property,104 Main Street,Dillon,SC,29536,0.54,Government,City of Dillon,"The subject property is occupied by a series of vacant commercial retail units.  One unit was formerly occupied by a Belk department store and then, most recently, by a furniture store.  The center unit was most recently occupied by an antique/furniture store, and the final unit is currently occupied by M & M Hair & Beauty.  A vacant ?apartment? is located over M & M Hair & Beauty.  This apartment was once used as a surveyor?s office.  The portion of the structure formerly occupied by the Belk d",EPA,US EPA - Brownfields Assessment Cooperative Agreement,3000,Supplemental Assessment,11/18/10,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Dillon, City of",Assessment,,125341,Dilmar Oil Property,104 Main Street,Dillon,SC,29536,0.54,Government,City of Dillon,"The subject property is occupied by a series of vacant commercial retail units.  One unit was formerly occupied by a Belk department store and then, most recently, by a furniture store.  The center unit was most recently occupied by an antique/furniture store, and the final unit is currently occupied by M & M Hair & Beauty.  A vacant ?apartment? is located over M & M Hair & Beauty.  This apartment was once used as a surveyor?s office.  The portion of the structure formerly occupied by the Belk d",EPA,US EPA - Brownfields Assessment Cooperative Agreement,5000,Phase I Environmental Assessment,11/18/10,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Greenwood,Cleanup,,160881,Greenwood Mill # 5,700 Kitson Street,Greenwood,SC,29646,6.65,Government,"City of Greenwood, South Carolina","The subject property was used as a mill for about 100 years.  Currently, it is vacant and cleared of all buildings and debris except the mill administration building and the turnstile.  Assessment is complete.  An EPA Brownfields Cleanup Grant was awarded.  With that funding, the City's match, and a loan from the SC BCRLF, the site has been capped and a restrictive covenant has been placed on the property. The certificate of completion was issued on January 23, 2019. It is awaiting DHEC review o",City of Greenwood,Local Funding,4000,Phase I Environmental Assessment,1/13/11,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,6/21/18,10/4/18,6.65,HUD (CDBG),Other Federal Funding,500000,,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,
City of Greenwood,Cleanup,,160881,Greenwood Mill # 5,700 Kitson Street,Greenwood,SC,29646,6.65,Government,"City of Greenwood, South Carolina","The subject property was used as a mill for about 100 years.  Currently, it is vacant and cleared of all buildings and debris except the mill administration building and the turnstile.  Assessment is complete.  An EPA Brownfields Cleanup Grant was awarded.  With that funding, the City's match, and a loan from the SC BCRLF, the site has been capped and a restrictive covenant has been placed on the property. The certificate of completion was issued on January 23, 2019. It is awaiting DHEC review o",EPA,Other Federal Funding,82000,Phase II Environmental Assessment,7/8/13,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,6/21/18,10/4/18,6.65,HUD (CDBG),Other Federal Funding,500000,,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,
City of Greenwood,Cleanup,,160881,Greenwood Mill # 5,700 Kitson Street,Greenwood,SC,29646,6.65,Government,"City of Greenwood, South Carolina","The subject property was used as a mill for about 100 years.  Currently, it is vacant and cleared of all buildings and debris except the mill administration building and the turnstile.  Assessment is complete.  An EPA Brownfields Cleanup Grant was awarded.  With that funding, the City's match, and a loan from the SC BCRLF, the site has been capped and a restrictive covenant has been placed on the property. The certificate of completion was issued on January 23, 2019. It is awaiting DHEC review o",EPA,Other Federal Funding,82000,Phase II Environmental Assessment,7/8/13,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,6/21/18,10/4/18,6.65,EPA,US EPA - Brownfields Cleanup Cooperative Agreement,200000,,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,
"South Carolina , State of",BCRLF,,160881,Greenwood Mill # 5,700 Kitson Street,Greenwood,SC,29646,6.65,Government,"City of Greenwood, South Carolina","The subject property was used as a mill for about 100 years.  Currently, it is vacant and cleared of all buildings and debris except the mill administration building and the turnstile.  Assessment is complete.  An EPA Brownfields Cleanup Grant was awarded.  With that funding, the City's match, and a loan from the SC BCRLF, the site has been capped and a restrictive covenant has been placed on the property. The certificate of completion was issued on January 23, 2019. It is awaiting DHEC review o",,,,,,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,11/30/12,1/23/19,6.65,EPA,Brownfields RLF Grant Funds Loaned,498435,,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,
City of Greenwood,Assessment,,160881,Greenwood Mill # 5,700 Kitson Street,Greenwood,SC,29646,6.65,Government,"City of Greenwood, South Carolina","The subject property was used as a mill for about 100 years.  Currently, it is vacant and cleared of all buildings and debris except the mill administration building and the turnstile.  Assessment is complete.  An EPA Brownfields Cleanup Grant was awarded.  With that funding, the City's match, and a loan from the SC BCRLF, the site has been capped and a restrictive covenant has been placed on the property. The certificate of completion was issued on January 23, 2019. It is awaiting DHEC review o",EPA,US EPA - Brownfields Assessment Cooperative Agreement,1000,Supplemental Assessment,2/11/11,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,
City of Greenwood,Cleanup,,160881,Greenwood Mill # 5,700 Kitson Street,Greenwood,SC,29646,6.65,Government,"City of Greenwood, South Carolina","The subject property was used as a mill for about 100 years.  Currently, it is vacant and cleared of all buildings and debris except the mill administration building and the turnstile.  Assessment is complete.  An EPA Brownfields Cleanup Grant was awarded.  With that funding, the City's match, and a loan from the SC BCRLF, the site has been capped and a restrictive covenant has been placed on the property. The certificate of completion was issued on January 23, 2019. It is awaiting DHEC review o",City of Greenwood,Local Funding,4000,Phase I Environmental Assessment,1/13/11,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,6/21/18,10/4/18,6.65,City of Greenwood,Local Funding,40000,,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,
City of Greenwood,Cleanup,,160881,Greenwood Mill # 5,700 Kitson Street,Greenwood,SC,29646,6.65,Government,"City of Greenwood, South Carolina","The subject property was used as a mill for about 100 years.  Currently, it is vacant and cleared of all buildings and debris except the mill administration building and the turnstile.  Assessment is complete.  An EPA Brownfields Cleanup Grant was awarded.  With that funding, the City's match, and a loan from the SC BCRLF, the site has been capped and a restrictive covenant has been placed on the property. The certificate of completion was issued on January 23, 2019. It is awaiting DHEC review o",City of Greenwood,Local Funding,4000,Phase I Environmental Assessment,1/13/11,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,6/21/18,10/4/18,6.65,SC BCRLF,Other Federal Funding,182696,,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,
City of Greenwood,Cleanup,,160881,Greenwood Mill # 5,700 Kitson Street,Greenwood,SC,29646,6.65,Government,"City of Greenwood, South Carolina","The subject property was used as a mill for about 100 years.  Currently, it is vacant and cleared of all buildings and debris except the mill administration building and the turnstile.  Assessment is complete.  An EPA Brownfields Cleanup Grant was awarded.  With that funding, the City's match, and a loan from the SC BCRLF, the site has been capped and a restrictive covenant has been placed on the property. The certificate of completion was issued on January 23, 2019. It is awaiting DHEC review o",EPA,Other Federal Funding,82000,Phase II Environmental Assessment,7/8/13,Yes,,,Yes,,,,Yes,Yes,,,Yes,,,Yes,,,,,6/21/18,10/4/18,6.65,City of Greenwood,Local Funding,40000,,,Yes,,,,Yes,Yes,,,Yes,,,,,,,,,,
