StateFIPS,State,CensusTract,Census Tract,Year,Value,Data Comment
45,South Carolina,45001950100,"Abbeville County, SC - 45001950100",2016,0.90%,
45,South Carolina,45001950200,"Abbeville County, SC - 45001950200",2016,0.70%,
45,South Carolina,45001950300,"Abbeville County, SC - 45001950300",2016,0.60%,
45,South Carolina,45001950400,"Abbeville County, SC - 45001950400",2016,1.00%,
45,South Carolina,45001950500,"Abbeville County, SC - 45001950500",2016,1.10%,
45,South Carolina,45001950600,"Abbeville County, SC - 45001950600",2016,0.70%,
45,South Carolina,45003020100,"Aiken County, SC - 45003020100",2016,0.80%,
45,South Carolina,45003020200,"Aiken County, SC - 45003020200",2016,1.30%,
45,South Carolina,45003020301,"Aiken County, SC - 45003020301",2016,2.20%,
45,South Carolina,45003020302,"Aiken County, SC - 45003020302",2016,3.60%,
45,South Carolina,45003020400,"Aiken County, SC - 45003020400",2016,7.30%,
45,South Carolina,45003020500,"Aiken County, SC - 45003020500",2016,7.00%,
45,South Carolina,45003020601,"Aiken County, SC - 45003020601",2016,4.80%,
45,South Carolina,45003020602,"Aiken County, SC - 45003020602",2016,14.80%,
45,South Carolina,45003020701,"Aiken County, SC - 45003020701",2016,15.60%,
45,South Carolina,45003020702,"Aiken County, SC - 45003020702",2016,24.40%,
45,South Carolina,45003020801,"Aiken County, SC - 45003020801",2016,9.40%,
45,South Carolina,45003020802,"Aiken County, SC - 45003020802",2016,21.40%,
45,South Carolina,45003020901,"Aiken County, SC - 45003020901",2016,2.50%,
45,South Carolina,45003020902,"Aiken County, SC - 45003020902",2016,2.80%,
45,South Carolina,45003021001,"Aiken County, SC - 45003021001",2016,8.10%,
45,South Carolina,45003021002,"Aiken County, SC - 45003021002",2016,12.70%,
45,South Carolina,45003021101,"Aiken County, SC - 45003021101",2016,7.90%,
45,South Carolina,45003021102,"Aiken County, SC - 45003021102",2016,8.50%,
45,South Carolina,45003021201,"Aiken County, SC - 45003021201",2016,9.60%,
45,South Carolina,45003021202,"Aiken County, SC - 45003021202",2016,6.30%,
45,South Carolina,45003021203,"Aiken County, SC - 45003021203",2016,12.60%,
45,South Carolina,45003021300,"Aiken County, SC - 45003021300",2016,21.60%,
45,South Carolina,45003021400,"Aiken County, SC - 45003021400",2016,22.00%,
45,South Carolina,45003021500,"Aiken County, SC - 45003021500",2016,17.40%,
45,South Carolina,45003021601,"Aiken County, SC - 45003021601",2016,4.80%,
45,South Carolina,45003021602,"Aiken County, SC - 45003021602",2016,6.50%,
45,South Carolina,45003021700,"Aiken County, SC - 45003021700",2016,0.60%,
45,South Carolina,45003021800,"Aiken County, SC - 45003021800",2016,0.50%,
45,South Carolina,45003021900,"Aiken County, SC - 45003021900",2016,0.50%,
45,South Carolina,45003022001,"Aiken County, SC - 45003022001",2016,1.70%,
45,South Carolina,45003022002,"Aiken County, SC - 45003022002",2016,1.60%,
45,South Carolina,45003022100,"Aiken County, SC - 45003022100",2016,1.00%,
45,South Carolina,45003980100,"Aiken County, SC - 45003980100",2016,1.70%,
45,South Carolina,45005970200,"Allendale County, SC - 45005970200",2016,0.70%,
45,South Carolina,45005970300,"Allendale County, SC - 45005970300",2016,0.70%,
45,South Carolina,45005970400,"Allendale County, SC - 45005970400",2016,0.70%,
45,South Carolina,45007000200,"Anderson County, SC - 45007000200",2016,23.50%,
45,South Carolina,45007000300,"Anderson County, SC - 45007000300",2016,19.30%,
45,South Carolina,45007000500,"Anderson County, SC - 45007000500",2016,8.40%,
45,South Carolina,45007000600,"Anderson County, SC - 45007000600",2016,22.60%,
45,South Carolina,45007000700,"Anderson County, SC - 45007000700",2016,29.10%,
45,South Carolina,45007000800,"Anderson County, SC - 45007000800",2016,25.60%,
45,South Carolina,45007000900,"Anderson County, SC - 45007000900",2016,27.80%,
45,South Carolina,45007001000,"Anderson County, SC - 45007001000",2016,35.90%,
45,South Carolina,45007001100,"Anderson County, SC - 45007001100",2016,18.00%,
45,South Carolina,45007010102,"Anderson County, SC - 45007010102",2016,7.90%,
45,South Carolina,45007010103,"Anderson County, SC - 45007010103",2016,7.70%,
45,South Carolina,45007010104,"Anderson County, SC - 45007010104",2016,2.30%,
45,South Carolina,45007010200,"Anderson County, SC - 45007010200",2016,6.10%,
45,South Carolina,45007010300,"Anderson County, SC - 45007010300",2016,5.80%,
45,South Carolina,45007010401,"Anderson County, SC - 45007010401",2016,9.00%,
45,South Carolina,45007010402,"Anderson County, SC - 45007010402",2016,3.20%,
45,South Carolina,45007010500,"Anderson County, SC - 45007010500",2016,4.30%,
45,South Carolina,45007010600,"Anderson County, SC - 45007010600",2016,2.40%,
45,South Carolina,45007010700,"Anderson County, SC - 45007010700",2016,4.70%,
45,South Carolina,45007010800,"Anderson County, SC - 45007010800",2016,2.40%,
45,South Carolina,45007010900,"Anderson County, SC - 45007010900",2016,1.80%,
45,South Carolina,45007011001,"Anderson County, SC - 45007011001",2016,3.00%,
45,South Carolina,45007011002,"Anderson County, SC - 45007011002",2016,7.10%,
45,South Carolina,45007011100,"Anderson County, SC - 45007011100",2016,19.20%,
45,South Carolina,45007011201,"Anderson County, SC - 45007011201",2016,6.70%,
45,South Carolina,45007011202,"Anderson County, SC - 45007011202",2016,6.90%,
45,South Carolina,45007011300,"Anderson County, SC - 45007011300",2016,1.60%,
45,South Carolina,45007011401,"Anderson County, SC - 45007011401",2016,8.40%,
45,South Carolina,45007011402,"Anderson County, SC - 45007011402",2016,2.20%,
45,South Carolina,45007011500,"Anderson County, SC - 45007011500",2016,2.40%,
45,South Carolina,45007011600,"Anderson County, SC - 45007011600",2016,1.10%,
45,South Carolina,45007011700,"Anderson County, SC - 45007011700",2016,1.10%,
45,South Carolina,45007011800,"Anderson County, SC - 45007011800",2016,3.00%,
45,South Carolina,45007011901,"Anderson County, SC - 45007011901",2016,15.80%,
45,South Carolina,45007011902,"Anderson County, SC - 45007011902",2016,6.10%,
45,South Carolina,45007012001,"Anderson County, SC - 45007012001",2016,17.50%,
45,South Carolina,45007012002,"Anderson County, SC - 45007012002",2016,6.50%,
45,South Carolina,45007012200,"Anderson County, SC - 45007012200",2016,1.20%,
45,South Carolina,45007012300,"Anderson County, SC - 45007012300",2016,17.40%,
45,South Carolina,45009960100,"Bamberg County, SC - 45009960100",2016,1.10%,
45,South Carolina,45009960200,"Bamberg County, SC - 45009960200",2016,1.00%,
45,South Carolina,45009960300,"Bamberg County, SC - 45009960300",2016,0.60%,
45,South Carolina,45009960400,"Bamberg County, SC - 45009960400",2016,0.50%,
45,South Carolina,45011970100,"Barnwell County, SC - 45011970100",2016,1.10%,
45,South Carolina,45011970200,"Barnwell County, SC - 45011970200",2016,1.10%,
45,South Carolina,45011970300,"Barnwell County, SC - 45011970300",2016,3.60%,
45,South Carolina,45011970400,"Barnwell County, SC - 45011970400",2016,1.20%,
45,South Carolina,45011970500,"Barnwell County, SC - 45011970500",2016,0.70%,
45,South Carolina,45011980100,"Barnwell County, SC - 45011980100",2016,0.80%,
45,South Carolina,45013000100,"Beaufort County, SC - 45013000100",2016,0.30%,
45,South Carolina,45013000200,"Beaufort County, SC - 45013000200",2016,1.30%,
45,South Carolina,45013000300,"Beaufort County, SC - 45013000300",2016,5.90%,
45,South Carolina,45013000400,"Beaufort County, SC - 45013000400",2016,10.50%,
45,South Carolina,45013000501,"Beaufort County, SC - 45013000501",2016,2.00%,
45,South Carolina,45013000502,"Beaufort County, SC - 45013000502",2016,9.30%,
45,South Carolina,45013000503,"Beaufort County, SC - 45013000503",2016,2.60%,
45,South Carolina,45013000600,"Beaufort County, SC - 45013000600",2016,5.20%,
45,South Carolina,45013000700,"Beaufort County, SC - 45013000700",2016,8.70%,
45,South Carolina,45013000800,"Beaufort County, SC - 45013000800",2016,7.20%,
45,South Carolina,45013000901,"Beaufort County, SC - 45013000901",2016,0.20%,
45,South Carolina,45013000902,"Beaufort County, SC - 45013000902",2016,2.30%,
45,South Carolina,45013000903,"Beaufort County, SC - 45013000903",2016,2.00%,
45,South Carolina,45013001000,"Beaufort County, SC - 45013001000",2016,4.40%,
45,South Carolina,45013001101,"Beaufort County, SC - 45013001101",2016,0.50%,
45,South Carolina,45013001102,"Beaufort County, SC - 45013001102",2016,0.40%,
45,South Carolina,45013001200,"Beaufort County, SC - 45013001200",2016,0.60%,
45,South Carolina,45013002101,"Beaufort County, SC - 45013002101",2016,0.30%,
45,South Carolina,45013002102,"Beaufort County, SC - 45013002102",2016,0.70%,
45,South Carolina,45013002103,"Beaufort County, SC - 45013002103",2016,7.20%,
45,South Carolina,45013002104,"Beaufort County, SC - 45013002104",2016,19.90%,
45,South Carolina,45013002105,"Beaufort County, SC - 45013002105",2016,9.40%,
45,South Carolina,45013002106,"Beaufort County, SC - 45013002106",2016,10.50%,
45,South Carolina,45013002107,"Beaufort County, SC - 45013002107",2016,13.00%,
45,South Carolina,45013002108,"Beaufort County, SC - 45013002108",2016,4.00%,
45,South Carolina,45013002201,"Beaufort County, SC - 45013002201",2016,2.00%,
45,South Carolina,45013002202,"Beaufort County, SC - 45013002202",2016,0.70%,
45,South Carolina,45013010100,"Beaufort County, SC - 45013010100",2016,4.00%,
45,South Carolina,45013010200,"Beaufort County, SC - 45013010200",2016,2.90%,
45,South Carolina,45013010300,"Beaufort County, SC - 45013010300",2016,7.00%,
45,South Carolina,45013010400,"Beaufort County, SC - 45013010400",2016,5.70%,
45,South Carolina,45013010500,"Beaufort County, SC - 45013010500",2016,7.10%,
45,South Carolina,45013010600,"Beaufort County, SC - 45013010600",2016,6.70%,
45,South Carolina,45013010700,"Beaufort County, SC - 45013010700",2016,4.90%,
45,South Carolina,45013010800,"Beaufort County, SC - 45013010800",2016,13.60%,
45,South Carolina,45013010900,"Beaufort County, SC - 45013010900",2016,6.10%,
45,South Carolina,45013011000,"Beaufort County, SC - 45013011000",2016,8.20%,
45,South Carolina,45013011100,"Beaufort County, SC - 45013011100",2016,10.70%,
45,South Carolina,45013011200,"Beaufort County, SC - 45013011200",2016,16.80%,
45,South Carolina,45013011300,"Beaufort County, SC - 45013011300",2016,22.40%,
45,South Carolina,45013990100,"Beaufort County, SC - 45013990100",2016,5.40%,
45,South Carolina,45015020101,"Berkeley County, SC - 45015020101",2016,0.30%,
45,South Carolina,45015020102,"Berkeley County, SC - 45015020102",2016,0.40%,
45,South Carolina,45015020201,"Berkeley County, SC - 45015020201",2016,1.20%,
45,South Carolina,45015020202,"Berkeley County, SC - 45015020202",2016,0.60%,
45,South Carolina,45015020301,"Berkeley County, SC - 45015020301",2016,0.40%,
45,South Carolina,45015020302,"Berkeley County, SC - 45015020302",2016,1.00%,
45,South Carolina,45015020401,"Berkeley County, SC - 45015020401",2016,0.20%,
45,South Carolina,45015020403,"Berkeley County, SC - 45015020403",2016,7.00%,
45,South Carolina,45015020404,"Berkeley County, SC - 45015020404",2016,3.10%,
45,South Carolina,45015020405,"Berkeley County, SC - 45015020405",2016,1.50%,
45,South Carolina,45015020503,"Berkeley County, SC - 45015020503",2016,0.60%,
45,South Carolina,45015020504,"Berkeley County, SC - 45015020504",2016,5.80%,
45,South Carolina,45015020505,"Berkeley County, SC - 45015020505",2016,9.60%,
45,South Carolina,45015020506,"Berkeley County, SC - 45015020506",2016,11.30%,
45,South Carolina,45015020600,"Berkeley County, SC - 45015020600",2016,2.80%,
45,South Carolina,45015020707,"Berkeley County, SC - 45015020707",2016,5.90%,
45,South Carolina,45015020710,"Berkeley County, SC - 45015020710",2016,4.40%,
45,South Carolina,45015020711,"Berkeley County, SC - 45015020711",2016,4.80%,
45,South Carolina,45015020712,"Berkeley County, SC - 45015020712",2016,7.50%,
45,South Carolina,45015020713,"Berkeley County, SC - 45015020713",2016,4.00%,
45,South Carolina,45015020714,"Berkeley County, SC - 45015020714",2016,24.70%,
45,South Carolina,45015020715,"Berkeley County, SC - 45015020715",2016,22.90%,
45,South Carolina,45015020716,"Berkeley County, SC - 45015020716",2016,16.50%,
45,South Carolina,45015020717,"Berkeley County, SC - 45015020717",2016,16.60%,
45,South Carolina,45015020718,"Berkeley County, SC - 45015020718",2016,15.50%,
45,South Carolina,45015020719,"Berkeley County, SC - 45015020719",2016,22.40%,
45,South Carolina,45015020720,"Berkeley County, SC - 45015020720",2016,23.40%,
45,South Carolina,45015020721,"Berkeley County, SC - 45015020721",2016,16.60%,
45,South Carolina,45015020722,"Berkeley County, SC - 45015020722",2016,21.40%,
45,South Carolina,45015020723,"Berkeley County, SC - 45015020723",2016,28.00%,
45,South Carolina,45015020724,"Berkeley County, SC - 45015020724",2016,4.10%,
45,South Carolina,45015020725,"Berkeley County, SC - 45015020725",2016,30.20%,
45,South Carolina,45015020804,"Berkeley County, SC - 45015020804",2016,26.20%,
45,South Carolina,45015020806,"Berkeley County, SC - 45015020806",2016,18.10%,
45,South Carolina,45015020807,"Berkeley County, SC - 45015020807",2016,9.10%,
45,South Carolina,45015020808,"Berkeley County, SC - 45015020808",2016,15.20%,
45,South Carolina,45015020809,"Berkeley County, SC - 45015020809",2016,15.80%,
45,South Carolina,45015020810,"Berkeley County, SC - 45015020810",2016,17.20%,
