"StateFIPS","State","CensusTract","Census Tract","Year","Value","Data Comment",
"45","South Carolina","45001950100","Abbeville County, SC - 45001950100","2013-2017","28.7%","",
"45","South Carolina","45001950200","Abbeville County, SC - 45001950200","2013-2017","25.0%","",
"45","South Carolina","45001950300","Abbeville County, SC - 45001950300","2013-2017","29.2%","",
"45","South Carolina","45001950400","Abbeville County, SC - 45001950400","2013-2017","23.8%","",
"45","South Carolina","45001950500","Abbeville County, SC - 45001950500","2013-2017","43.0%","",
"45","South Carolina","45001950600","Abbeville County, SC - 45001950600","2013-2017","36.4%","",
"45","South Carolina","45003020100","Aiken County, SC - 45003020100","2013-2017","38.6%","",
"45","South Carolina","45003020200","Aiken County, SC - 45003020200","2013-2017","31.4%","",
"45","South Carolina","45003020301","Aiken County, SC - 45003020301","2013-2017","22.2%","",
"45","South Carolina","45003020302","Aiken County, SC - 45003020302","2013-2017","31.9%","",
"45","South Carolina","45003020400","Aiken County, SC - 45003020400","2013-2017","25.5%","",
"45","South Carolina","45003020500","Aiken County, SC - 45003020500","2013-2017","11.3%","",
"45","South Carolina","45003020601","Aiken County, SC - 45003020601","2013-2017","11.1%","",
"45","South Carolina","45003020602","Aiken County, SC - 45003020602","2013-2017","24.3%","",
"45","South Carolina","45003020701","Aiken County, SC - 45003020701","2013-2017","22.8%","",
"45","South Carolina","45003020702","Aiken County, SC - 45003020702","2013-2017","24.8%","",
"45","South Carolina","45003020801","Aiken County, SC - 45003020801","2013-2017","8.4%","",
"45","South Carolina","45003020802","Aiken County, SC - 45003020802","2013-2017","23.3%","",
"45","South Carolina","45003020901","Aiken County, SC - 45003020901","2013-2017","20.0%","",
"45","South Carolina","45003020902","Aiken County, SC - 45003020902","2013-2017","22.4%","",
"45","South Carolina","45003021001","Aiken County, SC - 45003021001","2013-2017","29.5%","",
"45","South Carolina","45003021002","Aiken County, SC - 45003021002","2013-2017","21.5%","",
"45","South Carolina","45003021101","Aiken County, SC - 45003021101","2013-2017","40.7%","",
"45","South Carolina","45003021102","Aiken County, SC - 45003021102","2013-2017","20.9%","",
"45","South Carolina","45003021201","Aiken County, SC - 45003021201","2013-2017","8.5%","",
"45","South Carolina","45003021202","Aiken County, SC - 45003021202","2013-2017","8.1%","",
"45","South Carolina","45003021203","Aiken County, SC - 45003021203","2013-2017","12.4%","",
"45","South Carolina","45003021300","Aiken County, SC - 45003021300","2013-2017","22.0%","",
"45","South Carolina","45003021400","Aiken County, SC - 45003021400","2013-2017","36.5%","",
"45","South Carolina","45003021500","Aiken County, SC - 45003021500","2013-2017","17.1%","",
"45","South Carolina","45003021601","Aiken County, SC - 45003021601","2013-2017","31.7%","",
"45","South Carolina","45003021602","Aiken County, SC - 45003021602","2013-2017","9.4%","",
"45","South Carolina","45003021700","Aiken County, SC - 45003021700","2013-2017","41.4%","",
"45","South Carolina","45003021800","Aiken County, SC - 45003021800","2013-2017","36.6%","",
