name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,mh,psy,rtcc,rtca,ores,ph,omh,cmhc,msmh,ipt,cft,gt,cbt,dbt,bmt,idd,tt,at,ect,tele,smon,smpd,smop,hi,res,phdt,op,vamc,sma,osg,lmg,tbg,ih,sf,md,mc,si,pi,mi,smha,swfs,scjj,sef,osf,clf,csbg,cmhg,vaf,cit,wi,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,hv,trma,sed,smi,alz,ptsd,tbi,tay,ped,act,icm,cm,cdm,peer,coot,dec,es,fpsy,hs,imr,ipc,lad,nrt,nsc,prs,stu,sps,semp,sh,tpc,tcc,vrs,chld,yad,adlt,snr,itu,pvtp,pvtn,fqhc,vo,sumh,ccbhc,chlor,drope,fluph,halop,loxap,perph,pimoz,proch,thiot,thior,trifl,aripi,asena,brexp,carip,cloza,ilope,luras,olanz,olanzf,palip,queti,rispe,zipra,crt,emdr,kit,tms,peon,peoff,fg,pcf,dv,pefp,hivt,shb,shc,stdt,tbs,aot,ptm,msnh,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
Lexington County CMHC,Gaston/Swansea Clinic,500 Charlie Rast Road,,Swansea,SC,29160,,Lexington,803-755-2261,Intake,803-996-1500,,http://lexingtonmhc.org,33.7639976,-81.0926684,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,,1,,,,,,1,,1,,,,,1,1,1,1,1,1,,,,,,,,1,,1,1,,,1,,1,1,,,,1,,,1,,1,,1,,,,,,1,,,1,,,1,,1,,,,,,,1,,,,,,,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Rivers Residential Trt Services,,200 Ermine Road,,West Columbia,SC,29170,,Lexington,803-791-9918,Intake,,877-791-9918,http://www.threeriversmidlands.org,33.970426,-81.136899,MH,1,,1,,,,,,,1,1,1,1,1,,1,1,1,,1,1,,,,1,1,,,,,,,,1,1,,,1,1,,,1,,,1,,,,1,,,,,,,,,,,1,,,1,,,,,,,,,,1,,,1,,1,1,,,,,,,1,,,,,,,,1,,,,,1,,,,1,,,,,1,,,,,,,,1,,,,1,1,1,1,1,1,1,1,1,,1,,,1,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington Cnty Comm Mental Health Ctr,Adult Clinic/Emergency Services,301 Palmetto Park Boulevard,,Lexington,SC,29072,,Lexington,803-359-3545,Intake,803-996-1500,,http://lexingtonmhc.org,34.000969,-81.2057503,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,,,,,,,,1,,1,1,,,1,,1,1,,,,1,,,1,,1,,1,,,,1,,1,,,1,,,1,,1,,,,,,,1,,,,,,,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington Cnty Comm Mental Health Ctr,Child/Adol and Family Services,305 Palmetto Park Boulevard,,Lexington,SC,29072,,Lexington,803-359-7206,Intake,803-996-1500,,http://lexingtonmhc.org,34.0024688,-81.2069986,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,1,1,,,1,,1,1,,,1,,1,1,,,,1,,,1,1,,,1,,1,,,1,1,,,1,,,1,,1,,,,,,,1,,,,,,1,1,,,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prisma Health Baptist Columbia,Behavioral Care Services,1301 Taylor Street,,Columbia,SC,29220,,Richland,803-296-5010,,,,http://www.prismahealth.org,34.00747,-81.034085,MH,1,1,,,,,,,,1,,1,1,1,1,1,,1,1,1,1,,,1,,1,1,,,,,,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,,,,1,,1,,,,,,,,,,1,,,,,,1,,1,,,1,1,1,1,,,,,1,1,,1,1,,,,1,,1,1,1,1,,,1,,,1,,1,,1,1,,,,1,,,,1,,,,1,,1,1,,1,1,1,1,,,,,1,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
University of South Carolina,Psychology Services Center,1331 Elmwood Avenue,Suite 140,Columbia,SC,29201,,Richland,803-777-7302,,,,http://www.psych.sc.edu/psc,34.0148021,-81.036257,MH,1,,,,,,1,,,1,1,1,1,,1,,1,,,,,1,,,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Area Mental Health Center,Adult Clinic Services,2000 Hampton Street,Suite 3116,Columbia,SC,29204,,Richland,803-898-0123,Intake,803-898-8888,,http://www.scdmh.org,34.0092406,-81.0224976,MH,1,,,,,,,1,,1,1,1,1,,,1,,,,,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,1,,,,,,,,,,,1,,,,1,,,,,,,1,1,,,1,1,,1,1,,1,,,,,,,,1,,,,,1,1,1,,,,1,,,,,,1,1,,,,,1,,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Area Mental Health Center,Mental Health Court,2715 Colonial Drive,Suite 200-A,Columbia,SC,29203,,Richland,803-898-1555,Intake,803-898-8888,,http://www.state.sc.us/dmh/camhc,34.021781,-81.032365,MH,1,,,,,,,1,,1,1,1,1,1,,,,,,,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,,1,1,1,,1,1,1,,,,1,,1,,,,,1,1,,,,1,,,,,,1,1,1,,,1,,,1,,,,,,,1,,,1,,,,1,,1,1,1,,,,,,1,,,,1,1,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Area Mental Health Center,Behavioral Therapy Program,2715 Colonial Drive,Suite 200-A,Columbia,SC,29203,,Richland,803-898-4800,Intake,803-898-8888,,http://www.colamhc.org/,34.0236535,-81.0338695,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,,1,,,,,,1,,1,,,,,1,1,1,1,1,1,1,,,,,1,1,1,1,1,1,,,1,1,1,,,,,1,1,,1,,1,,1,,1,1,,1,1,,1,1,1,,1,,,,,,,1,,1,,1,,,,,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Area Mental Health Center,Child and Adolescent,2715 Colonial Drive,Suite 100-A,Columbia,SC,29203,,Richland,803-898-4800,Intake,803-898-4777,,http://www.scdmh.org,34.0236535,-81.0338695,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,1,,,,,,1,,1,,,,,1,1,1,,1,1,1,1,,1,1,1,,1,,1,1,1,,1,,1,1,,,1,1,,,1,1,,,1,,,,,,,,,1,,,1,,,,,,,1,,,,,,,,1,1,,,,,,,,1,,,,1,,,,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Area Mental Health Center,Adult Intensive Services,2715 Colonial Drive,,Columbia,SC,29203,,Richland,803-898-4850,Intake,803-898-8888,,http://www.scdmh.org,34.023921,-81.03422,MH,1,,,,,,,1,,1,1,1,1,1,1,1,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,1,,1,1,1,1,,,1,1,1,,,,,1,1,,1,,1,,1,,1,,,1,1,,1,1,,,1,,,,,,,1,,1,,,,,,,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Jennings Bryan Dorn VAMC,Mental Health,6439 Garners Ferry Road,Suite 116,Columbia,SC,29209,,Richland,803-776-4000 x6823,,,,http://www.columbiasc.va.gov/,33.9753554,-80.959607,MH,1,,,,,,,,,1,1,1,1,1,1,1,1,1,,1,1,,,1,,,1,1,,,,,,1,,,,1,,,,,,,,,,1,1,1,,,,,1,1,1,,,,1,,1,,1,,1,1,,,,1,1,,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,,1,1,1,,,,,1,1,,,,1,1,,,,,,,,1,,,,1,,1,1,,1,1,1,1,,1,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Area Mental Health Center,Lower Richland Office,1850 Pineview Drive,,Columbia,SC,29209,,Richland,803-783-0303,Intake,803-898-8888,,http://scdmh.org/,33.9504443,-80.9293883,MH,1,,,,,,1,,,1,1,1,1,,,1,1,1,,1,1,,,,,,1,,,1,,,,1,1,1,1,1,1,1,,,,1,1,,,1,1,1,,,,,1,,,,,,1,,,,1,,,,,,,1,1,1,1,1,,,1,,1,1,,,,1,,1,1,,,,,,1,1,1,,,,1,,1,,1,,1,1,,1,,,1,,,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Psychiatric Hospital Hall Inst,Child and Adolescent Services,220 Faison Drive,,Columbia,SC,29203,,Richland,803-898-1662,,,,http://www.scdmh.org,34.0823923,-80.9960791,MH,1,1,,,,,,,,1,1,1,1,1,1,1,1,1,,,1,,,1,,,,,1,,,,,1,1,,1,1,1,1,1,1,1,,,,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,1,,,,,1,,,,,,1,,,1,1,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
G Werber Bryan Psychiatric Hospital,,220 Faison Drive,,Columbia,SC,29203,3210,Richland,803-935-7143,Intake,,803-898-1593,http://scdmh.org/,34.0853196,-80.9829534,MH,1,1,,,,,,,,,,1,1,,1,1,1,1,,,1,,,1,,,,,1,,,,,1,1,1,,1,,1,,,,1,,,,,,,,1,1,1,1,,,,,1,1,,,1,1,1,1,1,1,,,,1,,1,,1,,,,,1,,,1,,1,1,,,,1,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,,,,,,,,1,,,,,,
Columbia Area Mental Health Center,Insights Young Adult Program,90 Brighton Hill Road,,Columbia,SC,29223,,Richland,803-898-0200,Intake,803-898-8888,,http://www.state.sc.us/dmh/,34.081948,-80.962477,MH,1,,,,,,,1,,1,1,1,1,1,1,1,,1,,1,1,,,,,,1,,,1,,,,1,1,1,1,1,1,1,,,,,,,,,1,1,1,,1,,,,,,,,,,1,,,,1,,1,,1,1,1,,1,1,,,1,,1,,,,,1,,1,1,,,,1,,1,1,,,,,,,1,,1,,1,1,,1,,1,,,,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington Cnty Comm Mental Health Ctr,Batesburg/Leesville Clinic,119-A Malibu Drive,,Batesburg,SC,29006,,Lexington,803-532-8414,Intake,803-996-1500,,http://lexingtonmhc.org,33.9129546,-81.5299335,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,1,,,,,,1,,1,,,,,1,1,1,1,1,1,,,,,,,,1,,1,,,,1,,1,1,,,,1,,,1,,1,,1,,,,,,1,,,1,,,1,,1,,,,,,,1,,,,,,,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orangeburg Area Mental Health Center,Calhoun County Clinic,112 Guess Lane,,Saint Matthews,SC,29135,,Calhoun,803-874-2301,Intake,,803-655-5388,http://scdmh.org/,33.6756666,-80.7638325,MH,1,,,,,,,1,,1,1,1,1,,1,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,1,,1,1,,,,1,1,,1,1,1,,1,,1,1,,,1,,,1,,,1,,,,,,,,,1,,,,,,1,1,1,1,,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orangeburg Area Mental Health Center,,2319 Saint Matthews Road,,Orangeburg,SC,29118,,Orangeburg,803-536-1571,Intake,,888-468-8101,http://www.scdmh.org,33.5301367,-80.8501904,MH,1,,,,,,,1,,1,1,1,1,1,1,,1,,,1,,1,,,,,1,,1,,,,,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,1,1,,,1,,1,,,,1,1,1,,1,1,1,,1,,1,,1,,1,,1,1,,,1,1,,,,,,1,,1,,1,,,1,1,1,1,1,1,,,,,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,,1,,,1,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
William Jennings Bryan Dorn VAMC,Orangeburg County Clinic,1767 Village Park Drive,,Orangeburg,SC,29118,2475,Orangeburg,803-533-1335,,,,http://www.columbiasc.va.gov/,33.5232386,-80.8578006,MH,1,,,,,,,,,1,,1,1,,1,,1,,,1,1,,,,,,1,1,,,,,,1,,,,1,,,,,,,,,,1,1,,,,,,,1,1,,,,,,1,,,,1,,,,,,1,,,,,,1,,,1,,,,,,1,,,,,,,1,1,1,,,,,1,,,,,1,1,,,,,,,,1,,,,1,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
