﻿wkt_geom,OBJECTID,STCTYFIPS,NAME,FEATTYPE,MNFC,TEXTLENGTH
Point (-80.87076319999999896 32.08702790000000959),17304,45013,Bloody Point Beach,Beach,9357,18
Point (-80.87191280000001825 32.08772129999999834),17305,45013,Bloody Point Golf Course,Golf Course,9911,24
Point (-80.81905790000001844 32.1081115000000068),17330,45013,Beach Marker 15,Beach,9357,15
Point (-80.81584060000000136 32.1085868999999775),17331,45013,On The Beach # 17,Beach,9357,17
Point (-80.82210220000001755 32.10929529999998522),17333,45013,Tower Beach,Beach,9357,11
Point (-80.81229849999999715 32.10978460000001178),17334,45013,On The Beach,Beach,9357,12
Point (-80.84940100000000029 32.11052200000000312),17337,45013,Melrose Golf Course,Golf Course,9911,19
Point (-80.80943769999998949 32.11166800000000876),17339,45013,Beach Marker 21,Beach,9357,15
Point (-80.81214710000000423 32.11199510000000146),17340,45013,Marker 20 Sea Pines,Beach,9357,19
Point (-80.82762819999999238 32.11202850000000808),17341,45013,South Beach,Beach,9357,11
Point (-80.82437590000000682 32.11329399999999623),17342,45013,South Beach Playground,Amusement Park,9902,22
Point (-80.82781210000001693 32.11383200000000215),17343,45013,Beachside Tennis Beach,Beach,9357,22
Point (-80.8275092000000086 32.11490670000000591),17345,45013,South Beach Marker 7,Beach,9357,20
Point (-80.80440270000002556 32.11491780000000063),17346,45013,Beach At Marker 24,Beach,9357,18
Point (-80.82619540000001734 32.11540910000002214),17349,45013,Beach Marker 9,Beach,9357,14
Point (-80.82772690000001603 32.11798029999999926),17352,45013,South Beach Marker No. 4,Beach,9357,24
Point (-80.79878339999999071 32.11862509999997428),17353,45013,Beach Lagoon,Beach,9357,12
Point (-80.8251402000000212 32.1211711000000264),17354,45013,Lands End Way,Beach,9357,13
Point (-80.78768370000000232 32.12467209999999795),17359,45013,Monarch Beach,Beach,9357,13
Point (-80.81391000000002123 32.12545369999998002),17362,45013,Baynard Point,Park and Recreation Area,9362,13
Point (-80.81456100000002607 32.1260052000000087),17366,45013,14Th Green At Harbortown,Golf Course,9911,24
Point (-80.78999140000001944 32.12793599999997696),17369,45013,The Sea Pines Resort,Golf Course,9911,20
Point (-80.78954440000001114 32.1279835999999932),17370,45013,Heron Point At Sea Pines,Golf Course,9911,24
Point (-80.77739960000002384 32.12877420000000939),17371,45013,"Sea Pines Beach, 43A",Beach,9357,20
Point (-80.77787030000001778 32.12884869999999182),17372,45013,Beach At Marker 42A,Beach,9357,19
Point (-80.77416429999999536 32.1307788999999957),17374,45013,Beach Mile Marker 46,Beach,9357,20
Point (-80.84279190000000881 32.13173430000000508),17376,45013,Haig Point Golf Course,Golf Course,9911,22
Point (-80.76288279999999986 32.13499120000000175),17381,45013,Alder Lane Beach,Beach,9357,16
Point (-80.80968649999999798 32.13567749999998568),17382,45013,Harbor Town Putting Green,Golf Course,9911,25
Point (-80.80857869999999821 32.1361615999999799),17384,45013,The Sea Pines Resort-Harbour Town Golf Links,Golf Course,9911,44
Point (-80.78497800000002371 32.13736499999998841),17385,45013,Lawton Woods,Park and Recreation Area,9362,12
Point (-80.76010139999999637 32.13746939999998631),17386,45013,Beach At Mile Marker 54,Beach,9357,23
Point (-80.7553459000000089 32.13834500000001526),17388,45013,On The Beach,Beach,9357,12
Point (-80.8129210000000171 32.13871199999999817),17389,45013,Harbour Town Adventures,Beach,9357,23
Point (-80.81140080000000125 32.13878080000000637),17390,45013,Harbour Town,Golf Course,9911,12
Point (-80.81047929999999724 32.13934619999997722),17392,45013,Harbour Town Playground,Amusement Park,9902,23
Point (-80.75170259999998734 32.14009950000001936),17393,45013,Hilton Head With Toes In The Water,Beach,9357,34
Point (-80.75466280000000552 32.1403475000000185),17394,45013,The Beach @ Shorewood,Beach,9357,21
Point (-80.75121280000001889 32.14174960000002557),17396,45013,Coligny Beach Park,Park and Recreation Area,9362,18
Point (-80.751973200000009 32.14180649999997286),17397,45013,Coligny Beach Park,Beach,9357,18
Point (-80.75448970000002191 32.14271070000000918),17399,45013,South Beach Villas Beachside,Beach,9357,28
Point (-80.75032110000000785 32.1434722999999849),17402,45013,Coligny Beach Rest Area & Restrooms,Beach,9357,35
Point (-80.75032110000000785 32.1434722999999849),17403,45013,Spot The Metal Detector Guy At The Beach,Beach,9357,40
Point (-80.7574606000000017 32.14408759999997756),17405,45013,Hiton Head Island,Beach,9357,17
Point (-80.75453429999998889 32.14434019999998782),17406,45013,Legendary Golf,Golf Course,9911,14
Point (-80.74032360000001063 32.1464343000000099),17416,45013,Hhi Beach Marker 65A,Beach,9357,20
Point (-80.73840990000002193 32.14755760000002738),17420,45013,Hilton Head N Forest Beach,Beach,9357,26
Point (-80.78799520000001166 32.1481871999999953),17421,45013,Sea Pines Forest Preserve,Park and Recreation Area,9362,25
Point (-80.78804919999998901 32.14821239999997715),17422,45013,Hilton Head Beach Club,Beach,9357,22
Point (-80.78804700000000594 32.14821580000000267),17423,45013,Tower Beach - Mile Marker 17,Beach,9357,28
Point (-80.75705260000000862 32.1496066000000269),17426,45013,Escape Room,Amusement Park,9902,11
Point (-80.73456670000001623 32.15125899999998182),17428,45013,North Forest Beach,Beach,9357,18
Point (-80.73136210000001256 32.15264719999998988),17430,45013,The Ocean,Beach,9357,9
Point (-80.73015500000002476 32.15319369999997434),17431,45013,Shipyard Beach,Beach,9357,14
Point (-80.76021980000001577 32.15333329999998568),17432,45013,Compass Rose Park,Park and Recreation Area,9362,17
Point (-80.727957100000026 32.15536530000002813),17436,45013,Leamington Beach,Beach,9357,16
Point (-80.77614579999999478 32.15579999999999927),17437,45013,Sea Pines Country Club,Golf Course,9911,22
Point (-80.73396040000000085 32.15592639999999847),17438,45013,Beachwalk @ Shipyard,Beach,9357,20
Point (-80.74937160000001768 32.15690840000002026),17442,45013,Shipyard - Clipper Course,Golf Course,9911,25
Point (-80.74559290000001965 32.15691600000002381),17443,45013,Shipyard Golf Club,Golf Course,9911,18
Point (-80.72484420000000682 32.15776749999997719),17444,45013,Beach At Windsor Place,Beach,9357,22
Point (-80.75171069999998963 32.15937380000002577),17445,45013,Shipyard Beach Club,Beach,9357,19
Point (-80.78751479999999674 32.15964480000002368),17446,45013,Point Comfort Pavillion,Park and Recreation Area,9362,23
Point (-80.72957700000000614 32.16048200000000179),17450,45013,Palmetto Dunes Oceanfront Resort-Arthur Hills Course,Golf Course,9911,52
Point (-80.75161680000002207 32.16203789999997298),17455,45013,Betsy Jukofsky Xeriscape Garden,Park and Recreation Area,9362,31
Point (-80.74087800000000925 32.16255649999999378),17456,45013,Carolina Club At Shipyard Hotel Hilton Head Island,Golf Course,9911,50
Point (-80.71794740000001411 32.16340669999999591),17458,45013,Bass Head Beach,Beach,9357,15
Point (-80.7218667999999866 32.16674269999998614),17462,45013,Palmetto Dunes Oceanfront Resort-George Fazio Course,Golf Course,9911,52
Point (-80.74953529999999091 32.16677470000001904),17463,45013,Long Cove Club,Golf Course,9911,14
Point (-80.76096710000001622 32.16681169999998247),17464,45013,Wexford Plantation,Golf Course,9911,18
Point (-80.71776970000001938 32.16706299999998464),17466,45013,Marriott Beachfront,Beach,9357,19
Point (-80.72051790000000437 32.16714760000002116),17467,45013,George Fazio Golf Course,Golf Course,9911,24
Point (-80.72325260000002345 32.16729959999997845),17468,45013,Palmetto Dunes,Beach,9357,14
Point (-80.74121880000001283 32.16777769999998782),17469,45013,Legendary Golf,Golf Course,9911,14
Point (-80.7732120000000009 32.16821220000002768),17472,45013,Hiliton Head Beach,Beach,9357,18
Point (-80.71875110000001996 32.17080600000002732),17478,45013,Palmetto Dunes Oceanfront Resort-Robert Trent Jones Course,Golf Course,9911,58
Point (-80.79065880000001698 32.17127659999999878),17480,45013,"82 Brams Point Cir, Hilton Head Island, Sc 29926",Beach,9357,48
Point (-80.7706929999999943 32.17235299999998688),17482,45013,Meadow Park,Park and Recreation Area,9362,11
