STABR,FSCSKEY,FSCS_SEQ,C_FSCS,LIBID,LIBNAME,ADDRESS,CITY,ZIP,ZIP4,CNTY,PHONE,C_OUT_TY,SQ_FEET,F_SQ_FT,L_NUM_BM,HOURS,F_HOURS,WKS_OPEN,F_WKSOPN,YR_SUB,OBEREG,STATSTRU,STATNAME,STATADDR,LONGITUD,LATITUDE,INCITSST,INCITSCO,GNISPLAC,CNTYPOP,LOCALE,CENTRACT,CENBLOCK,CDCODE,CBSA,MICROF,GEOMATCH
SC,SC0002,2,Y,SC0002-017,ABBE REGIONAL LIBRARY BOOKMOBILE,314 CHESTERFIELD STREET SW,AIKEN,29801,7117,AIKEN,8036427575,BS,-4,N_19,1,2470,R_19,52,R_19,2019,5,0,0,0,-81.7215,33.5562,45,3,550,170872,21,213,1145,4502,12260,0,A
SC,SC0002,3,Y,SC0002-003,AIKEN COUNTY PUBLIC LIBRARY,"314 CHESTERFIELD STREET, S.W.",AIKEN,29801,7117,AIKEN,8036422022,CE,32140,R_19,0,2713,R_19,52,R_19,2019,5,0,0,0,-81.7215,33.5562,45,3,550,170872,21,213,1145,4502,12260,0,A
SC,SC0002,4,Y,SC0002-004,BAMBERG COUNTY PUBLIC LIBRARY,315 NORTH EAST RAILROAD AVENUE,BAMBERG,29003,M,BAMBERG,8032453022,BR,6800,R_19,0,2393,R_19,52,R_19,2019,5,0,0,0,-80.9868,33.28715,45,9,M,14066,41,9602,2046,4506,-4,N,A
SC,SC0002,5,Y,SC0002-005,BARNWELL COUNTY PUBLIC LIBRARY,40 BURR STREET,BARNWELL,29812,2533,BARNWELL,8032593612,BR,17000,R_19,0,2373,R_19,52,R_19,2019,5,0,0,0,-81.364,33.24313,45,11,4060,20866,32,9703,1001,4502,-4,N,A
SC,SC0002,6,Y,SC0002-006,EDGEFIELD COUNTY PUBLIC LIBRARY,105 COURT HOUSE SQUARE,EDGEFIELD,29824,1340,EDGEFIELD,8036374025,BR,6000,R_19,0,2425,R_19,52,R_19,2019,5,0,0,0,-81.9292,33.78942,45,37,22795,27260,32,9702.02,3006,4503,12260,0,A
SC,SC0002,7,Y,SC0002-007,NANCY CARSON LIBRARY,135 EDGEFIELD ROAD,NORTH AUGUSTA,29841,2423,AIKEN,8032795767,BR,16000,R_19,0,2597,R_19,52,R_19,2019,5,0,0,0,-81.953,33.52342,45,3,50695,170872,21,207.02,2000,4502,12260,0,A
SC,SC0002,8,Y,SC0002-008,BLACKVILLE LIBRARY,19420 SOL BLATT AVENUE NORTH,BLACKVILLE,29817,M,BARNWELL,8032842295,BR,1860,R_19,0,1228,R_19,51,R_19,2019,5,0,0,0,-81.2706,33.35692,45,11,6490,20866,42,9702,2064,4502,-4,N,A
SC,SC0002,9,Y,SC0002-009,DENMARK LIBRARY,5122 CAROLINA HIGHWAY,DENMARK,29042,1689,BAMBERG,8037934511,BR,3000,R_19,0,870,R_19,49,R_19,2019,5,0,0,0,-81.1429,33.32036,45,9,19105,14066,32,9601,3059,4506,-4,N,A
SC,SC0002,10,Y,SC0002-010,MOBLEY (JOHNSTON) BRANCH,406 CALHOUN STREET,JOHNSTON,29832,1317,EDGEFIELD,8032755157,BR,4000,R_19,0,878,R_19,51,R_19,2019,5,0,0,0,-81.8016,33.83135,45,37,37150,27260,42,9703,2012,4503,12260,0,A
SC,SC0002,11,Y,SC0002-011,NEW ELLENTON LIBRARY,113 PINE HILL AVENUE,NEW ELLENTON,29809,2527,AIKEN,8036527845,BR,2337,R_19,0,949,R_19,51,R_19,2019,5,0,0,0,-81.6828,33.42033,45,3,49705,170872,21,220.01,2065,4502,12260,0,A
SC,SC0002,12,Y,SC0002-012,TRENTON BRANCH LIBRARY,117 WATSON ROAD,TRENTON,29847,3242,EDGEFIELD,8032752538,BR,1600,R_19,0,480,R_19,51,R_19,2019,5,0,0,0,-81.8425,33.74102,45,37,72520,27260,42,9704,1111,4503,12260,0,A
SC,SC0002,13,Y,SC0002-013,NANCY BONNETTE BRANCH,"204 PARK STREET, NE",WAGENER,29164,9323,AIKEN,8035645396,BR,2617,R_19,0,1380,R_19,51,R_19,2019,5,0,0,0,-81.3586,33.64996,45,3,74050,170872,42,217,1132,4502,12260,0,A
SC,SC0002,14,Y,SC0002-014,WILLISTON LIBRARY,205 SPRINGFIELD ROAD,WILLISTON,29853,2737,BARNWELL,8032663027,BR,1568,R_19,0,1363,R_19,51,R_19,2019,5,0,0,0,-81.4189,33.40333,45,11,77965,20866,42,9701,4048,4502,-4,N,A
SC,SC0002,15,Y,SC0002-015,JACKSON BRANCH LIBRARY,106 MAIN STREET,JACKSON,29831,2616,AIKEN,8034713811,BR,1320,R_19,0,911,R_19,51,R_19,2019,5,0,0,0,-81.788,33.32518,45,3,36205,170872,42,221,2043,4502,12260,0,A
SC,SC0002,16,Y,SC0002-016,MIDLAND VALLEY BRANCH LIBRARY,9 HILLSIDE ROAD,WARRENVILLE,29834,M,AIKEN,8035937379,BR,1600,R_19,0,996,R_19,51,R_19,2019,5,0,0,0,-81.8485,33.51411,45,3,40390,170872,21,210.01,1021,4502,12260,0,A
SC,SC0003,2,Y,SC0003-002,ALLENDALE HAMPTON JASPER REGIONAL LIBRARY,297 MAIN STREET NORTH,ALLENDALE,29810,3711,ALLENDALE,8035843513,CE,12000,R_19,0,2288,R_19,52,R_19,2019,5,0,0,0,-81.3072,33.00944,45,5,955,8688,32,9702,2070,4506,-4,N,A
SC,SC0003,4,Y,SC0003-004,HAMPTON COUNTY LIBRARY,12 LOCUST STREET,HAMPTON,29924,3530,HAMPTON,8039437528,BR,8700,R_19,0,2184,R_19,52,R_19,2019,5,0,0,0,-81.1113,32.86478,45,49,31885,19222,33,9202,5099,4506,-4,N,A
SC,SC0003,5,Y,SC0003-005,PRATT MEMORIAL LIBRARY,451 EAST WILSON STREET,RIDGELAND,29936,8525,JASPER,8437267744,BR,6366,R_19,0,1924,R_19,52,R_19,2019,5,0,6,0,-80.9783,32.48138,45,53,60280,30073,32,9502.02,3064,4506,25940,0,A
SC,SC0003,6,Y,SC0003-006,HARDEEVILLE PUBLIC LIBRARY,37 MAIN STREET,HARDEEVILLE,29927,M,JASPER,8437843426,BR,6200,R_19,0,1976,R_19,52,R_19,2019,5,0,0,0,-81.0787,32.28534,45,53,32245,30073,31,9503,2135,4506,25940,0,A
