PHARMACY NAME,MEDICAID ID,NPI,SPOKEN LANGUAGES,e-Rx,Delivery,Compound,Drive- Thru,Vaccines,Handicap Access,Cultural Comp- Training,Accepting New Customers,Website
FAILY CARE SPECIALTY PHARMACY,710438,1003051129,ENG,Y,Y,Y,Y,Y,Y,Y,Y,
WALMART PHARMACY 10-4145,714357,1003152810,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
PALMETTO PRESCRIPTION CENTER,715235,1003233925,ENG,Y,Y,N,N,Y,Y,Y,Y,www.palmettopharmacy.com
KROGER PHARMACY #678,716690,1003262809,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.kroger.com/topic/pharmacy
WALMART PHARMACY 10-3359,716459,1003287632,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
TANDEM HEALTH PHARMACY 2,7Z1016,1003371386,ENG,N,N,N,N,N,Y,Y,Y,https://tandemhealthsc.org
BURKES MAIN STREET PHARMACY,722400,1003819673,ENG,Y,Y,Y,N,Y,Y,Y,Y,www.burkespharmacy.com/
WALGREENS,715761,1003821190,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
WALMART PHARMACY 10-1829,727297,1003833260,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
PUBLIX PHARMACY #0656,745115,1003856444,ENG,Y,N,Y,N,Y,Y,Y,Y,www.publix.com/Pharmacy
RILEYS DRUGS INC,717083,1003876244,ENG,N,N,N,Y,Y,Y,Y,Y,https://rileysdrugs.
CVS PHARMACY #05476,742008,1003919598,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #05470,711471,1003919796,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
MEDICINE MART PHARMACY,767123,1013004217,ENG,Y,N,N,N,Y,Y,Y,Y,https://www.rxmedicinemart.com
CVS PHARMACY #03849,711507,1013010552,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #04184,745161,1013010875,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
CVS PHARMACY #03537,742646,1013010883,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
WALGREENS,715812,1013011410,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
CVS PHARMACY #07420,7N0165,1013164177,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.cvs.com/pharmacy/#/pharmacy
WALGREENS,715808,1013264670,ENG,Y,N,Y,Y,N/A,Y,Y,Y,https://www.walgreens.com/pharmacy/
LONG'S DRUGS OF CHARLESTON,717528,1013428176,ENG,Y,Y,N,N,Y,Y,Y,Y,https://longsrx.com/
"HUMANA PHARMACY, INC.",716916,1013468404,ENG,Y,N,N,N,Y,Y,Y,Y,https://www.hubcitypharmacy.info
INGLES PHARMACY,761285,1013922962,ENG,Y,N,Y,Y,Y,Y,Y,Y,www.ingles-markets.com/inside/pharmacy/pharmacy-info
WALMART PHARMACY 10-0634,724842,1013934272,ENG,Y,N,Y,N,Y,Y,Y,Y,https://www.walmart.com/cp/pharmacy/5431
