NCESSCH,LEAID,LEANM05,SCHNAM05,LCITY05,LSTATE05,LATCOD,LONCOD,MLOCALE,ULOCALE,status05,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,LEATH WOMEN`S CORRECTIONAL INSTITUTION,GREENWOOD,SC,34.25251,-82.14137,7,41,6,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,LEE CORRECTIONAL INSTITUTE,BISHOPVILLE,SC,34.20558,-80.22784,7,41,1,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,TRENTON CORRECTIONAL INSTITUTION,TRENTON,SC,33.71993,-81.84903,8,42,1,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,TURBEVILLE CORRECTIONAL INSTITUTION,TURBEVILLE,SC,33.8782,-79.9952,7,42,1,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,TYGER RIVER CORRECTIONAL,ENOREE,SC,34.71306,-81.82592,8,42,1,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,STEVENSON CORRECTIONAL INSTITUTION,COLUMBIA,SC,34.06829,-81.11814,2,12,1,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,EVANS CORRECTIONAL INSTITUTION,BENNETTSVILLE,SC,34.6248,-79.69145,6,32,6,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,RIDGELAND CORRECTIONAL INSTITUTION,RIDGELAND,SC,34.00135,-81.03361,6,12,1,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,KERSHAW CORRECTIONAL INSTITUTION,KERSHAW,SC,34.60541,-80.54088,7,42,6,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,MANNING CORRECTIONAL INSTITUTION,COLUMBIA,SC,34.08068,-80.9795,2,21,6,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,MACDOUGALL YOUTH CORRECTIONAL CENTER,RIDGEVILLE,SC,33.17039,-80.29526,8,42,1,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,GRAHAM CORRECTIONAL INSTITUTION,COLUMBIA,SC,34.06671,-81.11713,2,12,1,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,KIRKLAND CORRECTIONAL INST,COLUMBIA,SC,,,N,N,2,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,MCCORMICK CORRECTIONAL INSTITUTION,MCCORMICK,SC,33.9133,-82.2915,7,42,6,,,
4.5E+11,4500001,PALMETTO UNIFIED DISTRICT,WATEREE RIVER CORRECTIONAL INSTITUTION,REMBERT,SC,34.08857,-80.56926,8,42,1,,,
