County,Number,Rate,Clearance
Abbeville County,65,26.5,60.0%
Aiken County,840,49.2,34.2%
Allendale County,88,101.3,4.5%
Anderson County,907,44.8,57.1%
Bamberg County,79,56.2,39.2%
Barnwell County,185,88.7,38.9%
Beaufort County,727,37.8,49.7%
Berkeley County,588,25.8,47.6%
Calhoun County,77,52.9,50.6%
Charleston County,"2,077",50.5,39.2%
Cherokee County,233,40.7,39.9%
Chester County,215,66.7,23.7%
Chesterfield County,249,54.5,40.6%
Clarendon County,205,60.7,28.3%
Colleton County,254,67.4,29.5%
Darlington County,601,90.2,37.3%
Dillon County,319,104.7,39.8%
Dorchester County,497,30.5,33.8%
Edgefield County,11,4.0,36.4%
Fairfield County,177,79.2,64.4%
Florence County,"1,136",82.1,45.2%
Georgetown County,323,51.5,72.4%
Greenville County,"2,561",48.9,65.3%
Greenwood County,576,81.3,42.0%
Hampton County,144,74.9,22.9%
Horry County,"1,615",45.6,56.8%
Jasper County,66,21.9,47.0%
Kershaw County,258,38.8,38.0%
Lancaster County,298,30.4,87.9%
Laurens County,409,60.6,64.3%
Lee County,153,90.9,37.3%
Lexington County,"1,040",34.8,45.2%
McCormick County,17,18.0,35.3%
Marion County,171,55.8,43.3%
Marlboro County,193,73.9,53.9%
Newberry County,178,46.3,75.3%
Oconee County,284,35.7,54.9%
Orangeburg County,959,111.3,30.7%
Pickens County,431,34.0,60.8%
Richland County,"3,565",85.7,30.2%
Saluda County,50,24.4,54.0%
Spartanburg County,"1,576",49.3,63.2%
Sumter County,825,77.3,54.7%
Union County,131,48.0,42.7%
Williamsburg County,130,42.8,32.3%
York County,"1,035",36.8,44.6%
