StateFIPS,State,CensusTract,Census Tract,Year,Value,Data Comment
45,South Carolina,45001950100,"Abbeville County, SC - 45001950100",2015,3.50%,
45,South Carolina,45001950200,"Abbeville County, SC - 45001950200",2015,6.00%,
45,South Carolina,45001950300,"Abbeville County, SC - 45001950300",2015,8.00%,
45,South Carolina,45001950400,"Abbeville County, SC - 45001950400",2015,9.00%,
45,South Carolina,45001950500,"Abbeville County, SC - 45001950500",2015,13.60%,
45,South Carolina,45001950600,"Abbeville County, SC - 45001950600",2015,6.40%,
45,South Carolina,45003020100,"Aiken County, SC - 45003020100",2015,12.40%,
45,South Carolina,45003020200,"Aiken County, SC - 45003020200",2015,3.20%,
45,South Carolina,45003020301,"Aiken County, SC - 45003020301",2015,7.80%,
45,South Carolina,45003020302,"Aiken County, SC - 45003020302",2015,6.80%,
45,South Carolina,45003020400,"Aiken County, SC - 45003020400",2015,5.70%,
45,South Carolina,45003020500,"Aiken County, SC - 45003020500",2015,2.70%,
45,South Carolina,45003020601,"Aiken County, SC - 45003020601",2015,0.70%,
45,South Carolina,45003020602,"Aiken County, SC - 45003020602",2015,11.70%,
45,South Carolina,45003020701,"Aiken County, SC - 45003020701",2015,5.80%,
45,South Carolina,45003020702,"Aiken County, SC - 45003020702",2015,14.70%,
45,South Carolina,45003020801,"Aiken County, SC - 45003020801",2015,0.60%,
45,South Carolina,45003020802,"Aiken County, SC - 45003020802",2015,2.30%,
45,South Carolina,45003020901,"Aiken County, SC - 45003020901",2015,5.90%,
45,South Carolina,45003020902,"Aiken County, SC - 45003020902",2015,4.30%,
45,South Carolina,45003021001,"Aiken County, SC - 45003021001",2015,3.00%,
45,South Carolina,45003021002,"Aiken County, SC - 45003021002",2015,6.50%,
45,South Carolina,45003021101,"Aiken County, SC - 45003021101",2015,13.40%,
45,South Carolina,45003021102,"Aiken County, SC - 45003021102",2015,4.20%,
45,South Carolina,45003021201,"Aiken County, SC - 45003021201",2015,3.40%,
45,South Carolina,45003021202,"Aiken County, SC - 45003021202",2015,2.00%,
45,South Carolina,45003021203,"Aiken County, SC - 45003021203",2015,3.70%,
45,South Carolina,45003021300,"Aiken County, SC - 45003021300",2015,7.00%,
45,South Carolina,45003021400,"Aiken County, SC - 45003021400",2015,18.90%,
45,South Carolina,45003021500,"Aiken County, SC - 45003021500",2015,5.60%,
45,South Carolina,45003021601,"Aiken County, SC - 45003021601",2015,7.10%,
45,South Carolina,45003021602,"Aiken County, SC - 45003021602",2015,1.20%,
45,South Carolina,45003021700,"Aiken County, SC - 45003021700",2015,8.80%,
45,South Carolina,45003021800,"Aiken County, SC - 45003021800",2015,8.60%,
45,South Carolina,45003021900,"Aiken County, SC - 45003021900",2015,2.80%,
45,South Carolina,45003022001,"Aiken County, SC - 45003022001",2015,3.50%,
45,South Carolina,45003022002,"Aiken County, SC - 45003022002",2015,4.80%,
45,South Carolina,45003022100,"Aiken County, SC - 45003022100",2015,5.10%,
