objectid,name,feattype,GEOID,tract_latitude,tract_longitude,lat,lon
17304,Bloody Point Beach,Beach,45013002101,+32.1187058,-080.8611777,32.0870279,-80.8707632
17305,Bloody Point Golf Course,Golf Course,45013002101,+32.1187058,-080.8611777,32.0877213,-80.8719128
17330,Beach Marker 15,Beach,45013990100,+32.2428182,-080.5598028,32.1081115,-80.8190579
17331,On The Beach # 17,Beach,45013990100,+32.2428182,-080.5598028,32.1085869,-80.8158406
17333,Tower Beach,Beach,45013010100,+32.1265422,-080.8133825,32.1092953,-80.8221022
17334,On The Beach,Beach,45013990100,+32.2428182,-080.5598028,32.1097846,-80.8122985
17337,Melrose Golf Course,Golf Course,45013002101,+32.1187058,-080.8611777,32.110522,-80.849401
17339,Beach Marker 21,Beach,45013010100,+32.1265422,-080.8133825,32.111668,-80.8094377
17340,Marker 20 Sea Pines,Beach,45013010100,+32.1265422,-080.8133825,32.1119951,-80.8121471
17341,South Beach,Beach,45013990100,+32.2428182,-080.5598028,32.1120285,-80.8276282
17342,South Beach Playground,Amusement Park,45013010100,+32.1265422,-080.8133825,32.113294,-80.8243759
17343,Beachside Tennis Beach,Beach,45013010100,+32.1265422,-080.8133825,32.113832,-80.8278121
17345,South Beach Marker 7,Beach,45013010100,+32.1265422,-080.8133825,32.1149067,-80.8275092
17346,Beach At Marker 24,Beach,45013010100,+32.1265422,-080.8133825,32.1149178,-80.8044027
17349,Beach Marker 9,Beach,45013010100,+32.1265422,-080.8133825,32.1154091,-80.8261954
17352,South Beach Marker No. 4,Beach,45013010100,+32.1265422,-080.8133825,32.1179803,-80.8277269
17353,Beach Lagoon,Beach,45013010100,+32.1265422,-080.8133825,32.1186251,-80.7987834
17354,Lands End Way,Beach,45013010100,+32.1265422,-080.8133825,32.1211711,-80.8251402
17359,Monarch Beach,Beach,45013010100,+32.1265422,-080.8133825,32.1246721,-80.7876837
17362,Baynard Point,Park and Recreation Area,45013010100,+32.1265422,-080.8133825,32.1254537,-80.81391
17366,14Th Green At Harbortown,Golf Course,45013010100,+32.1265422,-080.8133825,32.1260052,-80.814561
17369,The Sea Pines Resort,Golf Course,45013010200,+32.1519392,-080.7893447,32.127936,-80.7899914
17370,Heron Point At Sea Pines,Golf Course,45013010200,+32.1519392,-080.7893447,32.1279836,-80.7895444
17371,"Sea Pines Beach, 43A",Beach,45013010100,+32.1265422,-080.8133825,32.1287742,-80.7773996
17372,Beach At Marker 42A,Beach,45013010100,+32.1265422,-080.8133825,32.1288487,-80.7778703
17374,Beach Mile Marker 46,Beach,45013010100,+32.1265422,-080.8133825,32.1307789,-80.7741643
17376,Haig Point Golf Course,Golf Course,45013002101,+32.1187058,-080.8611777,32.1317343,-80.8427919
17381,Alder Lane Beach,Beach,45013990100,+32.2428182,-080.5598028,32.1349912,-80.7628828
17382,Harbor Town Putting Green,Golf Course,45013010100,+32.1265422,-080.8133825,32.1356775,-80.8096865
17384,The Sea Pines Resort-Harbour Town Golf Links,Golf Course,45013010100,+32.1265422,-080.8133825,32.1361616,-80.8085787
17385,Lawton Woods,Park and Recreation Area,45013010200,+32.1519392,-080.7893447,32.137365,-80.784978
17386,Beach At Mile Marker 54,Beach,45013011300,+32.1398723,-080.7612122,32.1374694,-80.7601014
17389,Harbour Town Adventures,Beach,45013010100,+32.1265422,-080.8133825,32.138712,-80.812921
17390,Harbour Town,Golf Course,45013010100,+32.1265422,-080.8133825,32.1387808,-80.8114008
17392,Harbour Town Playground,Amusement Park,45013010100,+32.1265422,-080.8133825,32.1393462,-80.8104793
17393,Hilton Head With Toes In The Water,Beach,45013990100,+32.2428182,-080.5598028,32.1400995,-80.7517026
17394,The Beach @ Shorewood,Beach,45013011300,+32.1398723,-080.7612122,32.1403475,-80.7546628
17396,Coligny Beach Park,Park and Recreation Area,45013011300,+32.1398723,-080.7612122,32.1417496,-80.7512128
17399,South Beach Villas Beachside,Beach,45013011300,+32.1398723,-080.7612122,32.1427107,-80.7544897
17402,Coligny Beach Rest Area & Restrooms,Beach,45013011200,+32.1514615,-080.7433783,32.1434723,-80.7503211
17403,Spot The Metal Detector Guy At The Beach,Beach,45013011200,+32.1514615,-080.7433783,32.1434723,-80.7503211
17405,Hiton Head Island,Beach,45013011300,+32.1398723,-080.7612122,32.1440876,-80.7574606
17406,Legendary Golf,Golf Course,45013011300,+32.1398723,-080.7612122,32.1443402,-80.7545343
17416,Hhi Beach Marker 65A,Beach,45013011200,+32.1514615,-080.7433783,32.1464343,-80.7403236
17420,Hilton Head N Forest Beach,Beach,45013011200,+32.1514615,-080.7433783,32.1475576,-80.7384099
17421,Sea Pines Forest Preserve,Park and Recreation Area,45013010200,+32.1519392,-080.7893447,32.1481872,-80.7879952
17422,Hilton Head Beach Club,Beach,45013010200,+32.1519392,-080.7893447,32.1482124,-80.7880492
