id,name,telephone,trauma,geoid,tract_latitude,tract_longitude,lat,lon
0006929425,MUSC MEDICAL CENTER,(843) 792-4000,"LEVEL I, LEVEL I PEDIATRIC",45019000600,+32.7850610,-079.9510689,32.7858820408023,-79.9479213584201
0000000032,MONCRIEF ARMY COMMUNITY HOSPITAL,NOT AVAILABLE,NOT AVAILABLE,45079011501,+34.0183763,-080.9374698,34.0119261340897,-80.9377899350257
0004429560,LAKE CITY COMMUNITY HOSPITAL,(843) 374-2036,NOT AVAILABLE,45041002201,+33.8669969,-079.7884800,33.880691586939,-79.760437812176
0006029556,WILLIAMSBURG REGIONAL HOSPITAL,(843) 355-8888,NOT AVAILABLE,45089970501,+33.6474741,-079.7149055,33.6600182921996,-79.8186000886459
0000629812,BARNWELL COUNTY HOSPITAL,(803) 259-1000,NOT AVAILABLE,45011970300,+33.2731810,-081.3721662,33.2555055563274,-81.3613162866468
0008929466,MOUNT PLEASANT HOSPITAL,(843) 724-2954,NOT AVAILABLE,45019004608,+32.8973520,-079.7890349,32.8778293053675,-79.7691314164416
0004029485,SUMMERVILLE MEDICAL CENTER,(843) 832-5000,NOT AVAILABLE,45035010813,+32.9767187,-080.1609388,32.9658778777382,-80.1576070938978
0007129204,PROVIDENCE HOSPITAL,(803) 256-5300,NOT AVAILABLE,45079001100,+34.0228440,-081.0031652,34.0141631438621,-81.0135355626773
0007729401,VIBRA HOSPITAL OF CHARLESTON,(843) 876-8340,NOT AVAILABLE,45019004606,+32.8232078,-079.8820580,32.8149016269573,-79.8557163804161
0005929650,CAROLINA CENTER FOR BEHAVIORAL HEALTH,(864) 235-2335,NOT AVAILABLE,45045002808,+34.8429987,-082.2609847,34.8648571149796,-82.2291579836539
0001629340,CHEROKEE MEDICAL CENTER,(864) 487-1500,NOT AVAILABLE,45021970302,+35.0992561,-081.6011090,35.0898792980671,-81.6343726731196
0006129615,PRISMA HEALTH PATEWOOD HOSPITAL,(864) 797-1000,NOT AVAILABLE,45045001808,+34.8451301,-082.3292341,34.8515134641771,-82.3276080863439
0009329646,GREENWOOD REGIONAL REHABILITATION HOSPITAL,(864) 330-1800,NOT AVAILABLE,45047970800,+34.1118770,-082.1861034,34.1694116596668,-82.1567953637515
0002629520,MCLEOD HEALTH CHERAW,(843) 320-3361,NOT AVAILABLE,45025950502,+34.7080062,-079.9249608,34.6945760509478,-79.9197537143026
