fac_id,fac_name,notes,mode_bus,mode_air,mode_rail,mode_ferry,mode_bike,GEOID,tract_latitude,tract_longitude,lat,lon
SC2902001,Amtrak Station,Served by Amtrak only. Greyhound station is about two blocks away.,0,0,1,0,0,45055970500,+34.2954753,-080.6158639,34.24735,-80.62616
SC2902002,,Served by Southeastern Stages,1,0,0,0,0,45055970800,+34.2226390,-080.5951484,34.2201,-80.5939
SC2904201,Amtrak Station,Served by Amtrak only.,0,0,1,0,0,45009960100,+33.3261599,-081.1667580,33.32614,-81.14315
SC2911501,,Served by Southeastern Stages,1,0,0,0,0,45075011500,+33.4846898,-080.9252551,33.4809,-80.8947
SC2915001,,Served by Southeastern Stages,1,0,0,0,0,45085001300,+33.9165836,-080.3525729,33.9169,-80.3393
SC2917001,Columbia Metropolitan,Central Midlands Regional Transit Authority serves Monday-Friday; rush hours only.,0,1,0,0,0,45063980100,+33.9404138,-081.1222612,33.93884,-81.11954
SC2920101,Amtrak Station,Served by Amtrak only.,0,0,1,0,0,45079002900,+33.9936414,-081.0372080,33.99372,-81.04057
SC2930301,Amtrak Station,Served by Amtrak only. Sparta bus passes 1 block from station but does not operate at train arrival and departure times.,0,0,1,0,0,45083021200,+34.9509248,-081.9167596,34.95377,-81.93574
SC2931601,Curbside bus stop in front of Quick Trip Gas Station,Served by MingAn,1,0,0,0,0,45083021802,+34.9970483,-081.9699542,35.0146,-81.9581
SC2933401,,Served by Greyhound Lines,1,0,0,0,0,45083023101,+34.9268573,-082.1335794,34.9161,-82.11
SC2940501,Amtrak Station,Charleston Area Regional Transit Authority bus routes are approximately two blocks away.,0,0,1,0,0,45019003300,+32.8846062,-080.0074054,32.87553,-79.9989
SC2940503,,Served by Southeastern Stages; Charleston Area Regional Transit Authority,1,0,0,0,0,45019003800,+32.8584017,-079.9999603,32.8531,-79.986
SC2941801,Charleston AFB/Intl,Served by Charleston Area Regional Transit Authority.,1,1,0,0,0,45019003200,+32.8989988,-080.0497394,32.89864,-80.04053
SC2942901,Ferry Dock,Served by Coastal Expeditions Garris Landing-Bull Island ferry.,0,0,0,1,0,45019005000,+33.0393507,-079.5734552,32.91322,-79.61527
SC2942902,Garris Landing,Served by Coastal Expeditions Garris Landing-Bull Island ferry.,0,0,0,1,0,45019005000,+33.0393507,-079.5734552,32.93784,-79.65492
SC2944001,,Served by Southeastern Stages,1,0,0,0,0,45043920600,+33.3933217,-079.3306841,33.3784,-79.297
SC2948302,Curbside bus stop in front of McDonalds,Served by Atlanta Tours,1,0,0,0,0,45015020714,+33.0273185,-080.1382363,33.0385,-80.1423
SC2950102,Greyhound Bus Station,Served by Southeastern Stages; Palmetto Breeze stop 3 blocks away,1,0,0,0,0,45041001000,+34.1911403,-079.7695503,34.188,-79.768
SC2950103,Curbside bus stop in front of McDonalds,Served by Atlanta Tours; PDRTA buses,1,0,0,0,0,45041000201,+34.1991944,-079.8244682,34.2277,-79.7985
SC2950601,Amtrak Station,Served by Amtrak. Pee Dee Transit bus stops about two blocks away on the other side of the McLeod Medical Center.,0,0,1,0,0,45041000700,+34.1875889,-079.7527189,34.19882,-79.7571
SC2950602,Florence Regional,No scheduled ground transportation.,0,1,0,0,0,45041980100,+34.1865644,-079.7259342,34.18536,-79.72389
SC2953601,Amtrak Station,Served by Amtrak only.,0,0,1,0,0,45033970300,+34.4536751,-079.4414521,34.41828,-79.37176
SC2953602,Lanes Northside Grocery,Served by Southeastern Stages,1,0,0,0,0,45033970300,+34.4536751,-079.4414521,34.4314,-79.36
SC2955601,Amtrak Station,Served by Amtrak only.,0,0,1,0,0,45089970600,+33.6990298,-079.8814089,33.66438,-79.82906
SC2957701,Myrtle Beach Intl,No scheduled ground transportation.,0,1,0,0,0,45051980100,+33.6782314,-078.9302466,33.67975,-78.92833
SC2957702,,Served by Greyhound Lines; Southeastern Stages; Waccamaw Regional Transit Authority,1,0,0,0,0,45051050700,+33.6888479,-078.8889817,33.6919,-78.885
SC2960101,Amtrak Station,Served by Amtrak. Greenville Transit Route 2/9 serves during non-rail hours.,0,0,1,0,0,45045000700,+34.8504139,-082.4126907,34.85656,-82.41419
SC2960701,Curbside bus stop in front of McDonalds Restaurants (Inters,Served by Golden Horse (Pandora Bus at 1116 Woodruff); Greenville Transit,1,0,0,0,0,45045001900,+34.8200676,-082.3474849,34.8315,-82.3069
SC2962101,,Served by Greyhound Lines,1,0,0,0,0,45007010500,+34.6393655,-082.5726968,34.6281,-82.6021
SC2963101,Amtrak Station,Served by Amtrak. Clemson Area Transit bus operates past station but not during rail service hours.,0,0,1,0,0,45077011204,+34.7401093,-082.8511800,34.69118,-82.83348
SC2965101,Greenville-Spartanburg Intl,No scheduled ground transportation.,0,1,0,0,0,45083023202,+34.9056795,-082.1772299,34.89567,-82.21886
SC2967001,Curbside bus stop in front of Raceway Gas Station (Interstat,Served by Golden Horse; Clemson Area Transit,1,0,0,0,0,45007010600,+34.6465816,-082.6814321,34.5774,-82.7128
SC2980101,,Served by Southeastern Stages; Best Friend Express bus stop 0.3 miles away,1,0,0,0,0,45003021300,+33.5673561,-081.7526423,33.5635,-81.724
SC2990201,,Served by Greyhound Lines; Near connection with Palmetto Breeze,1,0,0,0,0,45013000600,+32.4494075,-080.6875512,32.4423,-80.723
SC2991501,Ferry Dock,Several ferry services from Hilton Head.,0,0,0,1,0,45013002101,+32.1187058,-080.8611777,32.14565,-80.83739
SC2991502,Ferry Dock,Several ferry services from Hilton Head.,0,0,0,1,0,45013002101,+32.1187058,-080.8611777,32.13365,-80.86894
SC2992601,Hilton Head,No scheduled ground transportation.,0,1,0,0,0,45013010800,+32.2397676,-080.6876677,32.22436,-80.69747
SC2992602,Dafuskie Island Embarkation Center,Several ferry services to Hilton Head.,0,0,0,1,0,45013010500,+32.2217262,-080.7591761,32.22604,-80.75946
SC2992801,Ferry Dock,Several ferry services to Hilton Head.,0,0,0,1,0,45013010300,+32.1728039,-080.7602214,32.17539,-80.76669
SC2992802,Hilton Head Island,Several ferry services to Hilton Head.,0,0,0,1,0,45013010100,+32.1265422,-080.8133825,32.13829,-80.81155
