objectid,name,mail_phone,GEOID,tract_latitude,tract_longitude,lat,lon
9584,B & J Produce,8032454828,45009960200,+33.2528574,-080.9598246,33.303722,-81.0605
9585,Vance Farmers Market,8034923021,45075010300,+33.4385177,-080.4719225,33.442168,-80.421936
9588,Johns Island Farmers Market Chareston Collegiate School Campus,8438300866,45019002101,+32.7430103,-080.0840064,32.709194,-80.06504
9592,Allendale Open Air Market,8035844556,45005970400,+32.8745690,-081.3241455,32.9807319,-81.2687272
9594,Downtown Beaufort Farmers Market,(843)525-6162 OR (803)600-6049,45013000700,+32.4169450,-080.6897104,32.433228,-80.67861
9596,Four Seasons Produce Market,8438462777,45013000100,+32.5821594,-080.7263936,32.57233697,-80.74346734
9597,Moncks Corner Farmer's Market,8438994708,45015020506,+33.1834737,-079.9987130,33.1925269,-80.00321548
9598,Cross Community Center's Farmer's Market,8437532196,45015020101,+33.3435539,-080.1699561,33.363518,-80.19132
9599,Goose Creek Farmer's Market,8432248533,45015020804,+32.9757600,-080.0134479,32.97933,-80.02503
9601,Mount Pleasant Farmers Market,8438848517,45019004701,+32.7801651,-079.8675218,32.79136713,-79.87254835
9602,Charleston Farmers Market,8437247309,45019000700,+32.7893794,-079.9385460,32.787136,-79.93455
9603,Musc Farmers Market,8437929536,45019000600,+32.7850610,-079.9510689,32.785675,-79.946686
9604,James Island Presbyterian Church Fm Seeds Of Hope,843-795-3111,45019002002,+32.7340159,-079.9611767,32.717525,-79.964424
9605,King's Farm Market,8438693600,45019002300,+32.5734128,-080.3153210,32.581123,-80.334015
9606,Freshfields Village Green Farmers Market,8437686491,45019002105,+32.5750134,-080.1820452,32.606728,-80.14868
9610,St. George Farmers' Market,8435633032,45035010200,+33.1882779,-080.5663258,33.19376,-80.591576
9612,Jasper County Farmer's Market,(843)726-8127 or (843)717-3690,45053950202,+32.5364880,-080.8861724,32.4700522,-80.98781428
9613,Whittle Farm Market,8035339683,45075011800,+33.4920648,-081.1791302,33.493378,-81.269165
9614,Right Choice Fresh Start Farmer's Market,803-219-7009,45075011100,+33.5450483,-080.8457594,33.52709,-80.840004
9616,Otis Daise Sr. & Son Produce,8432636145,45013001102,+32.3630229,-080.5792222,32.35011,-80.61837
9621,North Charleston Farmers Market,8437405853,45019003600,+32.8778634,-079.9842690,32.8804352,-79.9860378
