name,phone,geoid,tract_latitude,tract_longitude,lat,lon
Lexington County CMHC Gaston/Swansea Clinic,803-755-2261,45063020802,+33.7720562,-081.0791953,33.7639976,-81.0926684
Three Rivers Residential Trt Services,803-791-9918,45063021034,+33.9579627,-081.1546493,33.970426,-81.136899
Lexington Cnty Comm Mental Health Ctr Adult Clinic/Emergency Services,803-359-3545,45063021031,+33.9906391,-081.2175275,34.000969,-81.2057503
Lexington Cnty Comm Mental Health Ctr Child/Adol and Family Services,803-359-7206,45063021031,+33.9906391,-081.2175275,34.0024688,-81.2069986
Prisma Health Baptist Columbia Behavioral Care Services,803-296-5010,45079003100,+34.0078902,-081.0307786,34.00747,-81.034085
University of South Carolina Psychology Services Center,803-777-7302,45079000700,+34.0177977,-081.0406649,34.0148021,-81.036257
Columbia Area Mental Health Center Adult Clinic Services,803-898-0123,45079003100,+34.0078902,-081.0307786,34.0092406,-81.0224976
Columbia Area Mental Health Center Mental Health Court,803-898-1555,45079000700,+34.0177977,-081.0406649,34.021781,-81.032365
Columbia Area Mental Health Center Behavioral Therapy Program,803-898-4800,45079000700,+34.0177977,-081.0406649,34.0236535,-81.0338695
Columbia Area Mental Health Center Child and Adolescent,803-898-4800,45079000700,+34.0177977,-081.0406649,34.0236535,-81.0338695
Columbia Area Mental Health Center Adult Intensive Services,803-898-4850,45079000700,+34.0177977,-081.0406649,34.023921,-81.03422
William Jennings Bryan Dorn VAMC Mental Health,803-776-4000 x6823,45079011604,+33.9704856,-080.9678395,33.9753554,-80.959607
Columbia Area Mental Health Center Lower Richland Office,803-783-0303,45079011607,+33.9539740,-080.9388575,33.9504443,-80.9293883
Bryan Psychiatric Hospital Hall Inst Child and Adolescent Services,803-898-1662,45079010806,+34.0911355,-080.9836596,34.0823923,-80.9960791
G Werber Bryan Psychiatric Hospital,803-935-7143,45079010806,+34.0911355,-080.9836596,34.0853196,-80.9829534
Columbia Area Mental Health Center Insights Young Adult Program,803-898-0200,45079010805,+34.0827631,-080.9672053,34.081948,-80.962477
Lexington Cnty Comm Mental Health Ctr Batesburg/Leesville Clinic,803-532-8414,45063021402,+33.9067406,-081.5379320,33.9129546,-81.5299335
Orangeburg Area Mental Health Center Calhoun County Clinic,803-874-2301,45017950200,+33.6883735,-080.8061167,33.6756666,-80.7638325
Orangeburg Area Mental Health Center,803-536-1571,45075011000,+33.5254269,-080.8599676,33.5301367,-80.8501904
William Jennings Bryan Dorn VAMC Orangeburg County Clinic,803-533-1335,45075011000,+33.5254269,-080.8599676,33.5232386,-80.8578006
Bamberg County Clinic,803-793-4274,45009960100,+33.3261599,-081.1667580,33.323491,-81.142446
Fairfield County Clinic Adult and Child/Adol/Family Servs,803-737-3039,45039960400,+34.3646209,-081.0494245,34.3534791,-81.0927587
Charlie Norwood VAMC Aiken CBOC,706-733-0188,45003021203,+33.4860371,-081.7256873,33.5208428,-81.7200217
Aiken/Barnwell Mental Health Center,803-641-7700,45003021300,+33.5673561,-081.7526423,33.5648102,-81.77353
Beckman Center for Mental Health Newberry Clinic,803-276-8000,45071950202,+34.2795093,-081.5635938,34.291536,-81.6084469
Aiken/Barnwell Mental Health Center The Polly Best Center,803-259-7170,45011970300,+33.2731810,-081.3721662,33.256606,-81.3592551
Santee/Wateree Mental Health Center Kershaw County Mental Health Clinic,803-432-5323,45055970500,+34.2954753,-080.6158639,34.27694,-80.612137
Beckman Center for Mental Health Edgefield Clinic,803-637-5788,45037970202,+33.8472526,-081.9454445,33.7789656,-81.9296959
Santee/Wateree Mental Health Center Individual Placement and Support (IPS),803-775-9364,45085000901,+33.9483910,-080.3732220,33.9497555,-80.3810446
Santee/Wateree Mental Health Center Sumter Clinic,803-934-4371,45085000901,+33.9483910,-080.3732220,33.955297,-80.367379
William Jennings Bryan Dorn VAMC Sumter County Clinic,803-938-9901,45085002000,+33.9296368,-080.3508768,33.9293956,-80.3504216
Aiken/Barnwell Mental Health Center Hartzog Center,803-278-0880,45003020701,+33.5232476,-081.9710806,33.5092227,-81.9721891
Santee/Wateree Mental Health Center Clarendon County Clinic,803-435-2124,45027960500,+33.7032431,-080.2749535,33.69651,-80.225491
Orangeburg County Mental Health Holly Hill Mental Health Clinic,803-496-3410 x125,45075010200,+33.3204311,-080.3922399,33.3253459,-80.4202423
Coastal Empire Community MH Ctr Allendale County Mental Health Clinic,803-584-4636,45005970200,+33.0356436,-081.4486751,33.029826,-81.314131
