npi,basic_organization_name,hours_of_operation,medicaid_id,addresses_telephone_number,geoid,tract_latitude,tract_longitude,lat,lon
1003051129,FCRX SC INC,,710438,803-981-5330,45091060907,+34.9949457,-081.0157575,34.975613,-81.04371
1003152810,WAL-MART STORES EAST LP,,714357,864-655-6425,45045002504,+34.9441768,-082.2341056,34.94545,-82.24871
1003233925,HARTSVILLE DRUG CO. INC.,,715235,843-292-9783,45041000202,+34.1653321,-079.8327347,34.171,-79.83186
1003262809,THE KROGER CO,,716690,803-234-7150,45079010900,+34.0429092,-081.0163613,34.0416738,-81.0254176
1003287632,WAL-MART STORES EAST LP,,716459,803-228-6130,45091061101,+35.0203157,-080.9347880,35.0075293,-80.93079483
1003371386,TANDEM HEALTH SC,,7Z1016,803-774-4579,45085000800,+33.9535614,-080.3493350,33.94911457,-80.35649154
1003819673,DAP INC,,722400,843-681-2622,45013010600,+32.2452931,-080.7347150,32.215725,-80.723625
1003821190,WALGREEN CO,,715761,803-787-2527,45079002400,+34.0016746,-080.9684233,33.991726,-80.97707
1003833260,WAL-MART STORES EAST LP,,727297,843-423-9411,45067950600,+34.1309919,-079.3264614,34.18481171,-79.34479998
1003856444,PUBLIX SUPER MARKETS INC,,745115,803-407-0923,45063021111,+34.0661938,-081.1554643,34.066395,-81.16949
1003876244,RILEYS DRUGS INC,,717083,803-359-2587,45063021029,+33.9709573,-081.2466290,33.98331,-81.258934
1003919598,SOUTH CAROLINA CVS PHARMACY LLC,,742008,803-285-8491,45057010500,+34.6924242,-080.8004274,34.691196,-80.788536
1003919796,SOUTH CAROLINA CVS PHARMACY LLC,,711471,843-662-3740,45041000500,+34.1727846,-079.6571958,34.196926,-79.70413
1013004217,"MEDICINE MART COLUMBIA, INC.",,767123,803-231-2003,45079002500,+33.9934982,-080.9938435,33.98785,-80.98966
1013010552,SOUTH CAROLINA CVS PHARMACY LLC,,711507,803-798-4460,45079010411,+34.0430439,-081.1062233,34.04902,-81.10466
1013010875,SOUTH CAROLINA CVS PHARMACY LLC,,745161,803-469-7150,45085000902,+33.9307112,-080.3812259,33.937443,-80.383446
1013010883,SOUTH CAROLINA CVS PHARMACY LLC,,742646,864-882-6706,45073030602,+34.7786328,-082.9168907,34.70079,-82.937744
1013011410,WALGREEN CO,,715812,803-531-2079,45075011300,+33.4824862,-080.8596624,33.48644,-80.863174
1013264670,WALGREEN CO,,715808,843-232-0091,45051051403,+33.6517690,-078.9651225,33.630802,-78.96324
1013428176,LONGS DRUGSTORES OF SC INC,,717528,843-996-1496,45019002613,+32.8200495,-080.0433739,32.809387,-80.03027
1013468404,HUMANA PHARMACY INC,,716916,864-332-3101,45007001100,+34.5418110,-082.6594195,34.543526,-82.631256
1013922962,INGLES MARKETS INC,,761285,864-433-0422,45083023403,+34.8840778,-082.0792475,34.88881,-82.07156
1013934272,WAL-MART STORES EAST LP,,724842,803-425-1691,45055970500,+34.2954753,-080.6158639,34.252314,-80.6500855
1013972108,F.M. LINDER & SON LLC,,732716,843-549-7222,45029970500,+32.9053462,-080.6718142,32.9026612,-80.66387321
1023058468,PUBLIX SUPER MARKETS INC,,730147,843-689-2276,45013010400,+32.1985315,-080.7550507,32.209423,-80.72346
1023104890,PUBLIX SUPER MARKETS INC,,791282,843-832-4247,45035010605,+33.0070153,-080.2180399,33.01280486,-80.2351408
1023111887,SOUTH CAROLINA CVS PHARMACY LLC,,741870,803-328-6111,45091060700,+34.9606397,-081.0380086,34.94551025,-81.02928118
1023111895,SOUTH CAROLINA CVS PHARMACY LLC,,745308,803-432-5103,45055970500,+34.2954753,-080.6158639,34.27577,-80.60946
1023176658,"ELGIN PHARMACY, INC.",,72037D,803-438-5735,45055970903,+34.1746939,-080.8163615,34.1694282,-80.7944228
1033118757,COMMUNITY PHARMACY OF CHESTER LLC,,765740,803-581-2102,45023020200,+34.7003242,-081.2195686,34.703568,-81.211205
1033122635,WALGREEN CO,,715769,803-749-3046,45079010308,+34.1264858,-081.1762180,34.097927,-81.166176
1033136205,SAMS EAST INC,,782095,864-595-2661,45083021902,+34.9240100,-082.0181976,34.934826,-81.99983
1033212527,SOUTH CAROLINA CVS PHARMACY LLC,,711316,843-881-1725,45019004701,+32.7801651,-079.8675218,32.79018,-79.85235
1033267695,T & B INC,,744430,843-395-6020,45031011100,+34.3032610,-079.8702831,34.30112,-79.86984
1033291513,SOUTH CAROLINA ONCOLOGY ASSOCIATES PA,,779872,803-461-3709,45079010403,+34.0221797,-081.0849436,34.01483,-81.07479
1033633730,WALGREEN CO,,717712,864-474-1145,45083023900,+34.8869316,-081.7864815,34.897804,-81.76399
1033635933,WALGREEN CO,,717682,864-472-3540,45083022900,+35.0471492,-082.0859382,35.04003783,-82.07760928
1033641121,BANKS DRUG LTC LLC,,71716D,803-233-3557,45081960400,+33.8896333,-081.6851220,33.84734481,-81.66082358
1033739024,MARUTI SQUARE INC.,,7Z1114,843-799-1211,45041000600,+34.1546745,-079.7528863,34.16015,-79.75547
1043279789,"INTRAMED PLUS, INC.",,740306,843-763-2080,45019003111,+32.8740625,-080.0295600,32.881405,-80.01567
1043313711,SOUTH CAROLINA CVS PHARMACY LLC,,741868,864-879-7146,45045002604,+34.9153567,-082.2848315,34.936367,-82.27475
1043313810,SOUTH CAROLINA CVS PHARMACY LLC,,742715,864-472-2831,45083022900,+35.0471492,-082.0859382,35.03829,-82.07754
1043365703,SOUTH CAROLINA DEPARTMENT OF MENTAL HEALTH,,717835,803-737-5339,45079001000,+34.0186611,-081.0204553,34.018543,-81.024666
1043394299,LITTLE RIVER MEDICAL CENTER PHARMACY,,760725,843-663-8099,45051040104,+33.8868648,-078.6108585,33.88302,-78.599335
1043394315,FAMILY HEALTH CENTER PHARMACY,,717892,803-531-6900,45075011100,+33.5450483,-080.8457594,33.52709,-80.840004
1043509045,SOUTH CAROLINA CVS PHARMACY LLC,,713286,803-951-0786,45063021023,+33.9674472,-081.3124924,33.979862,-81.30227
1043517329,"PRESCRIPTIONS PLUS PHARMACY, LLC",,713407,704-867-3518,45021970201,+35.0819573,-081.7015857,35.10078,-81.67644
1043641020,HARRIS TEETER LLC,,715182,843-875-2528,45035010816,+32.9515227,-080.1346558,32.93720051,-80.14006998
1043858996,M HOLDINGS LLC,,7Z1068,803-467-4350,45063021022,+34.0017338,-081.3138256,33.99431954,-81.30564757
1053322628,UNION FAMILY PHARMACY LLC,,774265,864-427-3700,45087030100,+34.7276446,-081.6274414,34.719193,-81.63787
1053345785,THE KROGER CO,,749842,843-236-4296,45051060209,+33.7718668,-078.9473766,33.76001,-78.96756
1053393710,"STO-PHAR,INC",,724517,803-773-7283,45085001300,+33.9165836,-080.3525729,33.920475,-80.34274
1053402891,"KASH & KARRY PHARMACY, LLC",,718750,864-232-6711,45045000900,+34.8607575,-082.4098233,34.8617955,-82.4068813
1053414722,SOUTH CAROLINA CVS PHARMACY LLC,,742668,843-672-2420,45025950102,+34.7764444,-080.3532142,34.776215,-80.382965
1053475566,"LOW COUNTRY HEALTH CARE SYSTEM, INC",,751105,803-632-2533,45005970400,+32.8745690,-081.3241455,32.96691595,-81.24994717
1053594812,WALGREEN CO,,715817,803-980-0095,45091060907,+34.9949457,-081.0157575,34.976437,-81.00615
1053595074,WALGREEN CO,,715833,864-582-5822,45083022003,+34.8926326,-081.9215040,34.921345,-81.88732
1053782615,WAL-MART STORES EAST LP,,716322,864-757-7207,45045003015,+34.6851224,-082.2888109,34.72304,-82.29516
1053788638,RPVR CORPORATION,,716145,864-442-5192,45077010801,+34.8349715,-082.6269605,34.840153,-82.605995
1063434702,SOUTH CAROLINA CVS PHARMACY LLC,,716298,864-224-3972,45007001000,+34.5398822,-082.6812250,34.549686,-82.67464
1063434710,SOUTH CAROLINA CVS PHARMACY LLC,,716312,864-963-4406,45045003013,+34.6976980,-082.2623275,34.705093,-82.25791
1063515740,SOUTH CAROLINA CVS PHARMACY LLC,,741220,803-286-8421,45057010700,+34.7180813,-080.7600821,34.73195932,-80.76549852
1063581304,RANDY B BOLAND,,728997,803-829-2547,45075010500,+33.3425627,-080.6643583,33.34838,-80.68196
1063651941,WALGREEN CO,,71575D,864-984-5283,45059920302,+34.4434477,-081.9881019,34.49403776,-81.98590857
1063695823,WALGREEN CO,,71582D,803-684-3358,45091061602,+34.9921871,-081.2207561,34.9872949,-81.21121687
1063790947,SOUTH CAROLINA CVS PHARMACY LLC,,713488,864-370-4848,45045000200,+34.8478319,-082.3974862,34.85084243,-82.39902371
1063876084,LOW COUNTRY HEALTH CARE SYSTEM,,716450,803-259-5762,45011970300,+33.2731810,-081.3721662,33.255436,-81.36295
1063905552,WALGREEN CO,,7Z1042,803-772-4809,45019001000,+32.7919285,-079.9443325,32.78866,-79.94659
1063914372,HARRIS TEETER LLC,,717992,513-762-1019,45045001501,+34.8195180,-082.3970924,34.82838,-82.39922
1063915643,HUB CITY PHARMACY LLC,,717852,816-699-1889,45083022007,+34.9036817,-081.9662257,34.922817,-81.983475
1073038691,WALGREEN CO,,717739,803-788-3728,45079011304,+34.0638032,-080.9420083,34.053932,-80.94694
1073146502,GREENVILLE HEALTH CORPORATION,,7Z1076,803-774-8772,45085001300,+33.9165836,-080.3525729,33.9239487,-80.34281008
1073530226,WAL-MART STORES EAST LP,,724181,864-529-0379,45083021303,+34.9613348,-081.8731163,34.97453906,-81.87800936
1073616413,SOUTH CAROLINA CVS PHARMACY LLC,,743025,803-796-3116,45063020300,+33.9896272,-081.0628508,33.98502,-81.05637
1073616751,SOUTH CAROLINA CVS PHARMACY LLC,,742065,864-369-2822,45007011500,+34.4662024,-082.4055574,34.445885,-82.38808
1073789111,INGLES MARKETS INC,,799367,864-573-9408,45083021402,+35.0164539,-081.9222548,35.027615,-81.89604
1073917043,ST FRANCIS HOSPITAL INC,,715430,864-603-6392,45045002811,+34.8066326,-082.3037438,34.804966,-82.317635
1083139745,WALGREEN CO,,71774D,803-955-2302,45063020703,+33.9136144,-081.1464299,33.91433,-81.13343
1083171185,MEDICAL UNIVERSITY HOSPITAL AUTHORITY,,7Z1019,843-876-0199,45019003111,+32.8740625,-080.0295600,32.8797879,-80.0112348
1083619464,"ORANGE CUT RATE DRUG STORE, INC",,705974,803-534-5931,45075011300,+33.4824862,-080.8596624,33.489285,-80.864746
1083631238,WAL-MART STORES EAST LP,,723324,843-537-2741,45025950502,+34.7080062,-079.9249608,34.699165,-79.93213
1083632822,WAL-MART STORES EAST LP,,776207,864-639-5665,45077011102,+34.7109098,-082.7563613,34.70797,-82.75998
1083632889,WAL-MART STORES EAST LP,,725790,803-581-3096,45023020100,+34.7072992,-081.1976304,34.69703,-81.19205
1083675391,TIMMONSVILLE DRUG INC,,746837,843-346-5410,45041002600,+34.0956922,-079.9204399,34.13489494,-79.93766317
1083711584,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",,710740,843-651-8975,45043920501,+33.5608845,-079.0419987,33.56972972,-79.03514097
1083717763,SOUTH CAROLINA CVS PHARMACY LLC,,711297,864-255-3878,45045004200,+34.8345704,-082.3904774,34.82587729,-82.39433791
1083727630,HUBBARD YOUNG PHARMACY INC,,716906,864-654-1771,45077011205,+34.6834674,-082.8345660,34.687065,-82.835724
1083801286,IRMO DRUG INC,,796433,803-749-7485,45063021112,+34.0793287,-081.1703013,34.089394,-81.1748
1083964829,PUBLIX SUPER MARKETS INC,,714207,803-548-7917,45091061005,+35.0499459,-080.9660887,35.061466,-80.96521
1093018228,SOUTH CAROLINA CVS PHARMACY LLC,,711283,864-476-0463,45083023600,+34.7198669,-082.0268573,34.748653,-82.04573
1093064172,FAMILY PHARMACY LLC,,714098,864-543-2852,45047970702,+34.1649441,-082.0235799,34.17851739,-82.02349555
1093141970,CLINTON DISCOUNT PHARMACY LLC,,714833,864-387-7151,45059920600,+34.5100227,-081.7986227,34.47583794,-81.8807613
1093720161,WALGREEN CO,,715823,803-773-7302,45085000901,+33.9483910,-080.3732220,33.94524,-80.37259
1093720187,WALGREEN CO,,715776,803-358-0612,45063021017,+33.9403109,-081.1950024,33.944775,-81.16911
1093732257,WAL-MART STORES EAST LP,,738768,803-808-3747,45063021032,+34.0104257,-081.2150799,33.99559,-81.223976
1093755431,PUBLIX SUPER MARKETS INC,,772916,803-407-0436,45079010309,+34.1136634,-081.1410202,34.096,-81.15957
1093812596,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",,710821,864-240-7421,45045003802,+34.9136194,-082.4167711,34.90344,-82.38851
1093942906,WAL-MART STORES EAST LP,,710529,803-781-7877,45079010306,+34.1347747,-081.2648753,34.1261,-81.228714
1093988214,WALGREEN CO.,,715729,803-593-5506,45003021002,+33.5044854,-081.9155699,33.504032,-81.90023
1104069707,MEDS & MORE LLC,,710357,843-756-4664,45051020200,+34.0490659,-078.8433664,34.057274,-78.89246
1104114388,WALGREEN CO,,715792,864-295-2029,45007010103,+34.7838001,-082.5142370,34.788635,-82.48269
1104275403,SANDHILLS MEDICAL FOUNDATION,,716616,843-335-8291,45025950800,+34.4978789,-080.2561591,34.462074,-80.25917
1104343623,WALGREEN CO,,717731,843-347-7617,45051060406,+33.7513210,-079.0028446,33.764824,-79.01989
1104458173,GOVINDA LLC,,7Z1071,864-515-2600,45083022406,+35.0323381,-081.9747638,35.030403,-81.967896
1104831056,INGLES MARKETS INC,,760020,864-578-6243,45083021803,+35.0125503,-082.0030763,35.00352367,-82.00392429
1104843366,WAL-MART STORES EAST LP,,724831,864-427-6114,45087030200,+34.7080486,-081.6317056,34.704384,-81.63276
1104883107,FOWLER PHARMACY INC,,700994,843-479-3831,45069960301,+34.6238660,-079.6508936,34.61972779,-79.68372116
1104902147,SOUTH CAROLINA DEPTARTMENT OF MENTAL HEALTH,,719550,864-231-2676,45007011300,+34.4693731,-082.5413588,34.479343,-82.568375
1104913300,MARLBORO DRUG COMPANY,,718271,843-479-4248,45069960301,+34.6238660,-079.6508936,34.61917108,-79.68386721
1104924141,PIGGLY WIGGLY OF WESTMART INC,,727867,803-773-6378,45085000901,+33.9483910,-080.3732220,33.94596,-80.37301
1104929975,SOUTH CAROLINA CVS PHARMACY LLC,,741824,864-879-2146,45083023301,+34.9600128,-082.2129522,34.962532,-82.21064
1104994938,PH & F INC,,715392,803-684-9096,45091061602,+34.9921871,-081.2207561,34.984962,-81.218666
1114020971,SOUTH CAROLINA CVS PHARMACY LLC,,742021,864-296-9734,45007000700,+34.4939131,-082.6616905,34.47525385,-82.65302977
1114020989,SOUTH CAROLINA CVS PHARMACY LLC,,743561,803-943-4446,45049920200,+32.8590563,-081.0106074,32.871162,-81.11499
1114108735,BANKS PHARMACY,,797882,803-637-5757,45037970202,+33.8472526,-081.9454445,33.77776,-81.930954
1114114501,TANDEM HEALTH SC,,796147,803-774-4579,45085000800,+33.9535614,-080.3493350,33.94397234,-80.3428888
1114152204,"SOUTH CAROLINA CVS PHARMACY, L.L.C.",,710440,843-414-0710,45019003115,+32.9798853,-080.0611887,32.974834,-80.06068
1114203973,WALGREEN CO,,715787,843-856-2491,45019004608,+32.8973520,-079.7890349,32.85939386,-79.79468984
