libid,libname,phone,hours,GEOID,tract_latitude,tract_longitude,lat,lon
SC0002-017,ABBE REGIONAL LIBRARY BOOKMOBILE,8036427575,2470,45003021300,+33.5673561,-081.7526423,33.5562,-81.7215
SC0002-003,AIKEN COUNTY PUBLIC LIBRARY,8036422022,2713,45003021300,+33.5673561,-081.7526423,33.5562,-81.7215
SC0002-004,BAMBERG COUNTY PUBLIC LIBRARY,8032453022,2393,45009960200,+33.2528574,-080.9598246,33.28715,-80.9868
SC0002-005,BARNWELL COUNTY PUBLIC LIBRARY,8032593612,2373,45011970300,+33.2731810,-081.3721662,33.24313,-81.364
SC0002-006,EDGEFIELD COUNTY PUBLIC LIBRARY,8036374025,2425,45037970202,+33.8472526,-081.9454445,33.78942,-81.9292
SC0002-007,NANCY CARSON LIBRARY,8032795767,2597,45003020702,+33.5019859,-081.9498430,33.52342,-81.953
SC0002-008,BLACKVILLE LIBRARY,8032842295,1228,45011970200,+33.3685118,-081.2762976,33.35692,-81.2706
SC0002-009,DENMARK LIBRARY,8037934511,870,45009960100,+33.3261599,-081.1667580,33.32036,-81.1429
SC0002-010,MOBLEY (JOHNSTON) BRANCH,8032755157,878,45037970300,+33.7963576,-081.7706297,33.83135,-81.8016
SC0002-011,NEW ELLENTON LIBRARY,8036527845,949,45003022001,+33.4469771,-081.6399794,33.42033,-81.6828
SC0002-012,TRENTON BRANCH LIBRARY,8032752538,480,45037970400,+33.7032284,-081.8705262,33.74102,-81.8425
SC0002-013,NANCY BONNETTE BRANCH,8035645396,1380,45003021700,+33.6526535,-081.4246323,33.64996,-81.3586
SC0002-014,WILLISTON LIBRARY,8032663027,1363,45011970100,+33.3910823,-081.3942081,33.40333,-81.4189
SC0002-015,JACKSON BRANCH LIBRARY,8034713811,911,45003022100,+33.3147374,-081.8384557,33.32518,-81.788
SC0002-016,MIDLAND VALLEY BRANCH LIBRARY,8035937379,996,45003021001,+33.5096425,-081.8696608,33.51411,-81.8485
SC0003-002,ALLENDALE HAMPTON JASPER REGIONAL LIBRARY,8035843513,2288,45005970200,+33.0356436,-081.4486751,33.00944,-81.3072
SC0003-004,HAMPTON COUNTY LIBRARY,8039437528,2184,45049920200,+32.8590563,-081.0106074,32.86478,-81.1113
SC0003-005,PRATT MEMORIAL LIBRARY,8437267744,1924,45053950202,+32.5364880,-080.8861724,32.48138,-80.9783
SC0003-006,HARDEEVILLE PUBLIC LIBRARY,8437843426,1976,45053950300,+32.2481288,-081.0599775,32.28534,-81.0787
SC0003-007,AHJ LIBRARY ANNEX - BOOKMOBILE,8039432994,1250,45049920200,+32.8590563,-081.0106074,32.86404,-81.1103
SC0003-009,ESTILL PUBLIC LIBRARY,8036254560,600,45049920400,+32.7786383,-081.2056929,32.75363,-81.237
SC0004-002,ANDERSON COUNTY LIBRARY,8642604500,3640,45007012300,+34.5134656,-082.6052554,34.50561,-82.649
SC0004-003,JENNIE ERWIN BRANCH LIBRARY,8643697751,2392,45007011500,+34.4662024,-082.4055574,34.44906,-82.3938
SC0004-004,BELTON BRANCH LIBRARY,8643388330,2392,45007011401,+34.5142174,-082.5030071,34.52287,-82.4948
SC0004-005,LANDER MEMORIAL REGIONAL LIBRARY,8648475238,2730,45007010401,+34.6216670,-082.4858460,34.63035,-82.4689
SC0004-006,PENDLETON BRANCH LIBRARY,8646463923,2730,45007010700,+34.6422416,-082.7791119,34.64281,-82.7823
SC0004-007,POWDERSVILLE BRANCH LIBRARY,8642951190,2730,45007010103,+34.7838001,-082.5142370,34.77533,-82.4891
SC0004-008,PIEDMONT BRANCH LIBRARY,8648456534,2392,45007010200,+34.7136393,-082.4741527,34.70567,-82.4867
SC0004-009,IVA BRANCH LIBRARY,8643486150,2392,45007011700,+34.3109700,-082.6793835,34.3043,-82.6664
SC0004-011,ANDERSON COUNTY LIBRARY BOOKMOBILE,8642604500,672,45007012300,+34.5134656,-082.6052554,34.50561,-82.649
SC0004-012,WESTSIDE COMMUNITY CENTER BRANCH,8642604460,1950,45007000700,+34.4939131,-082.6616905,34.49576,-82.6645
SC0005-002,BEAUFORT COUNTY LIBRARY,8432556430,2370,45013000700,+32.4169450,-080.6897104,32.43193,-80.6708
SC0005-003,BLUFFTON BRANCH LIBRARY,8432556490,2370,45013002107,+32.2608068,-080.8659839,32.24213,-80.8569
SC0005-004,HILTON HEAD ISLAND LIBRARY,8432556500,2370,45013010700,+32.2572090,-080.7106039,32.21854,-80.7123
SC0005-006,LOBECO BRANCH LIBRARY,8432556475,2080,45013000100,+32.5821594,-080.7263936,32.55551,-80.7447
SC0005-007,SAINT HELENA BRANCH LIBRARY,8432556486,2080,45013001102,+32.3630229,-080.5792222,32.40035,-80.561
SC0005-009,BEAUFORT COUNTY LIBRARY BOOKMOBILE,8432556547,1470,45013000700,+32.4169450,-080.6897104,32.43193,-80.6708
SC0006-002,BERKELEY COUNTY LIBRARY: HANAHAN,8435530047,2600,45019003104,+32.9290256,-080.0392057,32.92819,-80.0346
SC0006-005,BERKELEY COUNTY LIBRARY: ST. STEPHEN,8435674862,2496,45015020201,+33.3806007,-079.8905635,33.40074,-79.924
SC0006-006,BERKELEY COUNTY LIBRARY: GOOSE CREEK,8435721376,2912,45015020707,+33.0619117,-080.0440881,33.02017,-80.0426
SC0006-007,BERKELEY COUNTY LIBRARY: MONCKS CORNER,8437194243,2912,45015020506,+33.1834737,-079.9987130,33.18704,-80.0008
SC0006-008,BERKELEY COUNTY LIBRARY: DANIEL ISLAND,8434712952,2496,45015020403,+32.8630475,-079.9189550,32.85086,-79.9091
SC0006-009,BERKELEY COUNTY LIBRARY: SANGAREE,8436951208,2496,45015020715,+33.0374732,-080.1221350,33.02982,-80.1214
SC0006-010,BERKELEY COUNTY LIBRARY BOOKMOBILE,8437194247,2000,45015020506,+33.1834737,-079.9987130,33.19445,-80.0093
