ncessch,leaid,leanm05,schnam05,geoid,tract_latitude,tract_longitude,lat,lon
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,LEATH WOMEN`S CORRECTIONAL INSTITUTION,45047970201,+34.2624686,-082.1268673,34.25251,-82.14137
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,LEE CORRECTIONAL INSTITUTE,45061920302,+34.1505544,-080.2166106,34.20558,-80.22784
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,TRENTON CORRECTIONAL INSTITUTION,45037970400,+33.7032284,-081.8705262,33.71993,-81.84903
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,TURBEVILLE CORRECTIONAL INSTITUTION,45027960100,+33.8770296,-079.9705469,33.8782,-79.9952
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,TYGER RIVER CORRECTIONAL,45083023802,+34.7826575,-081.8721797,34.71306,-81.82592
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,STEVENSON CORRECTIONAL INSTITUTION,45079010408,+34.0695655,-081.0984227,34.06829,-81.11814
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,EVANS CORRECTIONAL INSTITUTION,45069960200,+34.5638971,-079.7572819,34.6248,-79.69145
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,RIDGELAND CORRECTIONAL INSTITUTION,45079003100,+34.0078902,-081.0307786,34.00135,-81.03361
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,KERSHAW CORRECTIONAL INSTITUTION,45057010200,+34.5820726,-080.5578749,34.60541,-80.54088
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,MANNING CORRECTIONAL INSTITUTION,45079010806,+34.0911355,-080.9836596,34.08068,-80.9795
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,MACDOUGALL YOUTH CORRECTIONAL CENTER,45015020102,+33.1909851,-080.2731373,33.17039,-80.29526
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,GRAHAM CORRECTIONAL INSTITUTION,45079010408,+34.0695655,-081.0984227,34.06671,-81.11713
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,KIRKLAND CORRECTIONAL INST,45079010408,+34.0695655,-081.0984227,34.06625255,-81.11518633
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,MCCORMICK CORRECTIONAL INSTITUTION,45065920200,+33.9241259,-082.2468990,33.9133,-82.2915
4.5e+11,4500001,PALMETTO UNIFIED DISTRICT,WATEREE RIVER CORRECTIONAL INSTITUTION,45085000100,+34.0878288,-080.5369525,34.08857,-80.56926
