name,phone,treatment_facility,detoxification,transitional_housing,geoid,tract_latitude,tract_longitude,lat,lon
LRADAC Outpatient,803-726-9400,1,1,,45063021009,+33.9061845,-081.2781687,33.9538874,-81.2345735
LRC Substance Abuse and Behavioral Programs,803-740-9298,1,,,45063021030,+33.9818300,-081.2111492,33.9771056,-81.2355978
Columbia Metro Treatment Center Metro Treatment of South Carolina LP,803-791-9422,1,1,,45063020505,+33.9923387,-081.0921352,33.9850073,-81.1061052
Bright Side Counseling Center,888-796-1117,1,,,45063021014,+34.0271617,-081.1847195,34.0029374,-81.2026938
Three Rivers Behavioral Health,803-796-9911,1,1,,45063020506,+34.0140354,-081.1321082,34.00601265,-81.12068828
Pain Medicine Specialists,803-791-9200,1,,,45063020506,+34.0140354,-081.1321082,34.0083436,-81.130962
Lexington Treatment Specialists,803-719-4050,1,,,45063020506,+34.0140354,-081.1321082,34.0136444,-81.1343016
Crossroads Treatment Ctr of Columbia,803-733-5855,1,,,45079011701,+33.9462907,-081.0037285,33.9665676,-81.0104618
Prisma Health Behavioral Health Day Treatment CDIOP,803-296-8765 x4,1,,,45079010403,+34.0221797,-081.0849436,34.0165425,-81.085555
LRADAC Outpatient and Withdrawal Management,803-726-9300,1,1,,45079000700,+34.0177977,-081.0406649,34.0222118,-81.0327391
William Jennings Bryan Dorn Veterans Affairs Medical Center,803-776-4000 x7980,1,1,,45079011604,+33.9704856,-080.9678395,33.9768636,-80.9616678
Prisma Health Richland Springs,803-434-4800,1,1,,45079000500,+34.0325295,-081.0314226,34.0298821,-81.034154
Insights Educational and Treatment Services,803-750-8444,1,,,45079010407,+34.0504530,-081.0900867,34.0515907,-81.1015549
Columbia Teen Challenge,803-834-5236,1,,1,45079011606,+33.9661291,-080.9005535,33.9844098,-80.8948255
William S Hall Psychiatric Institute Adolescent Recovery Program,803-898-1662,1,,,45079010806,+34.0911355,-080.9836596,34.0823923,-80.9960791
Morris Village,803-935-7100,1,1,,45079010806,+34.0911355,-080.9836596,34.08419783,-80.99126986
William J McCord Adolescent Treatment Facility,803-534-2328,1,1,,45075011100,+33.5450483,-080.8457594,33.535231,-80.82061
Tri County Commission on Alcohol and Drug Abuse,803-536-4900,1,,,45075011100,+33.5450483,-080.8457594,33.533726,-80.820246
Fairfield Behavioral Health Services,803-635-2335 x19,1,,,45039960400,+34.3646209,-081.0494245,34.367678,-81.1004727
Waypoint Recovery Center Residential Location,854-444-5200,1,,,45075010700,+33.4951109,-080.7397468,33.4791285,-80.6812494
