cleanup_name,epa_id,superfund_id,frs,GEOID,tract_latitude,tract_longitude,lat,lon
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),SCD058754789,0403310,110000618779,45083023202,+34.9056795,-082.1772299,34.9328,-82.1725
BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),SCD000447268,0403207,110009262270,45045003101,+34.7043385,-082.2045941,34.697296,-82.20797
BREWER GOLD CO,SCD987577913,0405550,110038791260,45025950200,+34.6454671,-080.3337693,34.65007,-80.39183
BURLINGTON INDUSTRIES CHERAW,SCN000404896,0404896,110070058379,45025950502,+34.7080062,-079.9249608,34.696617,-79.92253
"CAROLAWN, INC.",SCD980558316,0403388,110009310897,45023020800,+34.7511502,-080.9358989,34.701813,-80.90121
CLEARWATER FINISHING,SCD003303120,0403391,110008553029,45003021002,+33.5044854,-081.9155699,33.500907,-81.89213
CORNELL DUBILIER MARKETING INC,SCD003354412,0403252,110000857449,45077010402,+34.9027375,-082.7107738,34.89352,-82.72126
DOE/WSRC SAVANNAH RIVER SITE,SC1890008989,0403485,110001120000,45003020301,+33.6617363,-081.7996383,33.62157315,-81.85540399
ELMORE WASTE DISPOSAL,SCD980839542,0403409,110009345048,45083023302,+34.9348111,-082.2098924,34.937283,-82.22185
GEIGER (C & M OIL),SCD980711279,0403400,110002330870,45019002502,+32.7290527,-080.2269830,32.772617,-80.156245
GOLDEN STRIP SEPTIC TANK SERVICE,SCD980799456,0403404,110009321778,45045003008,+34.7797036,-082.2452659,34.783499,-82.243911
HELENA CHEMICAL CO. LANDFILL,SCD058753971,0403309,110001137494,45005970400,+32.8745690,-081.3241455,32.9586792,-81.235766
INDEPENDENT NAIL CO.,SCD004773644,0403262,110008560431,45013000200,+32.5007617,-080.7468659,32.463444,-80.74343
KALAMA SPECIALTY CHEMICALS,SCD094995503,0403343,110007215129,45013000200,+32.5007617,-080.7468659,32.47422,-80.73755
"KOPPERS CO., INC. (CHARLESTON PLANT)",SCD980310239,0403350,110009311039,45019004300,+32.8501669,-079.9673955,32.8551799,-79.9717552
KOPPERS INDUSTRIES INCORPORATED,SCD003353026,0403251,110000492770,45041000500,+34.1727846,-079.6571958,34.201595,-79.72054
"LEONARD CHEMICAL CO., INC.",SCD991279324,0403481,110001224773,45091061203,+34.8511086,-080.9339622,34.8555195,-80.9161347
LEXINGTON COUNTY LANDFILL AREA,SCD980558043,0403362,110009311066,45063020202,+33.9592231,-081.0781384,33.965687,-81.074066
MACALLOY CORPORATION,SCD003360476,0406784,110000353304,45019005000,+33.0393507,-079.5734552,33.1175248,-79.4092424
MEDLEY FARMS NPL SITE,SCD980558142,0403371,110009704908,45021970601,+35.0111132,-081.6599835,35.03247,-81.642055
NEVADA GOLDFIELDS:CLSD,SCN000407714,0407714,110038798637,45065920200,+33.9241259,-082.2468990,33.9099734,-82.2935938
"PALMETTO RECYCLING, INC.",SCD037398120,0403274,110002178731,45079010102,+34.1723843,-080.9792738,34.12344,-81.00602
PALMETTO WOOD PRESERVING,SCD003362217,0403259,110007830099,45063020605,+33.9250885,-081.0694330,33.919846,-81.058754
ROCHESTER PROPERTY,SCD980840698,0403415,110009311182,45045003903,+34.9881191,-082.4811278,34.96957,-82.50307
ROCK HILL CHEMICAL CO.,SCD980844005,0403425,110009345280,45091060102,+34.9430917,-081.0206451,34.9467474,-81.024179
"ROYAL ADHESIVES & SEALANTS, LLC",SCD002601656,0403224,110015824278,45045003011,+34.7317039,-082.2349019,34.710957,-82.234
SCRDI BLUFF ROAD,SCD000622787,0403212,110008549026,45079011702,+33.9347890,-080.9620891,33.9467201,-80.9880157
SCRDI DIXIANA,SCD980711394,0403402,110009310922,45063020706,+33.8938995,-081.0488163,33.905224,-81.06277
SHURON INC.,SCD003357589,0405643,110000857350,45011970300,+33.2731810,-081.3721662,33.22721437,-81.36300834
TOWNSEND SAW CHAIN CO.,SCD980558050,0403363,110009311075,45079011414,+34.1126260,-080.8583905,34.1208083,-80.8516547
U.S. FINISHING,SCD003358744,0403254,110000354241,45045002301,+34.8974078,-082.4242706,34.88413,-82.423775
US MARINE CORPS RECRUIT DEPOT PARRIS ISLAND,SC6170022762,0403488,110002152964,45013001000,+32.3175972,-080.6822133,32.3528,-80.7031
"WAMCHEM, INC.",SCD037405362,0403275,110008549160,45013000200,+32.5007617,-080.7468659,32.49674,-80.74291
