Name,address,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,website,latitude,longitude,type_facility,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,tele,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,np,sf,md,mc,si,pi,mi,atr,fsa,ss,pa,ah,sp,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo,acc,acm,acu,add,baba,ccc,cmha,csaa,daut,dp,dsf,dvfp,eih,emp,haec,heoh,hivt,isc,itu,mhs,mpd,opc,sae,shb,shc,shg,smhd,ssa,ssd,stdt,ta,taec,tbs,cm,fpsy,hs,nrt,peer,stu,tcc,bsdm,nu,mu,bwn,bwon,ub,un,beri,pvtp,pvtn,vo,sumh,inpe,rpe,pc,naut,nmaut,acma,pmat,auinpe,aurpe,aupc,ulc,mhiv,mhcv,lfxd,clnd,copsu,daof,mst,noe,ofd,rc,piec,mdet,voc,hav,hbv,audo,f17,f19,f25,f28,f30,f31,f35,f36,f37,f4,f42,f43,f47,f66,f67,f70,f81,f92,n13,n18,n23,n24,n40
LRADAC Outpatient,1068 South Lake Drive ,Lexington,SC,29073,,Lexington,803-726-9400,,,,http://www.lradac.org/,33.9538874,-81.2345735,SA,1,1,,,,1,1,1,1,1,1,1,,,,,,1,,,,1,,1,1,1,,1,,,,,1,,,,1,1,,1,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,,1,,,1,,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,,,1,,,,,1,1,,,1,,1,1,,,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,1,1,1,1,1,1,1,1,,1,,1,1,1,,1,,1,1,1,1,,,1,,1,,1,1,,,1,1,,1,1,,,,,,,,,1,1,,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
LRC Substance Abuse and Behavioral Programs,1115 Belleview Avenue ,Columbia,SC,29201,,Richland,803-740-9298,,,803-667-4500,http://www.lrc-counseling.com/,33.9771056,-81.2355978,SA,1,,,,,,,,,,,,,,1,,,,,,,1,,1,1,1,1,1,,,,,1,,,,,,,1,1,,,,,,,,,,,,1,,1,,,,,1,,,1,1,1,1,1,1,,,,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,1,1,,,1,,1,,,1,1,,1,1,1,1,,1,,1,,,,1,,1,,1,1,,,1,1,1,1,,,,,1,,,,1,1,,,,,,,,,,1,,,1,,,,,1,1,,,,1,,,,,,1,,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Columbia Metro Treatment Center Metro Treatment of South Carolina LP,560 Chris Drive ,West Columbia,SC,29169,,Lexington,803-791-9422,,,,http://www.methadonetreatment.com,33.9850073,-81.1061052,SA,1,1,1,1,1,1,1,1,,1,,,1,,,,,,,1,1,1,1,,1,,1,,1,,,,1,,,,1,1,,,,,,,,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,1,,,1,1,1,1,1,1,1,1,1,,,1,,,1,1,1,1,1,1,,,1,,1,1,1,,,1,1,1,,1,1,1,1,1,,1,,1,,1,1,,,1,,1,1,,1,1,1,1,,1,,1,,,,,1,1,1,,,,,1,,,,,,1,,,,,,,,,,,,,1,,1,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bright Side Counseling Center ,2277 Sunset Boulevard ,West Columbia,SC,29169,,Lexington,888-796-1117,,,,http://www.brightsidecenter.com,34.0029374,-81.2026938,SA,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,1,1,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,1,1,,,,,1,,,,,,,1,1,1,1,1,1,1,1,,1,1,,,1,,,,,1,1,,,,,,,,1,,,1,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,1,,,1,,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Rivers Behavioral Health ,2900 Sunset Boulevard ,West Columbia,SC,29169,,Lexington,803-796-9911,,,,http://www.threeriversbehavioral.org/main-campus/,34.00601265,-81.12068828,SA,1,1,,,,,1,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,1,,,1,,1,,,,,,1,1,1,1,1,,,1,,,,,,,,,1,1,1,,,,,,1,1,1,1,1,1,,,1,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,,,1,1,,,1,1,1,1,1,,,1,,1,,,1,1,,,,,1,1,,1,1,,1,1,1,1,1,,,,,,,,,1,1,,1,,,1,1,1,,,,,,1,,1,1,,1,1,,1,,,1,1,1,,1,,,1,,,,,,,1,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pain Medicine Specialists ,109 Midlands Court ,West Columbia,SC,29169,,Lexington,803-791-9200,,,,http://www.opioidaddictionspecialists.net,34.0083436,-81.130962,SA,1,,,,,,,,,,,,,,,,,1,,1,,,,,,,,1,,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,1,1,1,1,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,,,,1,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lexington Treatment Specialists ,185 Lott Court ,West Columbia,SC,29169,,Lexington,803-719-4050,,,,http://www.lexingtontreatmentspecialists.com,34.0136444,-81.1343016,SA,1,,1,1,,1,1,,,1,,,1,,,,,1,,1,1,1,,,1,1,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,1,,,1,,,,,1,1,,,,,,1,,,1,,,,,,,,,,1,1,1,,,,,,,,,,,,,,1,1,1,1,,,,1,,,,1,,,1,1,1,1,1,1,,,1,,,,1,,,1,1,1,,,,,1,1,1,,,,,1,1,,1,,,1,,1,1,1,1,1,,1,,,1,1,,,1,1,1,1,,,1,,,,,,1,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Crossroads Treatment Ctr of Columbia ,1421 Bluff Road ,Columbia,SC,29201,,Richland,803-733-5855,,,800-805-6989,http://crossroadstreatmentcenters.com,33.9665676,-81.0104618,SA,1,,1,1,,,,,,,,,1,,,,,,,1,1,,,,1,,,,1,,,,1,,,,,1,,,1,,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,1,1,1,,,,1,,,1,1,1,1,,1,,,,,,,1,,,1,1,1,,,,,,1,,,,,,1,1,,,,,1,1,,1,1,1,1,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prisma Health Behavioral Health Day Treatment CDIOP,720 Gracern Road Suite 120,Columbia,SC,29210,,Richland,803-296-8765 x4,,803-296-8765 x5,,http://www.palmettohealth.org/medical-services/behavioral-care/outpatient-programs,34.0165425,-81.085555,SA,1,,,,,,,,1,1,1,1,,,,1,,1,,,,1,1,,1,1,1,,1,,,,1,,,,,1,,1,,,,,1,,,,,,,,,,1,,1,,,,,,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,1,1,1,1,1,1,1,1,,1,1,1,,1,,,1,1,1,1,,,,,1,1,,1,1,,1,1,1,1,1,,,,,1,,,,1,1,,1,,,1,1,1,1,,,,,1,,1,1,,1,,,1,,1,1,1,1,,,1,,1,1,1,1,,,1,1,1,1,1,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LRADAC Outpatient and Withdrawal Management,2711 Colonial Drive ,Columbia,SC,29203,,Richland,803-726-9300,,,,http://lradac.org/,34.0222118,-81.0327391,SA,1,1,,,,1,1,1,1,1,1,1,,,,,,1,,,,1,,1,1,1,,1,,,1,,1,,,,1,1,,1,1,1,,,,,,,,,,,1,,1,,,1,,,,,1,1,1,,1,,,1,,1,1,1,1,1,,,,1,1,1,1,1,1,1,1,,,1,,1,1,,,1,1,,1,1,1,1,1,1,1,1,1,,,1,,,,,1,1,,,1,,1,1,,,1,,,1,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,1,1,1,1,,1,,1,1,1,1,,,1,,1,,1,1,,,1,1,,1,1,1,,,,1,,,,1,1,,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
