Site Name,Site ID,EPA ID,Address,Address (cont),Zip Code,National Priorities List Status,Contaminated Ground Water Migration Status,Human Exposure to Contamination Status,lat...12,long...13,geo_method,address,place_id,licence,osm_type,osm_id,osm_lat,osm_lon,house_number,road,city,county,state,postcode,country,country_code,commercial,hamlet,town,amenity,village,neighbourhood,building,street,lat...39,long...40,id,input_address,match_indicator,match_type,matched_address,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),403207,SCD000447268,206 GEORGIA AVE,,29644,Currently on the Final NPL,,Under Control,34.697296,-82.20797,census,"208, Georgia Street, Fountain Inn, Greenville County, South Carolina, 29644, United States",288730440,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12403739,34.69736915,-82.20800375,208,Georgia Street,NA NA,Greenville County,South Carolina,29644,United States,us,,,,,,,,208 Georgia Street,34.697285,-82.20799,1,"208 Georgia Street, NA NA, South Carolina, 29644",Match,Non_Exact,"208 GEORGIA ST, FOUNTAIN INN, SC, 29644",636711993,R,45,45,3101,2002,34.697433,-82.208204,1,rooftop,202,Georgia St,,,Fountain Inn,SC,Greenville County,29644,US,Greenville
SCRDI BLUFF ROAD,403212,SCD000622787,321 BLUFF RD S,,29209,Currently on the Final NPL,Under Control,Under Control,33.9467201,-80.9880157,osm,"Bluff Road, Columbia, Richland County, South Carolina, 29209, United States",106133949,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,59686805,33.9467201,-80.9880157,,Bluff Road,NA NA,Richland County,South Carolina,29209,United States,us,,,,,,,,NA Bluff Road,,,2,"NA Bluff Road, NA NA, South Carolina, 29209",No_Match,,,,,,,,,33.946957,-80.988433,0.98,nearest_street,2799,State Hwy 48,,,Columbia,SC,Richland County,29209,US,TIGER/Line® dataset from the US Census Bureau
"PARA-CHEM SOUTHERN, INC.",403224,SCD002601656,HWY 145,,29681,Currently on the Final NPL,Under Control,Under Control,34.80926665,-82.23643065,osm,"145, Woodruff Place Circle, Woodruff Place, Five Forks, Simpsonville, Greenville County, South Carolina, 29681, United States",313718977,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,933079330,34.80926665,-82.23643065,145,Woodruff Place Circle,NA Simpsonville,Greenville County,South Carolina,29681,United States,us,Woodruff Place,Five Forks,Simpsonville,,,,,145 Woodruff Place Circle,34.8105,-82.2357,3,"145 Woodruff Place Circle, NA Simpsonville, South Carolina, 29681",Match,Non_Exact,"145 WOODRUFF PLACE CIR, SIMPSONVILLE, SC, 29681",641133195,L,45,45,2813,2009,34.809268,-82.236412,1,rooftop,145,Woodruff Place Cir,,,Simpsonville,SC,Greenville County,29681,US,Greenville
"KOPPERS CO., INC. (FLORENCE PLANT)",403251,SCD003353026,KOPPERS RD,,29503,Deleted from the Final NPL,Under Control,Under Control,34.200467,-79.720545,osm,"176, North Koppers Road, Florence County, South Carolina, 29506, United States",288711356,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12399739,34.20048944,-79.72044508,176,North Koppers Road,NA NA,Florence County,South Carolina,29506,United States,us,,,,,,,,176 North Koppers Road,34.200363,-79.72054,4,"176 North Koppers Road, NA NA, South Carolina, 29506",Match,Non_Exact,"176 N KOPPERS RD, QUINBY, SC, 29506",28910927,R,45,41,502,3000,34.200903,-79.72093,1,rooftop,155,N Koppers Rd,,,Florence,SC,Florence County,29506,US,Florence
"SANGAMO WESTON, INC./TWELVE-MILE CREEK/LAKE HARTWELL PCB CONTAMINATION",403252,SCD003354412,SANGAMO RD,,29671,Currently on the Final NPL,Under Control,Under Control,34.896172,-82.718141,osm,"559, Sangamo Road, Pickens, Pickens County, South Carolina, 29671, United States",288965123,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12521317,34.89609992,-82.718083,559,Sangamo Road,NA Pickens,Pickens County,South Carolina,29671,United States,us,,,Pickens,,,,,559 Sangamo Road,34.89559,-82.71874,5,"559 Sangamo Road, NA Pickens, South Carolina, 29671",Match,Non_Exact,"559 SANGAMO RD, PICKENS, SC, 29671",26157638,R,45,77,10405,3017,34.896365,-82.717107,0.99,rooftop,421,Sangamo Rd,,,Pickens,SC,Pickens County,29671,US,Pickens
US FINISHING/CONE MILLS,403254,SCD003358744,3335 OLD BUNCOMBE ROAD,,29617,Currently on the Final NPL,,Under Control,34.88413,-82.423775,census,"3335, Old Buncombe Road, Sans Souci, Greenville County, South Carolina, 29617, United States",288751801,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,538851774,34.884032,-82.423743,3335,Old Buncombe Road,NA NA,Greenville County,South Carolina,29617,United States,us,,Sans Souci,,,,,,3335 Old Buncombe Road,34.88413,-82.423775,6,"3335 Old Buncombe Road, NA NA, South Carolina, 29617",Match,Non_Exact,"3335 OLD BUNCOMBE RD, GREENVILLE, SC, 29617",38298204,L,45,45,2301,2022,34.884143,-82.423797,1,nearest_street,3336,Old Buncombe Rd,,,Greenville,SC,Greenville County,29617,US,TIGER/Line® dataset from the US Census Bureau
PALMETTO WOOD PRESERVING,403259,SCD003362217,199 Pallet Drive,,29172,Currently on the Final NPL,Under Control,Under Control,33.919846,-81.058754,census,"Pallet Drive, Dixiana, Lexington County, South Carolina, 29172, United States",87509379,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12472472,33.91984738,-81.05875694,,Pallet Drive,NA NA,Lexington County,South Carolina,29172,United States,us,,Dixiana,,,,,,NA Pallet Drive,,,7,"NA Pallet Drive, NA NA, South Carolina, 29172",No_Match,,,,,,,,,33.919843,-81.058759,1,nearest_street,183,Pallet Dr,,,West Columbia,SC,Lexington County,29172,US,TIGER/Line® dataset from the US Census Bureau
INDEPENDENT NAIL CO.,403262,SCD004773644,40 Shanklin Road,,29902,Deleted from the Final NPL,,Under Control,32.463444,-80.74343,census,"50, Shanklin Road, Beaufort, Beaufort County, South Carolina, 29906, United States",288540857,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,824046678,32.46352257,-80.74345305,50,Shanklin Road,NA Beaufort,Beaufort County,South Carolina,29906,United States,us,,,Beaufort,,,,,50 Shanklin Road,32.4634,-80.74356,8,"50 Shanklin Road, NA Beaufort, South Carolina, 29906",Match,Non_Exact,"50 SHANKLIN RD, BEAUFORT, SC, 29906",647869822,L,45,13,200,1051,32.463515,-80.743842,1,rooftop,88,Shanklin Rd,,,Beaufort,SC,Beaufort County,29906,US,Beaufort
"PALMETTO RECYCLING, INC.",403274,SCD037398120,531 KOON STORE RD,,29203,Deleted from the Final NPL,,Under Control,34.12344,-81.00602,census,"567, Koon Store Road, Richland County, South Carolina, 29203, United States",289007737,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,12521777,34.12352473,-81.00605693,567,Koon Store Road,NA NA,Richland County,South Carolina,29203,United States,us,,,,,,,,567 Koon Store Road,34.123005,-81.00369,9,"567 Koon Store Road, NA NA, South Carolina, 29203",Match,Non_Exact,"567 KOON STORE RD, COLUMBIA, SC, 29203",71860241,R,45,79,10105,1014,34.123554,-81.006704,0.98,nearest_street,508,Koon Store Rd,,,Columbia,SC,Richland County,29203,US,TIGER/Line® dataset from the US Census Bureau
"WAMCHEM, INC.",403275,SCD037405362,2701 Trask Parkway,,29906,Currently on the Final NPL,Under Control,Under Control,32.49674,-80.74291,census,"2717, Trask Parkway, Grays Hill, Beaufort County, South Carolina, 29906, United States",288538662,"Data © OpenStreetMap contributors, ODbL 1.0. https://osm.org/copyright",way,633080824,32.496727,-80.742818,2717,Trask Parkway,NA NA,Beaufort County,South Carolina,29906,United States,us,,Grays Hill,,,,,,2717 Trask Parkway,32.496025,-80.74274,10,"2717 Trask Parkway, NA NA, South Carolina, 29906",Match,Non_Exact,"2717 TRASK PKWY, BEAUFORT, SC, 29906",87605207,R,45,13,200,3019,32.496736,-80.742503,1,rooftop,2703,Trask Pkwy,,,Beaufort,SC,Beaufort County,29906,US,Beaufort
