site_name,latitude,longitude,address,city,state,zip,county,country,match_indicator,match_type,tiger_line_id,tiger_side,state_fips,county_fips,census_tract,census_block
BEAUNIT CORP. (CIRCULAR KNIT & DYEING PLANT),34.697433,-82.208204,202 Georgia St,Fountain Inn,SC,29644,Greenville County,US,Match,Exact,636711993,R,45,045,003101,2002
SCRDI BLUFF ROAD,33.946957,-80.988433,2799 State Hwy 48,Columbia,SC,29209,Richland County,US,No_Match,,,,,,,
"PARA-CHEM SOUTHERN, INC.",34.809268,-82.236412,145 Woodruff Place Cir,Simpsonville,SC,29681,Greenville County,US,Match,Exact,641133195,L,45,045,002813,2009
"KOPPERS CO., INC. (FLORENCE PLANT)",34.200903,-79.72093,155 N Koppers Rd,Florence,SC,29506,Florence County,US,Match,Non_Exact,28910927,L,45,041,000502,3006
"SANGAMO WESTON, INC./TWELVE-MILE CREEK/LAKE HARTWELL PCB CONTAMINATION",34.896365,-82.717107,421 Sangamo Rd,Pickens,SC,29671,Pickens County,US,Match,Exact,26157611,R,45,077,010405,3049
US FINISHING/CONE MILLS,34.884143,-82.423797,3336 Old Buncombe Rd,Greenville,SC,29617,Greenville County,US,Match,Non_Exact,38298183,R,45,045,002301,2021
PALMETTO WOOD PRESERVING,33.919843,-81.058759,183 Pallet Dr,West Columbia,SC,29172,Lexington County,US,Match,Exact,70057137,R,45,063,020605,2016
INDEPENDENT NAIL CO.,32.463515,-80.743842,88 Shanklin Rd,Beaufort,SC,29906,Beaufort County,US,Match,Exact,87648826,L,45,013,000200,1051
"PALMETTO RECYCLING, INC.",34.123554,-81.006704,508 Koon Store Rd,Columbia,SC,29203,Richland County,US,Match,Exact,71860241,L,45,079,010702,1000
"WAMCHEM, INC.",32.496736,-80.742503,2703 Trask Pkwy,Beaufort,SC,29906,Beaufort County,US,Match,Exact,87605207,R,45,013,000200,3019
HELENA CHEMICAL CO. LANDFILL,32.958697,-81.235095,140 7th St,Fairfax,SC,29827,Allendale County,US,Match,Exact,19038227,L,45,005,970500,2081
AQUA-TECH ENVIRONMENTAL INC (GROCE LABS),34.9368,-82.172769,1685 State Hwy 290,Greer,SC,29651,Spartanburg County,US,No_Match,,,,,,,
BRASWELL SHIPYARDS INC/FED-SERV,32.823863,-79.954174,4 Braswell St,North Charleston,SC,29405,Charleston County,US,No_Match,,,,,,,
KALAMA SPECIALTY CHEMICALS,32.474787,-80.738353,3076 Trask Pkwy,Beaufort,SC,29906,Beaufort County,US,Match,Exact,87651917,L,45,013,000200,1052
"KOPPERS CO., INC. (CHARLESTON PLANT)",32.855311,-79.971252,1998 Grayson St,North Charleston,SC,29405,Charleston County,US,Match,Exact,108804683,L,45,019,004300,4000
LEXINGTON COUNTY LANDFILL AREA,33.965582,-81.073833,1620 Dunbar Rd,Cayce,SC,29033,Lexington County,US,Match,Exact,70085899,R,45,063,020202,1040
TOWNSEND SAW CHAIN CO.,34.120979,-80.851957,152 Pepper Grass Dr,Elgin,SC,29045,Richland County,US,Match,Exact,632353936,L,45,079,011414,1003
MEDLEY FARM DRUM DUMP,35.03247,-81.642055,2728 Union Hwy,Gaffney,SC,29340,Cherokee County,US,Match,Exact,18989273,L,45,021,970601,4015
"CAROLAWN, INC.",34.701689,-80.901276,5600 State Rd 518,Fort Lawn,SC,29714,Chester County,US,No_Match,,,,,,,
CLEARWATER FINISHING,33.500022,-81.895405,1 Seminole St,Clearwater,SC,29822,Aiken County,US,Match,Exact,64987073,L,45,003,021004,1029
GEIGER (C & M OIL),32.724954,-80.257505,5066 Baptist Hill Rd,Hollywood,SC,29449,Charleston County,US,Match,Exact,108879610,R,45,019,002503,2010
SCRDI DIXIANA,33.904995,-81.06277,132 Ballard Ct,West Columbia,SC,29172,Lexington County,US,Match,Exact,640836144,R,45,063,020706,1018
GOLDEN STRIP SEPTIC TANK SERVICE,34.783499,-82.243911,335 County Rd 142,Simpsonville,SC,29681,Greenville County,US,No_Match,,,,,,,
ELMORE WASTE DISPOSAL,34.936994,-82.222528,15 N Line St,Greer,SC,29651,Greenville County,US,No_Match,,,,,,,
ROCHESTER PROPERTY,34.969224,-82.502967,403 Ledbetter Rd,Travelers Rest,SC,29690,Greenville County,US,Match,Exact,38341563,R,45,045,003903,2020
ROCK HILL CHEMICAL CO.,34.94651,-81.02389,852 Cherry Rd,Rock Hill,SC,29732,York County,US,Tie,,,,,,,
OLD CAYCE DUMP SITE,33.919015,-81.075108,NA US 176,West Columbia,SC,29172,Lexington County,US,No_Match,,,,,,,
BRAY PARK DUMP,33.966052,-81.078422,1729 Charleston Hwy,West Columbia,SC,29169,Lexington County,US,Match,Exact,70055680,L,45,063,020202,1037
"FED SERV, INC.",32.827261,-79.946274,1877 Milford St,North Charleston,SC,29405,Charleston County,US,Match,Exact,605842447,R,45,019,005400,2008
"LEONARD CHEMICAL CO., INC.",34.855754,-80.915898,4693 Cureton Ferry Rd,Rock Hill,SC,29730,York County,US,No_Match,,,,,,,
SAVANNAH RIVER SITE (USDOE),33.622148,-81.855254,1 Bridgestone Pkwy,Graniteville,SC,29829,Aiken County,US,No_Match,,,,,,,
PARRIS ISLAND MARINE CORPS RECRUIT DEPOT,32.352485,-80.692701,498 Boki St,Beaufort,SC,29902,Beaufort County,US,Match,Exact,635578030,L,45,013,001000,1017
TROTTER HILL RD.,34.893398,-82.721421,533 State Rd S-39-190,Pickens,SC,29671,Pickens County,US,No_Match,,,,,,,
BURLINGTON INDUSTRIES CHERAW,34.696559,-79.922588,821 Chesterfield Hwy,Cheraw,SC,29520,Chesterfield County,US,Match,Exact,639254546,L,45,025,950503,1019
BREWER GOLD MINE,34.650202,-80.391737,218 Miller,Jefferson,SC,29718,Chesterfield County,US,Tie,,,,,,,
SHURON INC.,33.227189,-81.361819,91 Clinton St,Barnwell,SC,29812,Barnwell County,US,Match,Exact,19071997,L,45,011,970300,1042
MACALLOY CORPORATION,32.834269,-79.949008,1875 Pittsburgh Ave,North Charleston,SC,29405,Charleston County,US,Match,Exact,108805661,L,45,019,005400,2008
BARITE HILL/NEVADA GOLDFIELDS,33.872411,-82.309731,838 State Rd S-33-44,McCormick,SC,29835,McCormick County,US,No_Match,,,,,,,
